levels,algs,ratios,variable,time
14,bg,nan,ABSORB,0
14,bg,nan,ABSORB,1
14,bg,nan,ABSORB,2
14,bg,nan,ABSORB,3
14,bg,nan,ABSORB,4
14,bg,nan,ABSORB,5
12,bg,nan,ABSORB,6
14,bg,nan,ABSORB,7
14,bg,nan,ABSORB,8
14,bg,nan,ABSORB,9
16,bg,nan,ABSORB,10
14,bg,nan,ABSORB,11
14,bg,nan,ABSORB,12
16,bg,nan,ABSORB,13
14,bg,nan,ABSORB,14
12,bg,nan,ABSORB,15
14,bg,nan,ABSORB,16
14,bg,nan,ABSORB,17
12,bg,nan,ABSORB,18
14,bg,nan,ABSORB,19
12,bg,nan,ABSORB,20
12,bg,nan,ABSORB,21
12,bg,nan,ABSORB,22
14,bg,nan,ABSORB,23
14,bg,nan,ABSORB,24
14,bg,nan,ABSORB,25
12,bg,nan,ABSORB,26
14,bg,nan,ABSORB,27
14,bg,nan,ABSORB,28
14,bg,nan,ABSORB,29
14,bg,nan,ABSORB,30
12,bg,nan,ABSORB,31
14,bg,nan,ABSORB,32
14,bg,nan,ABSORB,33
14,bg,nan,ABSORB,34
14,bg,nan,ABSORB,35
14,bg,nan,ABSORB,36
14,bg,nan,ABSORB,37
14,bg,nan,ABSORB,38
14,bg,nan,ABSORB,39
14,bg,nan,ABSORB,40
12,bg,nan,ABSORB,41
12,bg,nan,ABSORB,42
14,bg,nan,ABSORB,43
14,bg,nan,ABSORB,44
14,bg,nan,ABSORB,45
14,bg,nan,ABSORB,46
14,bg,nan,ABSORB,47
14,bg,nan,ABSORB,48
14,bg,nan,ABSORB,49
14,bg,nan,ABSORB,50
14,bg,nan,ABSORB,51
14,bg,nan,ABSORB,52
12,bg,nan,ABSORB,53
14,bg,nan,ABSORB,54
12,bg,nan,ABSORB,55
14,bg,nan,ABSORB,56
14,bg,nan,ABSORB,57
12,bg,nan,ABSORB,58
14,bg,nan,ABSORB,59
12,bg,nan,ABSORB,60
14,bg,nan,ABSORB,61
14,bg,nan,ABSORB,62
14,bg,nan,ABSORB,63
14,bg,nan,ABSORB,64
12,bg,nan,ABSORB,65
12,bg,nan,ABSORB,66
12,bg,nan,ABSORB,67
14,bg,nan,ABSORB,68
