variable,frequency,timestep,sz_level,sz_size,sz_ratio,all_sz_levs
TS,daily,0,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.1, 0.001]"
TS,daily,1,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.1, 0.001]"
TS,daily,2,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.1, 0.001]"
TS,daily,3,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.1, 0.001]"
TS,daily,4,0.001,18640271.0,5.045457493616912,"[100000.0, 0.001, 0.001, 0.1, 0.001]"
TS,daily,5,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.01, 0.001]"
TS,daily,6,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.1, 0.001]"
TS,daily,7,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.1, 0.001]"
TS,daily,8,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.01, 0.001]"
TS,daily,9,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.01, 0.001]"
TS,daily,10,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.01, 0.001]"
TS,daily,11,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.1, 0.001]"
TS,daily,12,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.1, 0.001]"
TS,daily,13,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.1, 0.001]"
TS,daily,14,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.01, 0.001]"
TS,daily,15,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.01, 0.001]"
TS,daily,16,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.01, 0.001]"
TS,daily,17,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.01, 0.001]"
TS,daily,18,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.01, 0.001]"
TS,daily,19,0.001,18640271.0,5.045457493616912,"[100000.0, 0.01, 0.001, 0.01, 0.001]"
