set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
zfp_p_8_FLNT,0,0.7372920146744598,2.618080092323329e-30,93.48596643518519,0.0831306569592528,0.99708383108063
zfp_p_8_FLNT,1,0.7438511038886513,7.169689415073677e-14,93.49320023148148,0.09805343311072694,0.997085784702097
zfp_p_8_FLNT,2,0.7423922902995748,2.7860869649000958e-45,93.74457465277779,0.10594020856705086,0.9973610731628172
zfp_p_8_FLNT,3,0.7476353006420545,1.7910808566866795e-16,93.62340856481481,0.1085103889568248,0.9972124797048598
zfp_p_8_FLNT,4,0.7412863755864436,9.327926943558647e-63,93.23278356481481,0.08110228633156238,0.9970136692965517
zfp_p_8_FLNT,5,0.7370513937199068,4.772170769084288e-57,93.37926793981481,0.10115211223842599,0.9975669130594004
zfp_p_8_FLNT,6,0.7461565574520298,2.7043582859094746e-47,93.33586516203704,0.09203524944643077,0.9976793620659473
zfp_p_8_FLNT,7,0.7393271113204022,1.710433617256376e-20,93.48958333333334,0.08881773501452496,0.9978897691793464
zfp_p_8_FLNT,8,0.7521614035105392,7.595659441681173e-19,93.03385416666666,0.0957382222409802,0.9976477473120388
zfp_p_8_FLNT,9,0.7559951357799773,5.815875472796884e-13,93.27799479166666,0.07764626405640859,0.9973557162169069
zfp_p_8_FLNT,10,0.7522674433943842,2.9686422227222547e-21,93.55107060185185,0.0830554530391276,0.9970392427242405
zfp_p_8_FLNT,11,0.7276110357680495,1.511399121665433e-29,93.78616898148148,0.07957862157044288,0.9968226087396704
zfp_p_8_FLNT,12,0.729683911082598,4.074380283335097e-35,93.63968460648148,0.10639899996132426,0.997108068165799
zfp_p_8_FLNT,13,0.7437859099848998,4.516689271320973e-16,93.05013020833334,0.07410910219171063,0.9972569358720238
zfp_p_8_FLNT,14,0.7440137212432787,1.3622811184712529e-11,93.65415219907408,0.07669427382080127,0.9973841793918922
zfp_p_10_FLNT,0,0.9338542016317646,0.03360999573551149,81.4109519675926,0.03141892521150702,0.9996122809538206
zfp_p_10_FLNT,1,0.9363795563586086,0.13261379056749567,82.11805555555556,0.033608123190361744,0.9996122547196504
zfp_p_10_FLNT,2,0.9338332103019901,0.0007888746502268738,81.53211805555556,0.029104332226358203,0.9996406119573996
zfp_p_10_FLNT,3,0.9380363427129179,0.190935629475935,81.73285590277779,0.0360400535669992,0.9996247537301787
zfp_p_10_FLNT,4,0.9312239455359368,0.00013278541333559813,81.42180266203704,0.031007705251706895,0.9995915267138473
zfp_p_10_FLNT,5,0.9321098351120645,0.007415342387111087,81.37478298611111,0.028625711288297693,0.9996597755982669
zfp_p_10_FLNT,6,0.9328461135485885,0.07588325766853055,81.37659143518519,0.030643362998083176,0.99967755561076
zfp_p_10_FLNT,7,0.9300293188924851,0.3150711549699029,81.3331886574074,0.030965978733497934,0.9997039707852232
zfp_p_10_FLNT,8,0.9394536877255668,0.22820256027577668,81.61892361111111,0.0297627519203033,0.9996758544730883
zfp_p_10_FLNT,9,0.9410259838202615,0.0024259883358351774,81.58998842592592,0.025447908392244305,0.9996372889597213
zfp_p_10_FLNT,10,0.9411228912676546,0.0009533196447469399,81.11979166666666,0.03002087072179356,0.9995948705787414
zfp_p_10_FLNT,11,0.9324399627360708,0.015519520377423166,81.95891203703704,0.02877460503647227,0.9995652106319721
zfp_p_10_FLNT,12,0.9316225878542609,0.00452757756673749,81.81242766203704,0.03223378180508562,0.9996102697817967
zfp_p_10_FLNT,13,0.9358997167137122,0.6124206892537913,82.0167824074074,0.029029492550146575,0.9996334457768489
zfp_p_10_FLNT,14,0.9332785617455636,0.7578945157121124,81.95891203703704,0.031494761655682484,0.9996495031895598
zfp_p_12_FLNT,0,0.9845624023873779,0.9967709355812912,49.54246238425926,0.0075391477199104,0.999959273668524
zfp_p_12_FLNT,1,0.9848545477852704,0.9999992812315102,50.10308159722222,0.008558306751809778,0.9999601100326326
zfp_p_12_FLNT,2,0.9829123876210258,0.9757572870242877,49.72511574074074,0.011251799499325353,0.9999628518041149
zfp_p_12_FLNT,3,0.9834004577930985,0.9967709355812912,48.970992476851855,0.007740948717283707,0.9999615211456989
zfp_p_12_FLNT,4,0.9815508134317474,0.9992520326665913,48.27293113425926,0.007842281235046478,0.9999592520973578
zfp_p_12_FLNT,5,0.980495257729471,0.9799370676349483,48.227719907407405,0.009617847540864848,0.9999654140070946
zfp_p_12_FLNT,6,0.9807727313903392,0.9994398244777082,47.82624421296296,0.00789282462895372,0.9999669804640479
zfp_p_12_FLNT,7,0.9800651871232927,0.9987215503290459,48.140914351851855,0.0077999533361368,0.9999697785360222
zfp_p_12_FLNT,8,0.98428629292586,0.9995868581218245,48.386863425925924,0.008024692783928294,0.999966672299992
zfp_p_12_FLNT,9,0.9856665959131377,0.9999999288886017,48.777488425925924,0.00843511074149186,0.999962646852648
zfp_p_12_FLNT,10,0.9864959089484195,0.7770914118154106,49.399594907407405,0.007668061372688364,0.9999584152675872
zfp_p_12_FLNT,11,0.9840896635311787,0.9970967786521834,49.14098668981482,0.008298832010960667,0.9999552463038291
zfp_p_12_FLNT,12,0.9838220183369556,0.9886072522526788,50.320095486111114,0.008266646279972683,0.999959040208639
zfp_p_12_FLNT,13,0.9843170413799017,0.9999999959635527,50.66550925925925,0.008230552186435307,0.9999605741921308
zfp_p_12_FLNT,14,0.9817186120348704,0.999998062580866,50.20254629629629,0.009035042612558693,0.999962934574365
zfp_p_14_FLNT,0,0.9954434226983672,1.0,2.3003472222222223,0.0020553920187193616,0.9999969704565657
zfp_p_14_FLNT,1,0.9955455880261733,1.0,2.569806134259259,0.0025622267336447117,0.9999970418077171
zfp_p_14_FLNT,2,0.9947505730453572,1.0,2.5752314814814814,0.0022054798565415987,0.9999971965713722
zfp_p_14_FLNT,3,0.9946402424285206,1.0,2.370876736111111,0.0019310852531192206,0.9999972303067074
zfp_p_14_FLNT,4,0.9944314643392568,0.9999999986703545,2.410662615740741,0.0022015543879742965,0.9999970685116938
zfp_p_14_FLNT,5,0.9943014695639452,0.9999999999998332,2.4323640046296298,0.0020381215604227077,0.9999975138628456
zfp_p_14_FLNT,6,0.9939704459346779,0.9999999999943466,2.5028935185185186,0.0020590737190719637,0.9999975981931326
zfp_p_14_FLNT,7,0.9938120845566674,1.0,2.501085069444444,0.0021380277739359026,0.9999977479930023
zfp_p_14_FLNT,8,0.9954855716322422,1.0,2.468532986111111,0.0019230924194983143,0.9999975326739075
zfp_p_14_FLNT,9,0.9957559275962475,1.0,2.4269386574074074,0.0022222533798014763,0.9999972686830517
zfp_p_14_FLNT,10,0.9961143991550732,1.0,2.4468315972222223,0.0021080586567194543,0.9999970158637728
zfp_p_14_FLNT,11,0.9950502120856337,1.0,2.170138888888889,0.002201849626011027,0.9999967642406261
zfp_p_14_FLNT,12,0.9952154692903951,0.9999999999998332,2.267795138888889,0.0021420078579183206,0.9999969859051971
zfp_p_14_FLNT,13,0.9954734237267288,1.0,2.4486400462962963,0.0020475505830506568,0.9999971170711267
zfp_p_14_FLNT,14,0.9943912487220997,1.0,2.7253327546296298,0.002027782893738709,0.9999972569032812
zfp_p_16_FLNT,0,0.9988462777019935,1.0,0.0,0.000489191078255275,0.9999998077492156
zfp_p_16_FLNT,1,0.9988364153243421,1.0,0.0,0.0005238913948535512,0.9999998125925731
zfp_p_16_FLNT,2,0.9986473769756915,1.0,0.0,0.0004899151038779017,0.9999998229361609
zfp_p_16_FLNT,3,0.9987599554923805,1.0,0.0,0.0005433471903845289,0.999999824076569
zfp_p_16_FLNT,4,0.9985846468843299,1.0,0.0,0.0005927141749874618,0.9999998151068409
zfp_p_16_FLNT,5,0.9985885066967837,1.0,0.0,0.0005422249866236233,0.9999998424159603
zfp_p_16_FLNT,6,0.9986229580758952,1.0,0.0,0.0005012631291230593,0.9999998471397523
zfp_p_16_FLNT,7,0.9985652238325212,1.0,0.0,0.0004937752680566992,0.9999998567587829
zfp_p_16_FLNT,8,0.9987940577995615,1.0,0.0,0.0005646512967771236,0.999999846000486
zfp_p_16_FLNT,9,0.9989395920264617,1.0,0.0,0.0005108841152930663,0.9999998269628451
zfp_p_16_FLNT,10,0.9990473570976517,1.0,0.0,0.0005482603967248182,0.9999998109532192
zfp_p_16_FLNT,11,0.9987178013686454,1.0,0.0,0.0005186774066618573,0.9999997930558439
zfp_p_16_FLNT,12,0.9988430069019927,1.0,0.0,0.0005604288639950771,0.9999998086921963
zfp_p_16_FLNT,13,0.9987865190724745,1.0,0.0,0.0005335121427671611,0.9999998175278372
zfp_p_16_FLNT,14,0.998561453280288,1.0,0.0,0.0004952213696946743,0.999999827908354
zfp_p_18_FLNT,0,0.9996682986179113,1.0,0.0,0.00014519253035395947,0.9999999879053503
zfp_p_18_FLNT,1,0.9997205223127111,1.0,0.0,0.0001236360633486531,0.9999999882678307
zfp_p_18_FLNT,2,0.999719806501729,1.0,0.0,0.00011808707353570946,0.999999988916803
zfp_p_18_FLNT,3,0.9997019586323418,1.0,0.0,0.0001417805916071322,0.9999999888532597
zfp_p_18_FLNT,4,0.9997242086183211,1.0,0.0,0.00012098249736751047,0.9999999882529514
zfp_p_18_FLNT,5,0.9996479206451949,1.0,0.0,0.00012584160271296975,0.9999999901545846
zfp_p_18_FLNT,6,0.9996980893961317,1.0,0.0,0.00014979265836968653,0.9999999905309884
zfp_p_18_FLNT,7,0.9995740853805596,1.0,0.0,0.00012704984111229812,0.9999999910456985
zfp_p_18_FLNT,8,0.9996702127672592,1.0,0.0,0.00012360093592778267,0.9999999903877722
zfp_p_18_FLNT,9,0.9997118509304633,1.0,0.0,0.00012497647712858643,0.9999999891166995
zfp_p_18_FLNT,10,0.9997517106751549,1.0,0.0,0.000136712691401277,0.9999999881555512
zfp_p_18_FLNT,11,0.9996899228673223,1.0,0.0,0.00014371839387102847,0.9999999870938121
zfp_p_18_FLNT,12,0.9996373425290687,1.0,0.0,0.00012516264063948255,0.9999999880859691
zfp_p_18_FLNT,13,0.9997340760749548,1.0,0.0,0.00013902007346028346,0.9999999885580871
zfp_p_18_FLNT,14,0.9995947265167859,1.0,0.0,0.00012246321364535074,0.9999999891722477
zfp_p_20_FLNT,0,0.9999509991205442,1.0,0.0,3.543168983153092e-05,0.9999999992439974
zfp_p_20_FLNT,1,0.9999009463466346,1.0,0.0,3.3167961380260796e-05,0.9999999992651577
zfp_p_20_FLNT,2,0.9998870875422317,1.0,0.0,3.3139904120489e-05,0.9999999993058107
zfp_p_20_FLNT,3,0.9999289519476627,1.0,0.0,3.454951114913961e-05,0.9999999993052823
zfp_p_20_FLNT,4,0.9999400061631503,1.0,0.0,3.399852830345306e-05,0.9999999992742526
zfp_p_20_FLNT,5,0.9998442653224019,1.0,0.0,3.1982540699366336e-05,0.9999999993857537
zfp_p_20_FLNT,6,0.9999008034678546,1.0,0.0,3.3032523822956085e-05,0.9999999994088261
zfp_p_20_FLNT,7,0.9998892887213585,1.0,0.0,3.36301235624909e-05,0.9999999994355717
zfp_p_20_FLNT,8,0.99992941607581,1.0,0.0,2.9268007141393744e-05,0.9999999993928993
zfp_p_20_FLNT,9,0.9999260163153326,1.0,0.0,3.404305156337195e-05,0.9999999993316233
zfp_p_20_FLNT,10,0.9999401215578455,1.0,0.0,3.648628593069212e-05,0.9999999992561375
zfp_p_20_FLNT,11,0.9998949498894453,1.0,0.0,2.9676464574291114e-05,0.9999999991892684
zfp_p_20_FLNT,12,0.9999309531625715,1.0,0.0,3.0379539806654927e-05,0.9999999992468008
zfp_p_20_FLNT,13,0.9999458279157145,1.0,0.0,3.187696844658862e-05,0.9999999992893391
zfp_p_20_FLNT,14,0.9999102781963956,1.0,0.0,2.950113579372806e-05,0.9999999993220183
zfp_p_22_FLNT,0,0.9999922515238782,1.0,0.0,1.066424424494786e-05,0.999999999953105
zfp_p_22_FLNT,1,0.9999743657898731,1.0,0.0,7.640438199968327e-06,0.9999999999538292
zfp_p_22_FLNT,2,0.9999594872132591,1.0,0.0,7.849538177693393e-06,0.9999999999568568
zfp_p_22_FLNT,3,0.9999745762681477,1.0,0.0,8.166752597717898e-06,0.9999999999569006
zfp_p_22_FLNT,4,0.9999893960120022,1.0,0.0,8.669731743118086e-06,0.9999999999543995
zfp_p_22_FLNT,5,0.999984529463009,1.0,0.0,8.637284996712887e-06,0.9999999999616823
zfp_p_22_FLNT,6,0.9999471467827402,1.0,0.0,7.714577794909358e-06,0.9999999999628184
zfp_p_22_FLNT,7,0.9999732019324825,1.0,0.0,8.610659838262351e-06,0.999999999965264
zfp_p_22_FLNT,8,0.9999885737064603,1.0,0.0,8.090827393806132e-06,0.9999999999618492
zfp_p_22_FLNT,9,0.999983921484172,1.0,0.0,8.225934939200352e-06,0.9999999999575617
zfp_p_22_FLNT,10,0.9999856724347754,1.0,0.0,8.916779175439204e-06,0.9999999999538979
zfp_p_22_FLNT,11,0.9999277014653696,1.0,0.0,9.298937695770696e-06,0.9999999999495341
zfp_p_22_FLNT,12,0.9999875740021504,1.0,0.0,1.0662596796119975e-05,0.9999999999528238
zfp_p_22_FLNT,13,0.999996609147811,1.0,0.0,7.192766953551509e-06,0.9999999999554817
zfp_p_22_FLNT,14,0.9999764542970504,1.0,0.0,7.353556225750499e-06,0.9999999999576368
zfp_p_24_FLNT,0,0.9999971889443382,1.0,0.0,1.7790167641197225e-06,0.9999999999970651
zfp_p_24_FLNT,1,0.9999951120549917,1.0,0.0,2.0166458191482644e-06,0.9999999999971475
zfp_p_24_FLNT,2,0.9999847911443229,1.0,0.0,1.9886897365594404e-06,0.9999999999972822
zfp_p_24_FLNT,3,0.9999975154459383,1.0,0.0,1.915398621473931e-06,0.9999999999972822
zfp_p_24_FLNT,4,0.9999975756818159,1.0,0.0,2.2616757419939685e-06,0.9999999999971496
zfp_p_24_FLNT,5,0.9999984803875793,1.0,0.0,2.269223385526984e-06,0.9999999999975733
zfp_p_24_FLNT,6,0.9999982557219858,1.0,0.0,2.3861764028629346e-06,0.9999999999976701
zfp_p_24_FLNT,7,0.999995066115593,1.0,0.0,2.0804324558232408e-06,0.9999999999978053
zfp_p_24_FLNT,8,0.9999945814512393,1.0,0.0,2.0367521136095537e-06,0.999999999997613
zfp_p_24_FLNT,9,0.9999983225123167,1.0,0.0,2.087998833668416e-06,0.999999999997363
zfp_p_24_FLNT,10,0.9999996443377703,1.0,0.0,2.0210950533003818e-06,0.9999999999970911
zfp_p_24_FLNT,11,0.9999682015882844,1.0,0.0,2.0839864785747302e-06,0.9999999999968222
zfp_p_24_FLNT,12,0.9999973830920756,1.0,0.0,2.2644968019941874e-06,0.9999999999970736
zfp_p_24_FLNT,13,0.9999964570768474,1.0,0.0,1.9202888114372403e-06,0.9999999999971826
zfp_p_24_FLNT,14,0.9999909988755987,1.0,0.0,2.138066427248239e-06,0.9999999999973582
zfp_p_8_FLNT,15,0.7439515285464476,9.136925520341771e-29,93.58362268518519,0.09437982893919572,0.9973258365943116
zfp_p_8_FLNT,16,0.7441802531050883,6.5417507265321e-48,93.61617476851852,0.08084194444041869,0.9972759243623341
zfp_p_8_FLNT,17,0.7465453384564481,1.4791674022193857e-63,93.21831597222221,0.08979582492952487,0.99760616790624
zfp_p_8_FLNT,18,0.7470670827285202,2.9494041414923035e-26,93.28884548611111,0.08847542268116036,0.9977756298878917
zfp_p_8_FLNT,19,0.7474217924030204,3.1493696293997664e-26,92.89279513888889,0.08567497321770824,0.9978219763261127
zfp_p_8_FLNT,20,0.7543857514853195,1.0487574859674842e-14,93.16587094907408,0.08442124269039102,0.9976328695376719
zfp_p_8_FLNT,21,0.7603217500510703,6.50933440434435e-12,93.95616319444444,0.12201330323470898,0.9975400729143243
zfp_p_8_FLNT,22,0.7517025867971995,1.0703631207851806e-15,93.60713252314815,0.08874019595383242,0.996898783468743
zfp_p_8_FLNT,23,0.7234658094673934,5.956733176612548e-35,93.01215277777779,0.09453923787416062,0.9968697437447405
