set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
zfp_p_8_FSNS,0,0.9165631663898984,0.09518628826543885,86.90140335648148,2.4484587122806105,0.999305617071934
zfp_p_8_FSNS,1,0.9177271587581012,0.4136738982417727,92.10250289351852,3.454308972997244,0.9992665237626147
zfp_p_8_FSNS,2,0.9174373964052341,0.001097113595059518,96.41384548611111,0.24400987608268956,0.9992635776233911
zfp_p_8_FSNS,3,0.9204825221452931,0.24878509423524442,94.01584201388889,1.4537654228762338,0.9992228194629229
zfp_p_8_FSNS,4,0.926685557100697,0.0015150113775568139,88.17274305555556,370.54705877567727,0.9992109420197178
zfp_p_8_FSNS,5,0.935527862820549,0.3802557796191943,84.32255497685185,15.200199326690521,0.9991905206168848
zfp_p_8_FSNS,6,0.9367346395351588,0.5525330161330584,86.30823206018519,17.516052614817674,0.9991548167131468
zfp_p_8_FSNS,7,0.9232133361175151,0.4136738982417727,91.34657118055556,0.8490285362898079,0.9991077027869841
zfp_p_8_FSNS,8,0.9223937472162718,0.15434499641091093,96.47714120370371,0.28880821784392124,0.9992024752266353
zfp_p_8_FSNS,9,0.9085819034089901,0.3334028800541171,94.57826967592592,1.0,0.9992708265342607
zfp_p_8_FSNS,10,0.9095355312600073,0.2974458378511263,88.61762152777779,3.354013211825517,0.9992816855747246
zfp_p_8_FSNS,11,0.9150290130066125,0.14216230632406035,84.42744502314815,12.749595193084605,0.9992838170052052
zfp_p_8_FSNS,12,0.9200246814244447,0.06494666077086841,87.04969618055556,3.5978444870273725,0.9992941183370339
zfp_p_8_FSNS,13,0.9182487852216844,0.21703255148847012,92.1043113425926,2.9351173662350187,0.9992293647634686
zfp_p_8_FSNS,14,0.9204761566309525,0.0385210789175896,96.35597511574075,0.47734219242607556,0.9992681771929689
zfp_p_10_FSNS,0,0.9856546561316292,0.074723624616849,80.38194444444444,0.5934417592989375,0.9999241414104172
zfp_p_10_FSNS,1,0.9853986440086445,0.9951750396552371,84.93923611111111,1.6606517570497612,0.9999205646159486
zfp_p_10_FSNS,2,0.9838898295034547,0.9999998376827767,88.19986979166666,0.0769528622515472,0.9999235302845819
zfp_p_10_FSNS,3,0.9831765303077106,0.9917366172822194,86.25036168981481,1.0,0.9999245124847395
zfp_p_10_FSNS,4,0.9853865243793277,0.9857553705707905,81.0890480324074,126.00669613815721,0.9999249313879918
zfp_p_10_FSNS,5,0.9880017783908225,0.9999638936820525,77.63491030092592,3.64230967318992,0.9999254132626633
zfp_p_10_FSNS,6,0.9893919444706682,0.9999999999999998,79.45059317129629,3.1708125542954932,0.9999215511014371
zfp_p_10_FSNS,7,0.986732334652276,0.5041690531455878,84.23032407407408,0.19634412379993507,0.999917264777141
zfp_p_10_FSNS,8,0.9866699476032867,1.0,88.31741898148148,0.062287692235762984,0.9999255107365781
zfp_p_10_FSNS,9,0.9820462150603168,0.9999999999735992,87.18894675925925,0.5816317294584925,0.9999231832413946
zfp_p_10_FSNS,10,0.9835309421254049,0.9999999999999976,81.84497974537037,2.74200145363929,0.9999220215705439
zfp_p_10_FSNS,11,0.9856641951731215,0.9999999999456265,78.0418113425926,6.262828568100341,0.9999207459037416
zfp_p_10_FSNS,12,0.9863458268736461,0.07133444655496946,80.49587673611111,0.800727578267115,0.9999222226563055
zfp_p_10_FSNS,13,0.9863594012415042,0.991022216496339,84.95732060185185,1.8463465661079113,0.9999202599760093
zfp_p_10_FSNS,14,0.9855339282675519,0.999999993183976,88.42411747685185,0.13946446138101484,0.999926310658168
zfp_p_12_FSNS,0,0.9971836480531132,0.07824827412708879,53.47041377314815,0.1835114991988709,0.9999949607793892
zfp_p_12_FSNS,1,0.9974057525285319,0.9902634765712477,56.70030381944444,0.3368560553865952,0.9999947714474146
zfp_p_12_FSNS,2,0.9969169393639777,1.0,58.069299768518526,0.034222376620126053,0.9999947249659593
zfp_p_12_FSNS,3,0.9965518996060858,0.9894589588557943,56.60988136574075,0.3321327054568111,0.9999950644419707
zfp_p_12_FSNS,4,0.9966612980183169,1.0,53.11414930555556,20.23179940587034,0.9999950457883389
zfp_p_12_FSNS,5,0.9976460581739574,1.0,51.30750868055556,2.003956880175195,0.9999949714401577
zfp_p_12_FSNS,6,0.9979303288221022,1.0,52.48842592592593,0.9533985815529712,0.9999947975834029
zfp_p_12_FSNS,7,0.9972660824129909,0.47145185717667404,55.211950231481474,0.04341395506604752,0.9999946217049696
zfp_p_12_FSNS,8,0.9974979141651896,1.0,57.71665219907407,0.01982040540605194,0.9999951739454678
