set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
bg_2_TS,0,0.4283674575403392,0.0,93.72649016203704,0.01754136112760061,0.9947032926267219
bg_2_TS,1,0.42811756784829413,0.0,94.30881076388889,0.017517821800997094,0.9948570571781388
bg_2_TS,2,0.4280491239675537,0.0,94.43721064814815,0.0181378936033335,0.9952588506150964
bg_2_TS,3,0.4324407788410809,0.0,93.84223090277779,0.01884518520064693,0.9955711330573672
bg_2_TS,4,0.41891782543725237,0.0,94.25455729166666,0.01881891360920203,0.9947438897891165
bg_2_TS,5,0.42004160210008396,0.0,93.90733506944444,0.018851823498402552,0.9951319850614645
bg_2_TS,6,0.4311736951431057,0.0,92.73003472222221,0.018865523531053655,0.9954893321105419
bg_2_TS,7,0.4147628441787536,0.0,94.04839409722221,0.019578289708960493,0.9953802692365292
bg_2_TS,8,0.41472798824951107,0.0,94.1550925925926,0.018856625615252975,0.9953197499345252
bg_2_TS,9,0.4482338369828913,0.0,93.92361111111111,0.018166632299180654,0.995033410641362
bg_2_TS,10,0.4360973514045863,0.0,94.57284432870371,0.017542281637008352,0.9943411455457632
bg_2_TS,11,0.41937104715459017,0.0,93.6179832175926,0.017504605092449537,0.9943369980313903
bg_2_TS,12,0.43041889125260846,0.0,92.84396701388889,0.01752959160529544,0.9948143894606428
bg_2_TS,13,0.4258773173679741,0.0,94.06467013888889,0.017518084816464077,0.9949988335130926
bg_2_TS,14,0.4290994151985446,0.0,94.17136863425925,0.01815948183302732,0.9954989751428622
bg_3_TS,0,0.9139997321066553,6.219577725315055e-14,44.50050636574074,0.002193126445641173,0.9999193120084907
bg_3_TS,1,0.9108076615387146,2.7190887187553595e-17,44.970703125,0.002226357693494517,0.999925359618492
bg_3_TS,2,0.9070151952470569,2.5700353523670914e-16,44.968894675925924,0.002307078051183669,0.9999313840323787
bg_3_TS,3,0.9041300406746077,1.7007829354326348e-16,45.753761574074076,0.002428571651328482,0.999930722176321
bg_3_TS,4,0.9013451507846412,1.38594858966011e-13,45.18771701388889,0.0023439864572543626,0.9999208900494497
bg_3_TS,5,0.8888807026104332,5.663291721828818e-21,44.05562789351852,0.00237406442232665,0.9999268691041789
bg_3_TS,6,0.8864874117539155,1.3323579651342127e-38,45.04123263888889,0.0024142164324485807,0.999924957612037
bg_3_TS,7,0.9059732654467068,2.918190611254051e-13,44.16413483796296,0.002448924257906966,0.9999313910335752
bg_3_TS,8,0.910036818492741,2.2542799726776952e-12,44.16956018518518,0.0024160001040411105,0.9999291324731988
bg_3_TS,9,0.9158696683286204,1.0409655430103085e-17,45.1099537037037,0.0023198161528903073,0.9999226688830293
bg_3_TS,10,0.9167511404854767,5.656172845007408e-14,44.961660879629626,0.0022269680426517564,0.9999167042057524
bg_3_TS,11,0.9183960614015408,5.3936154522021276e-14,43.985098379629626,0.002142155092028663,0.9999117178785007
bg_3_TS,12,0.9162108439481524,5.228049667819612e-12,44.79528356481482,0.0021865999694278874,0.9999194028890162
bg_3_TS,13,0.9172607122571438,1.7694038202844078e-15,44.74283854166667,0.0021851210871022884,0.999923734297283
bg_3_TS,14,0.9065301474924666,5.545507114588304e-15,44.94900173611111,0.0022982906217956524,0.9999325208309401
bg_4_TS,0,0.9933269522860548,0.9894589588557939,0.0,0.0001379588386629005,0.999999681893447
bg_4_TS,1,0.9930542871793602,0.9999312768298323,0.0,0.00013742374008226724,0.9999997098768878
bg_4_TS,2,0.993372055546159,0.9997863305617308,0.0,0.00014430188717626634,0.9999997302566445
bg_4_TS,3,0.9916227976886098,0.9967709355812904,0.0,0.0001490451154384695,0.9999997355547053
bg_4_TS,4,0.9963904600021062,0.9988762995742176,0.0,0.00014681294477375455,0.9999996947827909
bg_4_TS,5,0.9897366689719896,0.7383420289551862,0.0,0.00015011544099257808,0.9999997100255704
bg_4_TS,6,0.9897890807914145,0.5723164241454031,0.0,0.00015067586762201917,0.999999713055919
bg_4_TS,7,0.9894924517898789,0.9910222164963391,0.0,0.00015121602129218164,0.9999997314245559
bg_4_TS,8,0.9915455542978914,0.9936285109948717,0.0,0.00015067683370575196,0.9999997198772073
bg_4_TS,9,0.9928329096452123,0.9995868581218244,0.0,0.00014470743187352514,0.9999997003846168
bg_4_TS,10,0.9933537794315483,0.9999158496601827,0.0,0.00013754596709431653,0.9999996759834876
bg_4_TS,11,0.9936436227514378,0.9999442036811511,0.0,0.0001330903473867658,0.9999996519135314
bg_4_TS,12,0.9933553661913435,0.9999549737204012,0.0,0.00013646786335302674,0.9999996838776424
bg_4_TS,13,0.9934786585249803,0.9999772408304247,0.0,0.00013645998781064157,0.9999996998077476
bg_4_TS,14,0.990533012139111,0.9999638936820525,0.0,0.00014383897451440084,0.9999997363911677
bg_5_TS,0,0.999259520850053,1.0,0.0,1.709872358701601e-05,0.9999999950466067
bg_5_TS,1,0.9989841452943076,1.0,0.0,1.7197455451003268e-05,0.9999999954517342
bg_5_TS,2,0.9991291324179521,1.0,0.0,1.7949623100652083e-05,0.9999999957927233
bg_5_TS,3,0.9988904067702101,1.0,0.0,1.8283996061268738e-05,0.9999999958432314
bg_5_TS,4,0.9984481253159326,1.0,0.0,1.8469097252978903e-05,0.9999999952247741
bg_5_TS,5,0.9985299729566125,1.0,0.0,1.8744788226494832e-05,0.9999999955240423
bg_5_TS,6,0.9987707774840536,0.9999985927076651,0.0,1.862458741772735e-05,0.9999999955154799
bg_5_TS,7,0.9988907203825097,1.0,0.0,1.9035943668835494e-05,0.9999999958269281
