variable,zfp_level
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
FLUT,10
LHFLX,8
PRECT,10
TAUX,8
TS,14
Z500,16
