variable,frequency,timestep,bg_level,bg_size,bg_ratio,all_bg_levs
variable,frequency,timestep,bg_level,bg_size,bg_ratio,all_bg_levs
variable,frequency,timestep,bg_level,bg_size,bg_ratio,all_bg_levs
CLOUD,daily,0,3,,,[3.0]
CLOUD,daily,1,3,,,[3.0]
CLOUD,daily,2,3,,,[3.0]
CLOUD,daily,3,3,,,[3.0]
CLOUD,daily,4,3,,,[3.0]
CLOUD,daily,5,3,,,[3.0]
CLOUD,daily,6,3,,,[3.0]
CLOUD,daily,7,3,,,[3.0]
CLOUD,daily,8,3,,,[3.0]
CLOUD,daily,9,3,,,[3.0]
CLOUD,daily,10,3,,,[3.0]
CLOUD,daily,11,3,,,[3.0]
CLOUD,daily,12,3,,,[3.0]
CLOUD,daily,13,3,,,[3.0]
CLOUD,daily,14,3,,,[3.0]
CLOUD,daily,15,3,,,[3.0]
CLOUD,daily,16,3,,,[3.0]
CLOUD,daily,17,3,,,[3.0]
CLOUD,daily,18,3,,,[3.0]
CLOUD,daily,19,3,,,[3.0]
CLOUD,daily,20,3,,,[3.0]
CLOUD,daily,21,3,,,[3.0]
CLOUD,daily,22,3,,,[3.0]
CLOUD,daily,23,3,,,[3.0]
CLOUD,daily,24,3,,,[3.0]
CLOUD,daily,25,3,,,[3.0]
CLOUD,daily,26,3,,,[3.0]
CLOUD,daily,27,3,,,[3.0]
CLOUD,daily,28,3,,,[3.0]
CLOUD,daily,29,3,,,[3.0]
CLOUD,daily,30,3,,,[3.0]
CLOUD,daily,31,3,,,[3.0]
CLOUD,daily,32,3,,,[3.0]
CLOUD,daily,33,3,,,[3.0]
CLOUD,daily,34,3,,,[3.0]
CLOUD,daily,35,3,,,[3.0]
CLOUD,daily,36,3,,,[3.0]
CLOUD,daily,37,3,,,[3.0]
CLOUD,daily,38,3,,,[3.0]
CLOUD,daily,39,3,,,[3.0]
CLOUD,daily,40,3,,,[3.0]
CLOUD,daily,41,3,,,[3.0]
CLOUD,daily,42,3,,,[3.0]
CLOUD,daily,43,3,,,[3.0]
CLOUD,daily,44,3,,,[3.0]
CLOUD,daily,45,3,,,[3.0]
CLOUD,daily,46,3,,,[3.0]
CLOUD,daily,47,3,,,[3.0]
CLOUD,daily,48,3,,,[3.0]
CLOUD,daily,49,3,,,[3.0]
CLOUD,daily,50,3,,,[3.0]
CLOUD,daily,51,3,,,[3.0]
CLOUD,daily,52,3,,,[3.0]
CLOUD,daily,53,3,,,[3.0]
CLOUD,daily,54,3,,,[3.0]
CLOUD,daily,55,3,,,[3.0]
CLOUD,daily,56,3,,,[3.0]
CLOUD,daily,57,3,,,[3.0]
CLOUD,daily,58,3,,,[3.0]
CLOUD,daily,59,3,,,[3.0]
CCN3,daily,0,8,,,[8.0]
CCN3,daily,1,8,,,[8.0]
CCN3,daily,2,7,,,[7.0]
CCN3,daily,3,8,,,[8.0]
CCN3,daily,4,7,,,[7.0]
CCN3,daily,5,8,,,[8.0]
CCN3,daily,6,8,,,[8.0]
CCN3,daily,7,8,,,[8.0]
CCN3,daily,8,8,,,[8.0]
CCN3,daily,9,8,,,[8.0]
CCN3,daily,10,8,,,[8.0]
CCN3,daily,11,8,,,[8.0]
CCN3,daily,12,8,,,[8.0]
CCN3,daily,13,7,,,[7.0]
CCN3,daily,14,7,,,[7.0]
CCN3,daily,15,7,,,[7.0]
CCN3,daily,16,8,,,[8.0]
CCN3,daily,17,8,,,[8.0]
CCN3,daily,18,8,,,[8.0]
CCN3,daily,19,8,,,[8.0]
CCN3,daily,20,7,,,[7.0]
CCN3,daily,21,8,,,[8.0]
CCN3,daily,22,8,,,[8.0]
CCN3,daily,23,8,,,[8.0]
CCN3,daily,24,8,,,[8.0]
CCN3,daily,25,8,,,[8.0]
CCN3,daily,26,8,,,[8.0]
CCN3,daily,27,7,,,[7.0]
CCN3,daily,28,7,,,[7.0]
CCN3,daily,29,8,,,[8.0]
CCN3,daily,30,8,,,[8.0]
CCN3,daily,31,8,,,[8.0]
CCN3,daily,32,8,,,[8.0]
CCN3,daily,33,7,,,[7.0]
CCN3,daily,34,8,,,[8.0]
CCN3,daily,35,8,,,[8.0]
CCN3,daily,36,9,,,[9.0]
