variable,frequency,timestep,br_level,br_size,br_ratio,all_br_levs
FSNT,daily,0,8,,,[8.0]
FSNT,daily,1,8,,,[8.0]
FSNT,daily,2,8,,,[8.0]
FSNT,daily,3,8,,,[8.0]
FSNT,daily,4,7,,,[7.0]
FSNT,daily,5,7,,,[7.0]
FSNT,daily,6,7,,,[7.0]
FSNT,daily,7,9,,,[9.0]
FSNT,daily,8,8,,,[8.0]
FSNT,daily,9,8,,,[8.0]
FSNT,daily,10,7,,,[7.0]
FSNT,daily,11,7,,,[7.0]
FSNT,daily,12,7,,,[7.0]
FSNT,daily,13,7,,,[7.0]
FSNT,daily,14,8,,,[8.0]
FSNT,daily,15,8,,,[8.0]
FSNT,daily,16,8,,,[8.0]
FSNT,daily,17,8,,,[8.0]
FSNT,daily,18,8,,,[8.0]
FSNT,daily,19,7,,,[7.0]
FSNT,daily,20,8,,,[8.0]
FSNT,daily,21,8,,,[8.0]
FSNT,daily,22,7,,,[7.0]
FSNT,daily,23,9,,,[9.0]
FSNT,daily,24,7,,,[7.0]
FSNT,daily,25,7,,,[7.0]
FSNT,daily,26,7,,,[7.0]
FSNT,daily,27,8,,,[8.0]
FSNT,daily,28,8,,,[8.0]
FSNT,daily,29,7,,,[7.0]
FSNT,daily,30,7,,,[7.0]
FSNT,daily,31,7,,,[7.0]
FSNT,daily,32,7,,,[7.0]
FSNT,daily,33,8,,,[8.0]
FSNT,daily,34,9,,,[9.0]
FSNT,daily,35,9,,,[9.0]
FSNT,daily,36,7,,,[7.0]
FSNT,daily,37,7,,,[7.0]
FSNT,daily,38,7,,,[7.0]
FSNT,daily,39,7,,,[7.0]
FSNT,daily,40,8,,,[8.0]
FSNT,daily,41,8,,,[8.0]
FSNT,daily,42,7,,,[7.0]
FSNT,daily,43,7,,,[7.0]
FSNT,daily,44,7,,,[7.0]
FSNT,daily,45,7,,,[7.0]
FSNT,daily,46,7,,,[7.0]
FSNT,daily,47,9,,,[9.0]
FSNT,daily,48,8,,,[8.0]
FSNT,daily,49,7,,,[7.0]
FSNT,daily,50,7,,,[7.0]
FSNT,daily,51,7,,,[7.0]
FSNT,daily,52,7,,,[7.0]
FSNT,daily,53,8,,,[8.0]
FSNT,daily,54,8,,,[8.0]
FSNT,daily,55,7,,,[7.0]
FSNT,daily,56,7,,,[7.0]
FSNT,daily,57,7,,,[7.0]
FSNT,daily,58,7,,,[7.0]
FSNT,daily,59,8,,,[8.0]
CCN3,daily,0,11,,,[11.0]
CCN3,daily,1,12,,,[12.0]
CCN3,daily,2,11,,,[11.0]
CCN3,daily,3,11,,,[11.0]
CCN3,daily,4,11,,,[11.0]
CCN3,daily,5,11,,,[11.0]
CCN3,daily,6,12,,,[12.0]
CCN3,daily,7,11,,,[11.0]
CCN3,daily,8,11,,,[11.0]
CCN3,daily,9,12,,,[12.0]
CCN3,daily,10,12,,,[12.0]
CCN3,daily,11,11,,,[11.0]
CCN3,daily,12,11,,,[11.0]
CCN3,daily,13,11,,,[11.0]
CCN3,daily,14,11,,,[11.0]
