variable,level,size
FLUT,orig,110063288
FLUT,orig,110063288
FLUT,orig,110063288
FLUT,br_1,5241025
FLUT,br_2,7996450
FLUT,br_3,10692029
FLUT,br_4,14262735
FLUT,br_5,18553183
FLUT,br_6,23553135
FLUT,br_7,29820069
FLUT,br_8,39157842
FLUT,br_9,43764764
FLUT,br_10,47765595
FLUT,br_11,52525419
FLUT,br_12,57181034
FLUT,br_13,60768869
FLUT,br_14,65546584
FLUT,br_15,70077646
FLUT,br_16,79999740
FLUT,br_17,84373273
FLUT,br_18,88693910
FLUT,br_19,93526498
FLUT,br_20,97577691
LHFLX,orig,130489870
LHFLX,br_1,21965234
LHFLX,br_2,26166738
LHFLX,br_3,30722033
LHFLX,br_4,35822086
LHFLX,br_5,39840645
LHFLX,br_6,45384095
LHFLX,br_7,50557515
LHFLX,br_8,60059138
LHFLX,br_9,65336654
LHFLX,br_10,68553234
LHFLX,br_11,73365980
LHFLX,br_12,78203028
LHFLX,br_13,81452702
LHFLX,br_14,86727109
LHFLX,br_15,91189079
LHFLX,br_16,100783757
LHFLX,br_17,105168850
LHFLX,br_18,109484773
LHFLX,br_19,114333949
LHFLX,br_20,118694357
PRECT,orig,133453950
PRECT,br_1,27162774
PRECT,br_2,31818596
PRECT,br_3,36764782
PRECT,br_4,41474227
PRECT,br_5,45626722
PRECT,br_6,49610679
PRECT,br_7,54724511
PRECT,br_8,63958767
PRECT,br_9,69111347
PRECT,br_10,72447994
PRECT,br_11,77402103
PRECT,br_12,81864507
PRECT,br_13,85364166
PRECT,br_14,90050832
PRECT,br_15,94450751
PRECT,br_16,104241940
PRECT,br_17,108207780
PRECT,br_18,112844426
PRECT,br_19,117605634
PRECT,br_20,121494960
TAUX,orig,131772049
TAUX,br_1,23598211
TAUX,br_2,28023602
TAUX,br_3,32534180
TAUX,br_4,37578611
TAUX,br_5,41695077
TAUX,br_6,46674487
TAUX,br_7,52160984
TAUX,br_8,61421811
TAUX,br_9,66959917
TAUX,br_10,70028869
TAUX,br_11,75045735
TAUX,br_12,79756158
TAUX,br_13,83075203
TAUX,br_14,88279060
TAUX,br_15,92663145
TAUX,br_16,102344626
TAUX,br_17,106484852
TAUX,br_18,111048072
TAUX,br_19,115906442
TAUX,br_20,120139145
TS,orig,94047978
TS,br_1,1607166
TS,br_2,2741640
TS,br_3,3174004
TS,br_4,4983985
TS,br_5,7017989
TS,br_6,9603737
TS,br_7,13139497
TS,br_8,21632840
TS,br_9,25135772
TS,br_10,29745149
TS,br_11,34187201
TS,br_12,39013599
TS,br_13,43437293
TS,br_14,48318542
TS,br_15,53804108
TS,br_16,63060319
TS,br_17,68302394
TS,br_18,71744107
TS,br_19,76689406
TS,br_20,81288765
Z500,orig,89079789
Z500,br_1,1844655
Z500,br_2,2040267
Z500,br_3,2416996
Z500,br_4,3196441
Z500,br_5,4540761
Z500,br_6,6750702
Z500,br_7,8902879
Z500,br_8,16731248
Z500,br_9,20009549
Z500,br_10,23034809
Z500,br_11,26754931
Z500,br_12,32199212
Z500,br_13,37645124
Z500,br_14,43791384
Z500,br_15,48785921
Z500,br_16,58868920
Z500,br_17,63354707
Z500,br_18,67494888
Z500,br_19,71872247
Z500,br_20,75896737
