set,time,mean,variance,ns_con_var,w_e_first_differences,prob_positive,num_zero,range,quantile
orig_bc_a1_SRF,0,9.549638676772393e-11,1.576323017777256e-19,2.2523874248347417e-20,1.1967312102908386e-28,1.0,0,1.0276028028499252e-08,5.133705418235157e-13
orig_bc_a1_SRF,1,1.3332704345730908e-10,2.895909110085382e-19,3.01425644430442e-20,0.0,1.0,0,1.1382240926035498e-08,7.672186453852592e-13
orig_bc_a1_SRF,2,1.3987013222920829e-10,3.438418079488346e-19,3.9564462316074805e-20,0.0,1.0,0,1.2463562622568683e-08,8.246768610879751e-13
orig_bc_a1_SRF,3,1.3535809231317758e-10,3.2058624960825538e-19,4.328181758141212e-20,0.0,1.0,0,1.2900125410201843e-08,8.390580981745832e-13
orig_bc_a1_SRF,4,1.2207889719486936e-10,2.4932519985795928e-19,4.3191894627284437e-20,0.0,1.0,0,1.2780509086824662e-08,8.859202434152724e-13
orig_bc_a1_SRF,5,1.1063750974292926e-10,1.8085985401828505e-19,3.284320164583157e-20,0.0,1.0,0,1.2150798589190985e-08,8.765528992753235e-13
orig_bc_a1_SRF,6,1.191819599782518e-10,2.1394550758288807e-19,2.895118510563119e-20,0.0,1.0,0,1.068070431947674e-08,9.111211134518737e-13
orig_bc_a1_SRF,7,1.274638370364229e-10,2.654682029954779e-19,2.954207915937248e-20,0.0,1.0,0,1.1092190272578645e-08,9.309065020571272e-13
orig_bc_a1_SRF,8,1.3020657187534152e-10,2.7339599954764697e-19,3.421437605453708e-20,0.0,1.0,0,1.1362944361847022e-08,9.504946742872056e-13
orig_bc_a1_SRF,9,1.2856894395429846e-10,2.752969731113151e-19,3.4499319547290444e-20,0.0,1.0,0,1.0890758517176757e-08,1.03405505729251e-12
orig_bc_a1_SRF,10,1.2885189564088852e-10,2.8343502175433358e-19,3.4959060515253604e-20,0.0,1.0,0,1.1549907695548428e-08,1.0601400399906646e-12
orig_bc_a1_SRF,11,1.358268396811325e-10,3.1543738133871657e-19,2.988499766515986e-20,0.0,1.0,0,1.2660722234109763e-08,1.0352836751943706e-12
orig_bc_a1_SRF,12,1.3689900209497584e-10,3.1982046114804386e-19,3.255633830483876e-20,0.0,1.0,0,1.3127385389840046e-08,9.631343574241502e-13
orig_bc_a1_SRF,13,1.3668925055059953e-10,3.2155046228048647e-19,3.3590782804368424e-20,0.0,1.0,0,1.2527208592068301e-08,8.858181928857872e-13
orig_bc_a1_SRF,14,1.3900936456513754e-10,3.26648453341893e-19,3.6437106446295514e-20,0.0,1.0,0,1.1905822989927237e-08,8.752702610002189e-13
orig_bc_a1_SRF,15,1.3940704938553354e-10,3.353513496899095e-19,3.87836183868628e-20,0.0,1.0,0,1.4491565280299367e-08,8.456803779390704e-13
orig_bc_a1_SRF,16,1.4043849001047252e-10,3.3206592894521127e-19,4.0829968074167236e-20,0.0,1.0,0,1.4855872974480747e-08,8.289176907805978e-13
orig_bc_a1_SRF,17,1.3721118839960152e-10,2.826040454952233e-19,3.346703786145379e-20,0.0,1.0,0,1.0469920039927353e-08,8.157328978963818e-13
orig_bc_a1_SRF,18,1.2899952945471044e-10,2.23199370859165e-19,2.902159559882486e-20,0.0,1.0,0,8.904257775499934e-09,8.449152564659473e-13
orig_bc_a1_SRF,19,1.2415213357587685e-10,2.1775597242364134e-19,2.9401945218592326e-20,0.0,1.0,0,9.474251604053183e-09,8.620299569647716e-13
orig_bc_a1_SRF,20,1.3008997260615097e-10,2.5405568495518617e-19,3.156402989361108e-20,0.0,1.0,0,9.707345147786781e-09,8.931398914717448e-13
orig_bc_a1_SRF,21,1.3029122254661738e-10,2.588100215282435e-19,3.3354333254804034e-20,0.0,1.0,0,1.1179687397850602e-08,8.924664392923054e-13
orig_bc_a1_SRF,22,1.3523655778335225e-10,3.0868106428183186e-19,3.6917358848219807e-20,0.0,1.0,0,1.3024908263001425e-08,1.008155690006285e-12
orig_bc_a1_SRF,23,1.3983327489092836e-10,3.4522653078195083e-19,4.1730523115196606e-20,0.0,1.0,0,1.415092221091374e-08,1.0810591788076862e-12
orig_dst_a1_SRF,0,1.1292447069597374e-09,3.0088776725970164e-17,4.505553132732624e-18,-1.5407914332494548e-27,1.0,0,1.5115018925370969e-07,5.590956029307564e-13
orig_dst_a1_SRF,1,1.72938265960051e-09,1.435319382818789e-16,1.379547661583168e-16,-9.573849682326709e-28,1.0,0,1.4109941730447569e-06,1.2079533337136517e-12
orig_dst_a1_SRF,2,1.5722077491899972e-09,9.562663477873396e-17,5.374448893231987e-17,0.0,1.0,0,7.203844915848693e-07,1.2683332574307815e-12
orig_dst_a1_SRF,3,1.4559859897308726e-09,5.679237735480491e-17,1.8853203503928356e-17,-2.9918280257270965e-28,1.0,0,3.9721118126401164e-07,1.2492044074510766e-12
orig_dst_a1_SRF,4,1.456761905394754e-09,8.619714820249512e-17,7.320816444868843e-17,2.9918280257270965e-29,1.0,0,1.0289024885311715e-06,1.1480022661658484e-12
orig_dst_a1_SRF,5,1.305994467543126e-09,6.044527668068551e-17,3.73701772568444e-17,-4.786924841163354e-28,1.0,0,5.620564138526992e-07,1.0693716420186183e-12
orig_dst_a1_SRF,6,1.1895161017825701e-09,4.5046164865867903e-17,2.450072408693029e-17,0.0,1.0,0,4.410722169693304e-07,1.0146933206861553e-12
orig_dst_a1_SRF,7,1.2351431679830493e-09,1.1140903122670723e-16,1.0754718758435379e-16,0.0,1.0,0,1.2584176829461655e-06,1.0349503914465485e-12
orig_dst_a1_SRF,8,1.5271397216760482e-09,4.496841521019492e-16,6.449553374142113e-16,0.0,1.0,0,3.048003918587829e-06,1.0164640396742586e-12
orig_dst_a1_SRF,9,1.2675864457716414e-09,4.7986468956013496e-17,2.2793220648425822e-17,0.0,1.0,0,4.042167347502038e-07,9.857205655015855e-13
orig_dst_a1_SRF,10,1.2005446615316748e-09,3.9793210572076564e-17,1.3854094160091357e-17,0.0,1.0,0,3.0211131728615654e-07,9.854059842412388e-13
orig_dst_a1_SRF,11,1.2366811547830417e-09,4.339794149097277e-17,1.558877426708639e-17,0.0,1.0,0,2.464678629607809e-07,9.710652963158817e-13
orig_dst_a1_SRF,12,1.3733617285591198e-09,6.125028681444063e-17,2.5642858930709368e-17,0.0,1.0,0,3.606534448579147e-07,9.829443574187191e-13
orig_dst_a1_SRF,13,1.7246056524478425e-09,1.6380394765478035e-16,1.466162754395463e-16,0.0,1.0,0,1.1109021897457528e-06,9.483587960074091e-13
orig_dst_a1_SRF,14,1.8453262855092984e-09,1.0879799742530219e-16,4.7367288892093146e-17,0.0,1.0,0,3.752927852685312e-07,8.940352256257833e-13
orig_dst_a1_SRF,15,1.875604402257634e-09,9.428009740494169e-17,3.630103195929835e-17,0.0,1.0,0,5.11088160232602e-07,8.363669999622569e-13
orig_dst_a1_SRF,16,1.906816106400442e-09,9.868761809839346e-17,4.572680513313375e-17,4.786924841163354e-28,1.0,0,5.715148176890396e-07,8.816209752255527e-13
orig_dst_a1_SRF,17,1.9002248751002892e-09,1.119263574624585e-16,5.421500712569418e-17,-9.573849682326709e-28,1.0,0,7.839167324102332e-07,8.975360602306304e-13
orig_dst_a1_SRF,18,1.789488533360028e-09,7.464642470224295e-17,2.6454294652644727e-17,0.0,1.0,0,4.1460930333389964e-07,9.62932099508873e-13
orig_dst_a1_SRF,19,1.764292885903734e-09,7.690768147581368e-17,4.453985952785651e-17,0.0,1.0,0,5.298819587485454e-07,8.926263320076927e-13
orig_dst_a1_SRF,20,1.7273664939842359e-09,8.34516977079846e-17,5.324776980023434e-17,0.0,1.0,0,5.838505785379789e-07,8.276767671840796e-13
orig_dst_a1_SRF,21,1.6998078220262392e-09,8.283274454787354e-17,4.2084186706710456e-17,0.0,1.0,0,5.040520818502393e-07,7.732455626317802e-13
orig_dst_a1_SRF,22,1.738701498180706e-09,7.481546406904944e-17,2.6084171515452688e-17,0.0,1.0,0,4.3126968307636895e-07,7.828671250761227e-13
orig_dst_a1_SRF,23,1.810554966901788e-09,8.80337449567176e-17,4.9258263468243835e-17,0.0,1.0,0,6.890471695392801e-07,7.987206816079118e-13
orig_dst_a3_SRF,0,1.4834929366701404e-08,1.0070511457431759e-14,2.0575852305665635e-15,-4.2603631086353856e-26,1.0,0,3.6736489619215675e-06,2.8286657955192696e-12
