variable,frequency,timestep,bg_level,bg_size,bg_ratio,zfp_level,zfp_size,zfp_ratio
FLNS,daily,0,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,1,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,2,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,3,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,4,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,5,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,6,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,7,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,8,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,9,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,10,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,11,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,12,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,13,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,14,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,15,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,16,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,17,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,18,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,19,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,20,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,21,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,22,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNS,daily,23,3,63067209.0,2.0103334206528785,14,48748067.0,2.6008440088506486
FLNSC,daily,0,4,66413688.0,1.7465211990636629,16,49526890.0,2.3420189315339606
