variable,level,size
bc_a1_SRF,orig,130195620
bc_a1_SRF,br_1,22855398
bc_a1_SRF,br_2,27525576
bc_a1_SRF,br_3,32522089
bc_a1_SRF,br_4,37595313
bc_a1_SRF,br_5,41784113
bc_a1_SRF,br_6,45392080
bc_a1_SRF,br_7,51131718
bc_a1_SRF,br_8,60336817
bc_a1_SRF,br_9,65746514
bc_a1_SRF,br_10,68899191
bc_a1_SRF,br_11,73870758
bc_a1_SRF,br_12,78491286
bc_a1_SRF,br_13,81906566
bc_a1_SRF,br_14,86939577
bc_a1_SRF,br_15,91319040
bc_a1_SRF,br_16,100954946
bc_a1_SRF,br_17,104999126
bc_a1_SRF,br_18,109596549
bc_a1_SRF,br_19,114408135
bc_a1_SRF,br_20,118548757
bc_a1_SRF,br_21,122247966
bc_a1_SRF,br_22,126126315
bc_a1_SRF,orig,130195620
bc_a1_SRF,br_1,22855398
bc_a1_SRF,br_2,27525576
bc_a1_SRF,br_3,32522089
bc_a1_SRF,br_4,37595313
bc_a1_SRF,br_5 ,41784113
bc_a1_SRF,br_6,45392080
bc_a1_SRF,br_7,51131718
bc_a1_SRF,br_8,60336817
bc_a1_SRF,br_9,65746514
bc_a1_SRF,br_10,68899191
bc_a1_SRF,br_11,73870758
bc_a1_SRF,br_12,78491286
bc_a1_SRF,br_13,81906566
bc_a1_SRF,br_14,86939577
bc_a1_SRF,br_15,91319040
bc_a1_SRF,br_16,100954946
bc_a1_SRF,br_17,104999126
bc_a1_SRF,br_18,109596549
bc_a1_SRF,br_19,114408135
bc_a1_SRF,br_20,118548757
bc_a1_SRF,br_21,122247966
bc_a1_SRF,br_22,126126315
dst_a1_SRF,orig,130490360
dst_a1_SRF,br_1,23131228
dst_a1_SRF,br_2,27830812
dst_a1_SRF,br_3,32782224
dst_a1_SRF,br_4,37825541
dst_a1_SRF,br_5,42030396
dst_a1_SRF,br_6,45659570
dst_a1_SRF,br_7,51406799
dst_a1_SRF,br_8,60609356
dst_a1_SRF,br_9,66023010
dst_a1_SRF,br_10,69172822
dst_a1_SRF,br_11,74144567
dst_a1_SRF,br_12,78777603
dst_a1_SRF,br_13,82184535
dst_a1_SRF,br_14,87216266
dst_a1_SRF,br_15,91584396
dst_a1_SRF,br_16,101242801
dst_a1_SRF,br_17,105275566
dst_a1_SRF,br_18,109887994
dst_a1_SRF,br_19,114700772
dst_a1_SRF,br_20,118828062
dst_a1_SRF,br_21,122536552
dst_a1_SRF,br_22,126413871
dst_a3_SRF,orig,130585375
dst_a3_SRF,br_1,23236118
dst_a3_SRF,br_2,27943978
dst_a3_SRF,br_3,32873886
dst_a3_SRF,br_4,37921023
dst_a3_SRF,br_5,42142112
dst_a3_SRF,br_6,45784520
dst_a3_SRF,br_7,51513664
dst_a3_SRF,br_8,60707629
dst_a3_SRF,br_9,66128002
dst_a3_SRF,br_10,69267672
dst_a3_SRF,br_11,74236705
dst_a3_SRF,br_12,78878857
dst_a3_SRF,br_13,82282871
dst_a3_SRF,br_14,87313598
dst_a3_SRF,br_15,91676928
dst_a3_SRF,br_16,101341133
dst_a3_SRF,br_17,105368550
dst_a3_SRF,br_18,109982378
dst_a3_SRF,br_19,114795674
dst_a3_SRF,br_20,118913570
dst_a3_SRF,br_21,122629360
dst_a3_SRF,br_22,126503775
FLNS,orig,126786118
FLNS,br_1,17063129
FLNS,br_2,20822215
FLNS,br_3,25463545
FLNS,br_4,30732221
FLNS,br_5,35143640
FLNS,br_6,41207416
FLNS,br_7,46142592
FLNS,br_8,56240411
FLNS,br_9,60791929
FLNS,br_10,64718164
FLNS,br_11,69207380
FLNS,br_12,73744584
FLNS,br_13,77022664
FLNS,br_14,82230574
FLNS,br_15,86740034
FLNS,br_16,96336972
FLNS,br_17,101212460
FLNS,br_18,105035696
FLNS,br_19,109881291
FLNS,br_20,114262349
FLNS,br_21,117724422
FLNS,br_22,122579642
FLNSC,orig,115992914
FLNSC,br_1,8512186
FLNSC,br_2,11163030
FLNSC,br_3,14360766
FLNSC,br_4,18301033
FLNSC,br_5,23125094
FLNSC,br_6,28991171
FLNSC,br_7,35624657
FLNSC,br_8,45476949
FLNSC,br_9,49822289
FLNSC,br_10,54011738
FLNSC,br_11,58645244
FLNSC,br_12,63055394
FLNSC,br_13,66522438
FLNSC,br_14,71418668
FLNSC,br_15,75952480
FLNSC,br_16,85678124
FLNSC,br_17,90277042
FLNSC,br_18,94362756
FLNSC,br_19,99163177
FLNSC,br_20,103463441
FLNSC,br_21,106953077
FLNSC,br_22,111664269
FLUT,orig,110063996
FLUT,br_1,5241025
FLUT,br_2,7996450
FLUT,br_3,10692029
FLUT,br_4,14262735
FLUT,br_5,18553183
FLUT,br_6,23553135
FLUT,br_7,29820069
FLUT,br_8,39157842
FLUT,br_9,43764764
FLUT,br_10,47765595
FLUT,br_11,52525419
FLUT,br_12,57181034
FLUT,br_13,60768869
FLUT,br_14,65546584
FLUT,br_15,70077646
FLUT,br_16,79999740
