levels,algs,ratios,variable,times
20,zfp,1.60,FLNS,0
20,zfp,1.60,FLNS,1
18,zfp,1.84,FLNS,2
18,zfp,1.84,FLNS,3
20,zfp,1.60,FLNS,4
20,zfp,1.60,FLNS,5
18,zfp,1.84,FLNS,6
18,zfp,1.84,FLNS,7
20,zfp,1.60,FLNS,8
18,zfp,1.84,FLNS,9
18,zfp,1.84,FLNS,10
20,zfp,1.60,FLNS,11
20,zfp,1.60,FLNS,12
18,zfp,1.84,FLNS,13
20,zfp,1.60,FLNS,14
20,zfp,1.60,FLNS,15
20,zfp,1.60,FLNS,16
20,zfp,1.60,FLNS,17
18,zfp,1.84,FLNS,18
18,zfp,1.84,FLNS,19
20,zfp,1.60,FLNS,20
18,zfp,1.84,FLNS,21
18,zfp,1.84,FLNS,22
22,zfp,1.42,FLNS,23
22,zfp,1.42,FLNS,24
20,zfp,1.60,FLNS,25
20,zfp,1.60,FLNS,26
20,zfp,1.60,FLNS,27
20,zfp,1.60,FLNS,28
18,zfp,1.84,FLNS,29
18,zfp,1.84,FLNS,30
20,zfp,1.60,FLNS,31
22,zfp,1.42,FLNS,32
18,zfp,1.84,FLNS,33
18,zfp,1.84,FLNS,34
18,zfp,1.84,FLNS,35
20,zfp,1.60,FLNS,36
22,zfp,1.42,FLNS,37
18,zfp,1.84,FLNS,38
18,zfp,1.84,FLNS,39
20,zfp,1.60,FLNS,40
18,zfp,1.84,FLNS,41
18,zfp,1.84,FLNS,42
18,zfp,1.84,FLNS,43
20,zfp,1.60,FLNS,44
20,zfp,1.60,FLNS,45
18,zfp,1.84,FLNS,46
18,zfp,1.84,FLNS,47
20,zfp,1.60,FLNS,48
20,zfp,1.60,FLNS,49
18,zfp,1.84,FLNS,50
18,zfp,1.84,FLNS,51
22,zfp,1.42,FLNS,52
18,zfp,1.84,FLNS,53
18,zfp,1.84,FLNS,54
22,zfp,1.42,FLNS,55
20,zfp,1.60,FLNS,56
20,zfp,1.60,FLNS,57
22,zfp,1.42,FLNS,58
22,zfp,1.42,FLNS,59
20,zfp,1.60,FLNS,60
22,zfp,1.42,FLNS,61
18,zfp,1.84,FLNS,62
20,zfp,1.60,FLNS,63
18,zfp,1.84,FLNS,64
20,zfp,1.60,FLNS,65
18,zfp,1.84,FLNS,66
20,zfp,1.60,FLNS,67
20,zfp,1.60,FLNS,68
20,zfp,1.60,FLNS,69
18,zfp,1.84,FLNS,70
18,zfp,1.84,FLNS,71
22,zfp,1.42,FLNS,72
18,zfp,1.84,FLNS,73
18,zfp,1.84,FLNS,74
20,zfp,1.60,FLNS,75
20,zfp,1.60,FLNS,76
20,zfp,1.60,FLNS,77
20,zfp,1.60,FLNS,78
18,zfp,1.84,FLNS,79
18,zfp,1.84,FLNS,80
20,zfp,1.60,FLNS,81
18,zfp,1.84,FLNS,82
20,zfp,1.60,FLNS,83
20,zfp,1.60,FLNS,84
5,bg,1.36,FLNS,85
20,zfp,1.60,FLNS,86
20,zfp,1.60,FLNS,87
20,zfp,1.60,FLNS,88
20,zfp,1.60,FLNS,89
20,zfp,1.60,FLNS,90
20,zfp,1.60,FLNS,91
22,zfp,1.42,FLNS,92
20,zfp,1.60,FLNS,93
20,zfp,1.60,FLNS,94
22,zfp,1.42,FLNS,95
20,zfp,1.60,FLNS,96
20,zfp,1.60,FLNS,97
20,zfp,1.60,FLNS,98
22,zfp,1.42,FLNS,99
22,zfp,1.42,FLNS,100
18,zfp,1.84,FLNS,101
18,zfp,1.84,FLNS,102
18,zfp,1.84,FLNS,103
22,zfp,1.42,FLNS,104
22,zfp,1.42,FLNS,105
20,zfp,1.60,FLNS,106
20,zfp,1.60,FLNS,107
20,zfp,1.60,FLNS,108
22,zfp,1.42,FLNS,109
18,zfp,1.84,FLNS,110
20,zfp,1.60,FLNS,111
20,zfp,1.60,FLNS,112
18,zfp,1.84,FLNS,113
20,zfp,1.60,FLNS,114
20,zfp,1.60,FLNS,115
22,zfp,1.42,FLNS,116
22,zfp,1.42,FLNS,117
5,bg,1.36,FLNS,118
22,zfp,1.42,FLNS,119
20,zfp,1.60,FLNS,120
20,zfp,1.60,FLNS,121
