set,time,mean,variance,ns_con_var,w_e_first_differences,prob_positive,num_zero,range,quantile,fftmax,fftratio,vfftmax,vfftratio,variable,levels,algs,ratios
orig_bc_a1_SRF,0,1.0,8.664323900642918,0.7707094172260052,-2.1684043449710093e-18,1.0,0.0,150.55479746780492,0.4116446295008228,126.80087845848917,14.676097825739788,126.80087845848917,14.676097825739788,bc_a1_SRF,20,zfp,1.59
orig_dst_a1_SRF,0,1.0,0.8583360331729861,0.0984497081762009,-2.6101163411688068e-20,1.0,0.0,36.388371737798046,0.8381570187251415,17.01226514460652,3.055651721434105,17.01226514460652,3.055651721434105,dst_a1_SRF,22,zfp,1.42
orig_dst_a3_SRF,0,1.0000000000000002,0.6131772305049178,0.0824710586953663,-5.240310500346604e-19,1.0,0.0,23.30619843351449,0.8556916279576108,10.255383289353455,2.418581799815033,10.255383289353455,2.418581799815033,dst_a3_SRF,24,zfp,1.28
orig_FLNS,0,1.0,43.03028521180409,36.53554610169277,4.7182872321128434e-18,1.0,0.0,1396.635698771994,0.4899349370878534,60.57227860112992,7.376443109985684,60.57227860112992,7.376443109985684,FLNS,20,zfp,1.6
orig_FLNSC,0,1.0,203.93795300178795,191.54045767892492,1.3548511592467009e-17,1.0,0.0,3244.040946365366,0.3894837900480394,83.94483541469289,7.29700669590818,83.94483541469289,7.29700669590818,FLNSC,14,zfp,2.94
orig_FLUT,0,1.0,559.2084874132719,447.3333165153159,1.827081438818165e-17,1.0,0.0,5459.652266756208,0.2719917757626318,474.9544884726225,27.304051959043026,474.9544884726225,27.304051959043026,FLUT,14,zfp,3.0
orig_FSNS,0,1.0,54.573353204710976,22.687530751396707,-4.690178286900256e-18,1.0,0.0,1379.45720646656,0.5210223545143648,192.35235481729475,10.432080128720004,192.35235481729475,10.432080128720004,FSNS,16,zfp,2.13
orig_FSNSC,0,1.0,433.1040934460451,162.5100042163529,-1.79415381728342e-17,1.0,0.0,3919.553234129344,0.3954554534401967,343.22449834721897,14.15022459286122,343.22449834721897,14.15022459286122,FSNSC,16,zfp,2.42
orig_FSNTOA,0,1.0,127.23425132477864,53.39102962544923,8.697710761494825e-18,1.0,0.0,2182.6522533769867,0.5009815367055535,187.11087398303636,8.16169596764425,187.11087398303636,8.16169596764425,FSNTOA,14,zfp,2.63
orig_ICEFRAC,0,1.0,19.71338318174608,1.9921735965623588,1.2829725707745136e-18,1.0,0.0,393.8299714727184,0.370962929310154,38.20130854371483,5.396696831950841,38.20130854371483,5.396696831950841,ICEFRAC,100000,zfp,1.0
