variable,frequency,timestep,zfp_level,zfp_size,zfp_ratio,all_zfp_levs
bc_a1_SRF,daily,0,20,81649649.0,1.5945643563023768,"[12.0, 10.0, 18.0, 20.0, 12.0]"
dst_a1_SRF,daily,0,22,91908073.0,1.419792143830499,"[10.0, 10.0, 18.0, 22.0, 14.0]"
dst_a3_SRF,daily,0,24,101917867.0,1.281280494223844,"[10.0, 10.0, 18.0, 24.0, 14.0]"
FLNS,daily,0,20,79022814.0,1.6044242362718188,"[12.0, 10.0, 16.0, 20.0, 14.0]"
FLNSC,daily,0,14,39436025.0,2.941293246466904,"[14.0, 10.0, 14.0, 12.0, 14.0]"
FLUT,daily,0,14,36661637.0,3.002157159539821,"[14.0, 10.0, 14.0, 10.0, 14.0]"
FSNS,daily,0,16,54096375.0,2.1283940559787973,"[12.0, 10.0, 16.0, 16.0, 12.0]"
FSNSC,daily,0,16,41946195.0,2.420995754203689,"[16.0, 10.0, 14.0, 14.0, 12.0]"
FSNTOA,daily,0,14,41841519.0,2.62732435693838,"[12.0, 10.0, 14.0, 12.0, 12.0]"
ICEFRAC,daily,0,100000,24115425.0,1.0,"[12.0, 100000.0, 14.0, 100000.0, 12.0]"
LHFLX,daily,0,22,88614403.0,1.472566338905426,"[12.0, 10.0, 18.0, 22.0, 12.0]"
pom_a1_SRF,daily,0,20,81662441.0,1.5949614829662022,"[10.0, 10.0, 18.0, 20.0, 12.0]"
PRECL,daily,0,100000,135276455.0,1.0,"[12.0, 100000.0, 24.0, 100000.0, 12.0]"
PRECSC,daily,0,100000,8239280.0,1.0,"[12.0, 100000.0, 10.0, 100000.0, 12.0]"
PRECSL,daily,0,100000,102234476.0,1.0,"[10.0, 100000.0, 100000.0, 100000.0, 12.0]"
PRECT,daily,0,100000,133454667.0,1.0,"[12.0, 100000.0, 22.0, 100000.0, 12.0]"
PRECTMX,daily,0,100000,133454667.0,1.0,"[12.0, 100000.0, 22.0, 100000.0, 12.0]"
PSL,daily,0,20,40512080.0,2.163780729105985,"[20.0, 14.0, 14.0, 10.0, 16.0]"
Q200,daily,0,16,49391013.0,2.4225622179484354,"[14.0, 10.0, 16.0, 12.0, 12.0]"
Q500,daily,0,16,53500964.0,2.331144294895322,"[12.0, 10.0, 16.0, 14.0, 12.0]"
Q850,daily,0,16,52229029.0,2.3261754109960573,"[12.0, 10.0, 16.0, 14.0, 12.0]"
QBOT,daily,0,16,51276251.0,2.3301488051456802,"[12.0, 10.0, 16.0, 12.0, 12.0]"
SHFLX,daily,0,22,90246482.0,1.4557222518657293,"[12.0, 10.0, 16.0, 22.0, 12.0]"
so4_a1_SRF,daily,0,18,71075106.0,1.8096835339225523,"[12.0, 10.0, 16.0, 18.0, 12.0]"
so4_a2_SRF,daily,0,18,71326362.0,1.807790393122812,"[12.0, 10.0, 16.0, 18.0, 12.0]"
so4_a3_SRF,daily,0,18,70893789.0,1.8187106207569186,"[12.0, 10.0, 16.0, 18.0, 12.0]"
soa_a1_SRF,daily,0,100000,131418187.0,1.0,"[10.0, 12.0, 18.0, 100000.0, 12.0]"
soa_a2_SRF,daily,0,100000,134162158.0,1.0,"[10.0, 20.0, 24.0, 100000.0, 12.0]"
T010,daily,0,20,31628985.0,2.6313469433179724,"[20.0, 14.0, 14.0, 10.0, 14.0]"
T200,daily,0,18,36020344.0,2.5435951694409136,"[18.0, 12.0, 14.0, 10.0, 16.0]"
T500,daily,0,18,35217852.0,2.5695444458111756,"[18.0, 14.0, 14.0, 10.0, 16.0]"
T850,daily,0,18,39241127.0,2.3554788831625553,"[18.0, 14.0, 14.0, 10.0, 16.0]"
TAUX,daily,0,22,87556948.0,1.5049949662475672,"[12.0, 10.0, 18.0, 22.0, 12.0]"
TAUY,daily,0,24,98314422.0,1.348678609939852,"[12.0, 10.0, 18.0, 24.0, 12.0]"
TMQ,daily,0,16,49403321.0,2.4270691842760934,"[12.0, 10.0, 16.0, 12.0, 12.0]"
TREFHT,daily,0,18,39557055.0,2.3755736366117244,"[18.0, 12.0, 14.0, 10.0, 16.0]"
TREFHTMN,daily,0,18,42393829.0,2.2420104350564793,"[18.0, 12.0, 14.0, 10.0, 16.0]"
TREFHTMX,daily,0,18,41315398.0,2.2830513214467882,"[18.0, 12.0, 14.0, 10.0, 16.0]"
TS,daily,0,18,39252278.0,2.396006035624225,"[18.0, 14.0, 14.0, 10.0, 16.0]"
U010,daily,0,22,63745550.0,1.7304619538148154,"[14.0, 10.0, 16.0, 22.0, 10.0]"
U200,daily,0,20,66037956.0,1.8792655999225658,"[10.0, 10.0, 16.0, 20.0, 12.0]"
U500,daily,0,20,70049750.0,1.8069703317998993,"[10.0, 10.0, 16.0, 20.0, 12.0]"
U850,daily,0,24,94041522.0,1.3738361763221996,"[10.0, 10.0, 16.0, 24.0, 12.0]"
VBOT,daily,0,20,76203131.0,1.7237119430171446,"[10.0, 10.0, 16.0, 20.0, 12.0]"
WSPDSRFAV,daily,0,16,53247467.0,2.329068573346409,"[10.0, 10.0, 16.0, 12.0, 12.0]"
Z050,daily,0,22,35568417.0,2.0815493700492773,"[22.0, 16.0, 14.0, 10.0, 16.0]"
Z500,daily,0,20,40685357.0,2.189497956230297,"[20.0, 14.0, 14.0, 10.0, 16.0]"
