set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
br_1_CDNUMC,0,0.8455302444477162,1.219651882711405e-105,99.39236111111111,0.1999951171576975,0.9925273387510241
br_1_CDNUMC,1,0.8497141319586944,2.666046139544062e-143,99.43033854166666,0.19999282830484968,0.9930225218036814
br_1_CDNUMC,2,0.8502999683228462,2.9452855237919155e-137,99.44480613425925,0.199994277913174,0.9929443181689607
br_1_CDNUMC,3,0.8414500570464141,1.4848986292440355e-135,99.40502025462963,0.19997795044209268,0.9923377119961131
br_1_CDNUMC,4,0.8616301439827682,1.6034052034317578e-85,99.38693576388889,0.1999999237060474,0.9920540956650916
br_1_CDNUMC,5,0.881960169311338,9.37576070434101e-115,99.43033854166666,0.1999936675524146,0.9914640791175344
br_1_CDNUMC,6,0.8674146072317952,7.863475858811708e-109,99.47374131944444,0.19997772154757423,0.9912526414543754
br_1_CDNUMC,7,0.8822034778868344,2.1437255673450728e-89,99.44480613425925,0.1999948119780745,0.9916177959119529
br_1_CDNUMC,8,0.8627205572810316,1.2890627032762548e-129,99.4285300925926,0.19997627187924905,0.9918427177674051
br_1_CDNUMC,9,0.8381562145966154,1.123160394327131e-176,99.45565682870371,0.1999980926468197,0.9928707137189243
br_1_CDNUMC,10,0.858981037865022,5.001830384623466e-141,99.42129629629629,0.19999328607646702,0.9926612020212195
br_1_CDNUMC,11,0.85781158314674,6.345022442199029e-132,99.42672164351852,0.19997703486323298,0.9920511970014627
br_1_CDNUMC,12,0.8654372107533804,2.479166998073279e-151,99.45746527777779,0.19996299572495715,0.9922057973465407
br_1_CDNUMC,13,0.8458507191700254,8.66273842491106e-162,99.46108217592592,0.19998840315220634,0.9918352269881844
br_1_CDNUMC,14,0.7958199382060389,1.3465046936174424e-179,99.45565682870371,0.19999794005817237,0.9936616520644801
br_1_CDNUMC,15,0.8300018405173724,6.699049858119743e-99,99.45384837962963,0.19999267571419416,0.9924659866159871
