set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
br_1_TMCO2_LND,0,0.07176323503307022,0.0,99.90234375,0.19999984741208027,0.5766820702974481
br_1_TMCO2_LND,1,0.07967573636354493,0.0,99.9168113425926,0.19999938964797184,0.5677496721871506
br_1_TMCO2_LND,2,0.08056736658551929,0.0,99.91500289351852,0.1999995422360662,0.5873318891440233
br_1_TMCO2_LND,3,0.08083454968819681,0.0,99.90596064814815,0.1999995422360662,0.6029547336082477
br_1_TMCO2_LND,4,0.07202303200850559,0.0,99.93308738425925,0.19999977111809858,0.583146421394287
br_1_TMCO2_LND,5,0.06961887159106077,0.0,99.92766203703704,0.19999977111809858,0.5735966546880533
br_1_TMCO2_LND,6,0.06910446537642556,0.0,99.91319444444444,0.1999999237060474,0.5210154899089274
br_1_TMCO2_LND,7,0.05465807313138261,0.0,99.90596064814815,0.19999969482410235,0.5164630127297182
br_1_TMCO2_LND,8,0.053124863388503696,0.0,99.91500289351852,0.19999938964797184,0.5088167287626637
br_1_TMCO2_LND,9,0.05172992874463917,0.0,99.93489583333334,0.19999969482410235,0.504264309901541
br_1_TMCO2_LND,10,0.06601207060897149,0.0,99.91319444444444,0.1999995422360662,0.5425537235983834
br_1_TMCO2_LND,11,0.07117651149541988,0.0,99.9168113425926,0.19999931335390284,0.5005351429371715
br_1_TMCO2_LND,12,0.06821068271289138,0.0,99.90596064814815,0.19999938964797184,0.5517811252524056
br_1_TMCO2_LND,13,0.08375717372799818,0.0,99.91861979166666,0.19999961853009154,0.5669970511252711
br_1_TMCO2_LND,14,0.07483223860292276,0.0,99.89872685185185,0.19999969482410235,0.5797429920109232
br_1_TMCO2_LND,15,0.07570701903931397,0.0,99.90776909722221,0.19999961853009154,0.58231413258361
br_1_TMCO2_LND,16,0.07223213099701528,0.0,99.92223668981481,0.19999969482410235,0.5704583161222041
br_1_TMCO2_LND,17,0.06707121649174803,0.0,99.92404513888889,0.19999923705981928,0.5517549317430218
br_1_TMCO2_LND,18,0.0635751061902084,0.0,99.9168113425926,0.1999999237060474,0.5157487225996996
br_1_TMCO2_LND,19,0.057300059257877636,0.0,99.90596064814815,0.19999946594202628,0.5198760753685633
br_1_TMCO2_LND,20,0.05407142766107195,0.0,99.92404513888889,0.19999977111809858,0.5213965112842067
br_1_TMCO2_LND,21,0.05720002605942658,0.0,99.92042824074075,0.1999995422360662,0.4996857238299731
br_1_TMCO2_LND,22,0.05863354136343924,0.0,99.90415219907408,0.19999977111809858,0.5193203642017168
br_1_TMCO2_LND,23,0.06419932632570274,0.0,99.90957754629629,0.1999999237060474,0.5433788438312888
br_1_TMCO2_LND,24,0.07191766488364597,0.0,99.89330150462963,0.1999995422360662,0.5742260175992105
br_1_TMCO2_LND,25,0.08281346141241365,0.0,99.90596064814815,0.19999969482410235,0.5697596321224282
br_1_TMCO2_LND,26,0.07773350333127294,0.0,99.89691840277779,0.19999908447160852,0.5765817592325759
br_1_TMCO2_LND,27,0.0757762252695917,0.0,99.91319444444444,0.19999977111809858,0.5942889814097532
br_1_TMCO2_LND,28,0.07950891176023198,0.0,99.91138599537037,0.19999984741208027,0.5888994090601747
br_1_TMCO2_LND,29,0.06821668426538843,0.0,99.92042824074075,0.19999969482410235,0.5501914702673134
br_1_TMCO2_LND,30,0.05880872552568648,0.0,99.90776909722221,0.1999980163525033,0.5349782758006036
br_1_TMCO2_LND,31,0.06050020842257525,0.0,99.94212962962963,0.19999855041241243,0.5305545063316345
br_1_TMCO2_LND,32,0.06327487613626559,0.0,99.91861979166666,0.19999946594202628,0.5165202892862661
