levels,algs,ratios,variable,time
100000,zfp,1.00,ABSORB,0
100000,zfp,1.00,ABSORB,1
100000,zfp,1.00,ABSORB,2
100000,zfp,1.00,ABSORB,3
26,zfp,1.00,ABSORB,4
26,zfp,1.00,ABSORB,5
100000,zfp,1.00,ABSORB,6
16,zfp,2.59,ABSORB,7
100000,zfp,1.00,ABSORB,8
100000,zfp,1.00,ABSORB,9
100000,zfp,1.00,ABSORB,10
100000,zfp,1.00,ABSORB,11
100000,zfp,1.00,ABSORB,12
100000,zfp,1.00,ABSORB,13
16,zfp,2.59,ABSORB,14
100000,zfp,2.59,ABSORB,15
100000,zfp,2.59,ABSORB,16
26,zfp,2.59,ABSORB,17
26,zfp,2.59,ABSORB,18
100000,zfp,2.59,ABSORB,19
16,zfp,2.59,ABSORB,20
100000,zfp,1.00,ABSORB,21
100000,zfp,1.00,ABSORB,22
100000,zfp,1.00,ABSORB,23
100000,zfp,1.00,ABSORB,24
100000,zfp,1.00,ABSORB,25
100000,zfp,1.00,ABSORB,26
16,zfp,2.59,ABSORB,27
100000,zfp,2.59,ABSORB,28
100000,zfp,2.59,ABSORB,29
26,zfp,2.59,ABSORB,30
26,zfp,2.59,ABSORB,31
100000,zfp,2.59,ABSORB,32
16,zfp,2.59,ABSORB,33
100000,zfp,1.00,ABSORB,34
100000,zfp,1.00,ABSORB,35
100000,zfp,1.00,ABSORB,36
100000,zfp,1.00,ABSORB,37
100000,zfp,1.00,ABSORB,38
100000,zfp,1.00,ABSORB,39
14,zfp,3.42,ABSORB,40
100000,zfp,3.42,ABSORB,41
100000,zfp,3.42,ABSORB,42
26,zfp,3.42,ABSORB,43
26,zfp,3.42,ABSORB,44
100000,zfp,3.42,ABSORB,45
16,zfp,2.59,ABSORB,46
16,zfp,2.59,ABSORB,47
100000,zfp,1.00,ABSORB,48
100000,zfp,1.00,ABSORB,49
100000,zfp,1.00,ABSORB,50
100000,zfp,1.00,ABSORB,51
100000,zfp,1.00,ABSORB,52
14,zfp,3.42,ABSORB,53
100000,zfp,3.42,ABSORB,54
100000,zfp,3.42,ABSORB,55
26,zfp,3.42,ABSORB,56
100000,zfp,3.42,ABSORB,57
26,zfp,3.42,ABSORB,58
100000,zfp,3.42,ABSORB,59
16,zfp,2.59,ABSORB,60
100000,zfp,1.00,ABSORB,61
100000,zfp,1.00,ABSORB,62
100000,zfp,1.00,ABSORB,63
100000,zfp,1.00,ABSORB,64
100000,zfp,1.00,ABSORB,65
16,zfp,2.59,ABSORB,66
100000,zfp,2.59,ABSORB,67
100000,zfp,2.59,ABSORB,68
100000,zfp,2.59,ABSORB,69
26,zfp,2.59,ABSORB,70
26,zfp,2.59,ABSORB,71
100000,zfp,2.59,ABSORB,72
16,zfp,2.59,ABSORB,73
100000,zfp,1.00,ABSORB,74
100000,zfp,1.00,ABSORB,75
100000,zfp,1.00,ABSORB,76
100000,zfp,1.00,ABSORB,77
100000,zfp,1.00,ABSORB,78
26,zfp,1.00,ABSORB,79
16,zfp,2.59,ABSORB,80
100000,zfp,2.59,ABSORB,81
100000,zfp,2.59,ABSORB,82
26,zfp,2.59,ABSORB,83
26,zfp,2.59,ABSORB,84
100000,zfp,2.59,ABSORB,85
16,zfp,2.59,ABSORB,86
