variable,best_alg,best_ratio,best_size,best_level
CDNUMC,sz,7.0718327793999824,63949912.0,0.001
CDNUMC,sz,7.0718327793999824,63949912.0,0.001
CDNUMC,sz,3.3406826013876363,19142768.0,0.0001
CDNUMC,sz,3.3406826013876363,19142768.0,0.0001
CDNUMC,sz,7.0718327793999824,63949912.0,0.001
CDNUMC,sz,7.0718327793999824,63949912.0,0.001
CDNUMC,sz,7.0718327793999824,63949912.0,0.001
CDNUMC,sz,7.0718327793999824,63949912.0,0.001
CDNUMC,sz,15.613267022634997,4095870.0,0.005
CDNUMC,sz,3.3406826013876363,19142768.0,0.0001
CDNUMC,sz,3.3406826013876363,19142768.0,0.0001
CDNUMC,sz,7.0718327793999824,63949912.0,0.001
CDNUMC,sz,3.3406826013876363,19142768.0,0.0001
CDNUMC,sz,15.613267022634997,4095870.0,0.005
CDNUMC,sz,15.613267022634997,4095870.0,0.005
CDNUMC,sz,7.0718327793999824,63949912.0,0.001
CDNUMC,sz,7.0718327793999824,63949912.0,0.001
CDNUMC,sz,7.0718327793999824,63949912.0,0.001
CDNUMC,sz,7.0718327793999824,63949912.0,0.001
CDNUMC,sz,7.0718327793999824,63949912.0,0.001
CDNUMC,sz,3.3406826013876363,19142768.0,0.0001
CDNUMC,sz,15.613267022634997,4095870.0,0.005
CDNUMC,sz,7.0718327793999824,63949912.0,0.001
CDNUMC,sz,3.3406826013876363,19142768.0,0.0001
CDNUMC,sz,3.3406826013876363,19142768.0,0.0001
CDNUMC,sz,15.613267022634997,4095870.0,0.005
CDNUMC,sz,15.613267022634997,4095870.0,0.005
CDNUMC,sz,15.613267022634997,4095870.0,0.005
CDNUMC,sz,15.613267022634997,4095870.0,0.005
CDNUMC,sz,7.0718327793999824,63949912.0,0.001
CDNUMC,sz,7.0718327793999824,63949912.0,0.001
CDNUMC,sz,7.0718327793999824,63949912.0,0.001
CDNUMC,sz,7.0718327793999824,63949912.0,0.001
CDNUMC,sz,3.3406826013876363,19142768.0,0.0001
