variable,best_alg,best_ratio,best_size,best_level
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,26
ABSORB,zfp,1.0,48945191.0,26
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,2.5902127437758007,18896205.0,16
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,2.5902127437758007,18896205.0,16
ABSORB,zfp,2.5902127437758007,18896205.0,100000
ABSORB,zfp,2.5902127437758007,18896205.0,100000
ABSORB,zfp,2.5902127437758007,18896205.0,26
ABSORB,zfp,2.5902127437758007,18896205.0,26
ABSORB,zfp,2.5902127437758007,18896205.0,100000
ABSORB,zfp,2.5902127437758007,18896205.0,16
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,2.5902127437758007,18896205.0,16
ABSORB,zfp,2.5902127437758007,18896205.0,100000
ABSORB,zfp,2.5902127437758007,18896205.0,100000
ABSORB,zfp,2.5902127437758007,18896205.0,26
ABSORB,zfp,2.5902127437758007,18896205.0,26
ABSORB,zfp,2.5902127437758007,18896205.0,100000
ABSORB,zfp,2.5902127437758007,18896205.0,16
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,3.423389637014402,14297289.0,14
ABSORB,zfp,3.423389637014402,14297289.0,100000
ABSORB,zfp,3.423389637014402,14297289.0,100000
ABSORB,zfp,3.423389637014402,14297289.0,26
ABSORB,zfp,3.423389637014402,14297289.0,26
ABSORB,zfp,3.423389637014402,14297289.0,100000
ABSORB,zfp,2.5902127437758007,18896205.0,16
ABSORB,zfp,2.5902127437758007,18896205.0,16
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
ABSORB,zfp,1.0,48945191.0,100000
