set,time,mean,variance,ns_con_var,w_e_first_differences,prob_positive,num_zero,range,quantile
orig_BURDENDUST,0,2.372590089197188e-05,1.025216155357347e-08,1.7583481159243423e-09,0.0,1.0,0.0,0.0031637146135263805,1.556068198738103e-07
orig_BURDENDUST,1,2.9102448018752797e-05,1.3181576425110079e-08,2.243737565608554e-09,0.0,1.0,0.0,0.004538092440961705,3.3065097682083433e-07
orig_BURDENDUST,2,3.8503840067058004e-05,2.6896469495829058e-08,3.2665557076439796e-09,0.0,1.0,0.0,0.005842528941473191,6.413876860733581e-07
orig_BURDENDUST,3,5.9907396050726056e-05,4.690567875318927e-08,5.11370283116212e-09,0.0,1.0,0.0,0.004616979827625656,1.5145261045290681e-06
orig_BURDENDUST,4,5.5453267146112366e-05,5.430735938956434e-08,6.717720637407602e-09,0.0,1.0,0.0,0.008503302001075852,1.1538560897861316e-06
orig_BURDENDUST,5,8.728523854963794e-05,1.4439824426243133e-07,1.7411750583455055e-08,0.0,1.0,0.0,0.015829325904569203,1.2980996757505636e-06
orig_BURDENDUST,6,6.881380394718176e-05,9.454331106213707e-08,8.967239609200548e-09,0.0,1.0,0.0,0.010644349537908937,1.1292053159195348e-06
orig_BURDENDUST,7,6.180236831123722e-05,8.081007756337275e-08,6.4841762276339894e-09,0.0,1.0,0.0,0.009992938000591423,8.341537238720775e-07
orig_BURDENDUST,8,4.669276535680129e-05,4.287650752038958e-08,4.66231859478426e-09,0.0,1.0,0.0,0.007850514254327479,6.316392955341144e-07
orig_BURDENDUST,9,2.6979402081500934e-05,1.313073347822508e-08,2.478627035405347e-09,0.0,1.0,0.0,0.005116500811970681,5.772669169346045e-07
orig_BURDENDUST,10,1.6285389632113253e-05,4.408678785900384e-09,6.627474790421068e-10,0.0,1.0,0.0,0.0017303426247679,4.6234852391080494e-07
orig_BURDENDUST,11,1.8490818112921745e-05,6.269358068800816e-09,1.2021681212886925e-09,0.0,1.0,0.0,0.0033120161713711127,3.625667375217745e-07
orig_BURDENDUST,12,2.3438926841306013e-05,9.113127331077756e-09,1.5543519504910813e-09,0.0,1.0,0.0,0.0033967842602979914,2.8137787921878044e-07
orig_BURDENDUST,13,3.1719719569360476e-05,1.5926165854309668e-08,2.3179030021166854e-09,0.0,1.0,0.0,0.004277175733772509,3.1089220442481746e-07
orig_BURDENDUST,14,5.028264662294476e-05,4.0935285395841284e-08,5.652905104863864e-09,0.0,1.0,0.0,0.008333552000847178,6.613237530928018e-07
orig_BURDENDUST,15,6.353692799163946e-05,6.524981057939774e-08,8.139855863352555e-09,0.0,1.0,0.0,0.009770875507436827,1.4832391457275662e-06
orig_BURDENDUST,16,6.541552473957961e-05,6.869093032200463e-08,5.866785972984704e-09,0.0,1.0,0.0,0.007143405720901441,1.2717943604911852e-06
orig_BURDENDUST,17,7.267321707109034e-05,1.0646429432148062e-07,9.058841461661566e-09,0.0,1.0,0.0,0.010451387832859815,1.2145749792580318e-06
orig_BURDENDUST,18,7.319081174816571e-05,1.0117802121876373e-07,7.246088815961087e-09,0.0,1.0,0.0,0.00990534045192426,9.874871693682508e-07
orig_BURDENDUST,19,5.56448594069516e-05,6.561516754961168e-08,5.759609428380029e-09,0.0,1.0,0.0,0.009073936314717201,6.996154695571022e-07
orig_BURDENDUST,20,4.477582943673583e-05,4.169724621595605e-08,3.908799729586955e-09,0.0,1.0,0.0,0.006496042756001685,9.331640455911838e-07
orig_BURDENDUST,21,3.421391132750653e-05,1.7240934460942787e-08,1.9753707707530655e-09,0.0,1.0,0.0,0.002821153102855689,9.80695290309086e-07
orig_BURDENDUST,22,2.061952223970973e-05,6.476998139596323e-09,1.2615334208458995e-09,0.0,1.0,0.0,0.003278885849093527,6.902688767240761e-07
orig_BURDENDUST,23,1.8470309260956604e-05,8.766327719500797e-09,2.216888652295148e-09,0.0,1.0,0.0,0.006094191915614999,3.627224032243248e-07
orig_BURDENDUST,24,1.9753647956232288e-05,7.518696014469439e-09,1.6484671511698058e-09,0.0,1.0,0.0,0.00436439017143897,2.9173625648581947e-07
orig_BURDENDUST,25,2.648520527140427e-05,1.0902565336475952e-08,1.7836674878102195e-09,0.0,1.0,0.0,0.004569153451077668,3.273850524010413e-07
orig_BURDENDUST,26,5.6037231130926355e-05,5.172748513022487e-08,7.341151439704461e-09,0.0,1.0,0.0,0.010359074680685865,8.145517540469882e-07
orig_BURDENDUST,27,6.494147236484475e-05,5.880200663086224e-08,6.610643495125546e-09,0.0,1.0,0.0,0.006866153697766109,1.5039508980407845e-06
orig_BURDENDUST,28,6.22697883027567e-05,6.701866422644351e-08,5.71976276299622e-09,0.0,1.0,0.0,0.006946611591267526,1.346553574421705e-06
orig_BURDENDUST,29,8.189141826226924e-05,1.248853059681616e-07,1.3963728364828177e-08,0.0,1.0,0.0,0.01387561703626261,1.7289652305407799e-06
orig_BURDENDUST,30,5.606235578316899e-05,5.608900839354539e-08,4.457462233199192e-09,0.0,1.0,0.0,0.006668593196636152,1.4105601735536766e-06
orig_BURDENDUST,31,5.2558914404299066e-05,5.603598003396087e-08,4.665856974030191e-09,0.0,1.0,0.0,0.006761588626581272,9.401975944456353e-07
orig_BURDENDUST,32,4.378352369574571e-05,3.8645178223713356e-08,3.953848885331947e-09,0.0,1.0,0.0,0.00733015723785968,6.191385466536303e-07
orig_BURDENDUST,33,3.1263504799304356e-05,1.5312789586561086e-08,1.9871344908148617e-09,0.0,1.0,0.0,0.0034434045353979315,6.022579270847928e-07
orig_BURDENDUST,34,2.37315316853808e-05,1.0390681537161846e-08,2.1058285327559493e-09,0.0,1.0,0.0,0.004481625971536118,4.214863622564735e-07
orig_BURDENDUST,35,2.182475024267566e-05,1.2539376320038713e-08,3.073599991987575e-09,0.0,1.0,0.0,0.006892526828153223,3.988137819987969e-07
orig_BURDENDUST,36,1.9844626599930906e-05,7.833072504728232e-09,1.8019447109987643e-09,0.0,1.0,0.0,0.0053378397360717145,3.9281951558223227e-07
orig_BURDENDUST,37,2.929665272067709e-05,1.5114061121661657e-08,2.724425186036577e-09,0.0,1.0,0.0,0.005599054363777611,2.9198825757248414e-07
orig_BURDENDUST,38,5.2827706762372836e-05,3.820180667540726e-08,5.017024966091284e-09,0.0,1.0,0.0,0.007629220795424274,1.0882695278269239e-06
orig_BURDENDUST,39,5.9048831262205453e-05,5.237954217274697e-08,5.9880765626068314e-09,0.0,1.0,0.0,0.006449884507654602,1.874297140602721e-06
orig_BURDENDUST,40,6.0482655616906245e-05,5.687043310803559e-08,5.92962751025506e-09,0.0,1.0,0.0,0.007267528123140465,1.1567510682652937e-06
orig_BURDENDUST,41,8.802050001734864e-05,1.4867800221510863e-07,1.8835421918160247e-08,0.0,1.0,0.0,0.017145690323250307,1.4242631323213573e-06
orig_BURDENDUST,42,7.025404263202903e-05,9.008786685031952e-08,7.4253200823242e-09,0.0,1.0,0.0,0.009204041582861144,1.5356818607870082e-06
