set,time,mean,variance,ns_con_var,w_e_first_differences,prob_positive,num_zero,range,quantile
orig_BURDENSEASALT,0,2.1414667279945338e-05,3.8578296221799345e-10,8.244990403773421e-12,0.0,1.0,0.0,0.00010615041753680998,9.897307791106869e-06
orig_BURDENSEASALT,1,2.0313655197488234e-05,3.160224899324671e-10,6.33628161172989e-12,0.0,1.0,0.0,8.80942881948954e-05,9.029614375322126e-06
orig_BURDENSEASALT,2,2.0717594138912692e-05,3.426308042557226e-10,6.433012758595293e-12,0.0,1.0,0.0,8.675908254929254e-05,7.966821158333914e-06
orig_BURDENSEASALT,3,2.0311501337353622e-05,3.333125790797766e-10,4.992578564628267e-12,0.0,1.0,0.0,7.982323143096437e-05,7.389236998278648e-06
orig_BURDENSEASALT,4,1.838687836442026e-05,2.802978250416201e-10,4.914797260239182e-12,0.0,1.0,0.0,6.648325212665895e-05,6.9268978677428095e-06
orig_BURDENSEASALT,5,2.3186867373111525e-05,4.766029400363521e-10,8.115205723360594e-12,0.0,1.0,0.0,0.00011894092095587894,7.176819963206071e-06
orig_BURDENSEASALT,6,2.338646644075729e-05,4.908681560999654e-10,7.832294351252067e-12,0.0,1.0,0.0,0.00011971874009475414,7.308334943445516e-06
orig_BURDENSEASALT,7,2.4896594668640522e-05,5.599424643913601e-10,8.984326468674671e-12,0.0,1.0,0.0,0.000167991878271323,8.346974937012419e-06
orig_BURDENSEASALT,8,2.0940416450884986e-05,3.0648094730702475e-10,5.118045958273837e-12,0.0,1.0,0.0,9.15587746987967e-05,8.981404789665248e-06
orig_BURDENSEASALT,9,2.071019446917925e-05,2.918321204127711e-10,5.4922680674428925e-12,0.0,1.0,0.0,7.608063492625661e-05,8.818210972094676e-06
orig_BURDENSEASALT,10,1.925145300446535e-05,2.66356006695102e-10,5.476711444302934e-12,0.0,1.0,0.0,8.481951904570906e-05,8.507481197739253e-06
orig_BURDENSEASALT,11,1.9642901079972413e-05,2.9230088318021524e-10,6.359557902832312e-12,0.0,1.0,0.0,9.152409788271143e-05,9.15955706659588e-06
orig_BURDENSEASALT,12,2.0836142093049788e-05,3.1095520150180704e-10,6.5653981832790674e-12,0.0,1.0,0.0,9.090049528737154e-05,9.2415684775915e-06
orig_BURDENSEASALT,13,2.2245435103926543e-05,3.8663235672853713e-10,7.67178437651259e-12,0.0,1.0,0.0,0.00011361460355630015,1.007262335406267e-05
orig_BURDENSEASALT,14,1.9976667899342867e-05,2.8920735037636657e-10,4.976906274246704e-12,0.0,1.0,0.0,7.872693301891331e-05,9.311144367529778e-06
orig_BURDENSEASALT,15,1.9516047544638227e-05,3.042891759437763e-10,5.30746764957376e-12,0.0,1.0,0.0,8.603527680861589e-05,7.675806955376174e-06
orig_BURDENSEASALT,16,1.9875397186129887e-05,3.393413835321699e-10,5.66756886679854e-12,0.0,1.0,0.0,8.081150522798453e-05,6.939876129763434e-06
orig_BURDENSEASALT,17,2.107731845659739e-05,4.204136170663234e-10,7.982507373496675e-12,0.0,1.0,0.0,0.00010809733748828876,6.391004717443138e-06
orig_BURDENSEASALT,18,2.3305610432321933e-05,4.795031320193338e-10,8.7398031046e-12,0.0,1.0,0.0,0.00010912336414037327,7.451282726833597e-06
orig_BURDENSEASALT,19,2.2706252537606928e-05,4.2569798061812864e-10,7.528846694785352e-12,0.0,1.0,0.0,0.00012217339896380963,8.274347237602342e-06
orig_BURDENSEASALT,20,2.186455980624671e-05,3.7398180878531586e-10,6.045109985992328e-12,0.0,1.0,0.0,0.00010176939412076536,8.869719295034884e-06
orig_BURDENSEASALT,21,2.0114732405606128e-05,2.8340929576589477e-10,5.4049425539445485e-12,0.0,1.0,0.0,8.856241660737396e-05,9.006262189359404e-06
orig_BURDENSEASALT,22,1.928228615444361e-05,2.8034049527766196e-10,5.746060306634485e-12,0.0,1.0,0.0,0.00010526417151623946,8.438714758085553e-06
orig_BURDENSEASALT,23,2.0481491409259207e-05,2.8338286613273994e-10,5.781090573203997e-12,0.0,1.0,0.0,7.497988593740956e-05,9.07942239791737e-06
orig_BURDENSEASALT,24,2.189044812260111e-05,3.470505816181034e-10,7.100350641220031e-12,0.0,1.0,0.0,9.633077901582965e-05,9.254163160221651e-06
orig_BURDENSEASALT,25,2.1813854492122855e-05,3.481554687084805e-10,6.509719008111375e-12,0.0,1.0,0.0,8.676713008526349e-05,9.358631359646097e-06
orig_BURDENSEASALT,26,2.1394237120590445e-05,3.45502244643678e-10,6.470688861517308e-12,0.0,1.0,0.0,9.528085831789213e-05,9.480465905653546e-06
orig_BURDENSEASALT,27,1.9212783371009298e-05,2.92455105422368e-10,5.3534753239114465e-12,0.0,1.0,0.0,9.937985171859509e-05,7.986525815795176e-06
