set,time,mean,variance,ns_con_var,w_e_first_differences,prob_positive,num_zero,range,quantile
orig_PBLH,0,496.2870897880389,48293.482745734924,3495.546565024266,0.0,1.0,0.0,1563.7584495544434,397.8205108642578
orig_PBLH,1,501.0043657741148,45661.97444474687,3167.900499106909,0.0,1.0,0.0,1427.4056243896484,423.7436218261719
orig_PBLH,2,517.768869867268,40486.47096738446,3070.5656379053844,0.0,1.0,0.0,1457.1139945983887,454.15843200683594
orig_PBLH,3,530.9460359229827,40190.817032886676,3343.281336414102,0.0,1.0,0.0,1329.5823554992676,480.701416015625
orig_PBLH,4,536.1794579833747,44752.199185243284,4361.831642937632,0.0,1.0,0.0,1512.890468597412,482.6322479248047
orig_PBLH,5,534.6461005903192,51898.39501246377,4597.038329344854,0.0,1.0,0.0,1531.267765045166,470.4935607910156
orig_PBLH,6,528.5149684868256,51483.423025208824,4431.889342582838,0.0,1.0,0.0,1549.2342567443848,462.9899597167969
orig_PBLH,7,520.1936497202026,44731.29352903581,3728.754085622275,0.0,1.0,0.0,1487.9974975585938,452.9370422363281
orig_PBLH,8,529.2763015652213,36761.019055747776,2926.942817960625,0.0,1.0,0.0,1385.7143325805664,464.96604919433594
orig_PBLH,9,523.9434066347285,37509.61495265353,3127.393345937067,0.0,1.0,0.0,1381.250774383545,464.9700622558594
orig_PBLH,10,511.83348144443437,41278.03926753487,3358.047322175006,0.0,1.0,0.0,1504.4974327087402,441.85577392578125
orig_PBLH,11,502.68214816786576,49253.84367095769,3773.5451905943873,0.0,1.0,0.0,1543.2374458312988,409.0471496582031
orig_PBLH,12,497.7743833927816,50110.10080658035,3410.8402413111276,0.0,1.0,0.0,1407.1090202331543,402.8752136230469
orig_PBLH,13,501.1510953844377,43583.12056319405,3031.8134514302205,0.0,1.0,0.0,1363.5958518981934,427.93109130859375
orig_PBLH,14,521.6200625009108,38506.84363915212,2859.9808086890002,0.0,1.0,0.0,1263.8297157287598,460.0556945800781
orig_PBLH,15,531.7264326930125,39163.361699061104,3575.712541935239,0.0,1.0,0.0,1357.3521308898926,475.26792907714844
orig_PBLH,16,535.4743371373473,43906.84144426792,4159.179860550551,0.0,1.0,0.0,1470.7562255859375,479.08473205566406
orig_PBLH,17,531.9093477344898,50176.67879184418,4724.883082678942,0.0,1.0,0.0,1600.2241134643555,465.8227081298828
orig_PBLH,18,528.8207196532012,51106.4889702276,4508.131397154908,0.0,1.0,0.0,1546.3449058532715,468.41160583496094
orig_PBLH,19,524.7624827110917,43539.62111085851,3578.491268144159,0.0,1.0,0.0,1435.4886894226074,460.9584045410156
orig_PBLH,20,526.6878857679773,35474.60939114584,2917.115258429535,0.0,1.0,0.0,1290.497013092041,471.3248596191406
orig_PBLH,21,522.2217255809177,38031.44801633615,3170.4923624790417,0.0,1.0,0.0,1262.365436553955,463.9670867919922
orig_PBLH,22,508.58182844594546,42755.62127822386,3417.637820929139,0.0,1.0,0.0,1326.108325958252,439.2930908203125
orig_PBLH,23,495.19650003066926,47874.098860617116,3525.363844494083,0.0,1.0,0.0,1404.3415756225586,400.9310607910156
orig_PBLH,24,488.2783044777257,48867.35194769821,3432.646837337949,0.0,1.0,0.0,1466.9689979553223,399.52366638183594
orig_PBLH,25,501.5478566000685,43973.987191187785,3076.8406626225456,0.0,1.0,0.0,1272.7725982666016,427.8548278808594
orig_PBLH,26,514.7155063384023,40125.64864486273,3189.2367574755494,0.0,1.0,0.0,1419.774513244629,451.76893615722656
orig_PBLH,27,535.8873291274324,39754.5110626268,3687.3175249814053,0.0,1.0,0.0,1396.0145072937012,486.2991943359375
