set,time,mean,variance,ns_con_var,w_e_first_differences,prob_positive,num_zero,range,quantile
orig_SFCO2_LND,0,9.330770104898675e-10,2.0478052910990228e-16,1.1691430900039594e-16,-1.1967312102908387e-26,0.16263382523148148,42477.0,2.9385897448719334e-07,0.0
orig_SFCO2_LND,1,5.048057894808787e-10,2.035180398509244e-16,1.0341639969923972e-16,3.3029781404027144e-26,0.1522894965277778,42554.0,3.268049084681479e-07,0.0
orig_SFCO2_LND,2,5.596304821622052e-10,2.5495189414703447e-16,1.2041795463683998e-16,6.82136789865778e-27,0.1408962673611111,42528.0,3.302163520402246e-07,0.0
orig_SFCO2_LND,3,-2.905318704949102e-11,3.370663429956211e-16,1.570500028634878e-16,-1.950671872774067e-26,0.11671730324074074,42530.0,3.2568381413966563e-07,0.0
orig_SFCO2_LND,4,-2.1433223217670253e-09,4.522596209247246e-16,2.000747803275612e-16,4.786924841163354e-28,0.0926830150462963,42306.0,4.5337750975704694e-07,0.0
orig_SFCO2_LND,5,-3.179429690336953e-09,4.100991691085774e-16,2.044988269159095e-16,7.898425987919536e-27,0.0842013888888889,41773.0,4.275343457038616e-07,0.0
orig_SFCO2_LND,6,-2.1307149974104117e-09,3.047700926783475e-16,2.030088446689868e-16,-3.446585885637615e-26,0.0794994212962963,41741.0,3.769877565673596e-07,0.0
orig_SFCO2_LND,7,-1.1441457495197227e-09,2.5903005634197066e-16,1.5267817782018366e-16,-1.0052542166443045e-26,0.08383969907407407,41742.0,3.477402543694552e-07,0.0
orig_SFCO2_LND,8,-5.731682828950279e-10,2.1307565199507865e-16,1.096782171930493e-16,2.6806779110514784e-26,0.12764033564814814,41756.0,2.954352495976309e-07,0.0
orig_SFCO2_LND,9,1.0725277558655488e-09,2.6258474397680836e-16,1.2224092335988513e-16,2.106246930111876e-26,0.1604636863425926,41904.0,3.633503240507707e-07,0.0
orig_SFCO2_LND,10,2.372478107262268e-09,3.2245924515162706e-16,1.465518143867271e-16,-2.201985426935143e-26,0.16682942708333334,42205.0,3.4479787558439057e-07,0.0
orig_SFCO2_LND,11,1.7667310934885998e-09,2.6227292032038613e-16,1.4730816761887146e-16,2.1780508027293263e-26,0.1661964699074074,42428.0,2.821820430654043e-07,0.0
orig_SFCO2_LND,12,1.2465363979512939e-09,2.221129741737104e-16,1.3291712384159848e-16,-5.744309809396025e-27,0.16337528935185186,42514.0,3.3681098443594237e-07,0.0
orig_SFCO2_LND,13,9.40902660046848e-10,2.0941304809010415e-16,1.162900477246406e-16,4.1646246118121186e-26,0.15653935185185186,42539.0,3.0054811617219457e-07,0.0
orig_SFCO2_LND,14,9.645614958506535e-10,2.6106513771656604e-16,1.525193878446695e-16,-1.5078813249664568e-26,0.1474066840277778,42522.0,3.9245840355306427e-07,0.0
orig_SFCO2_LND,15,-1.8019188663150725e-10,3.410035821678713e-16,1.837125568074586e-16,1.378110784350544e-27,0.1184353298611111,42530.0,4.1375641046670353e-07,0.0
orig_SFCO2_LND,16,-2.0450761061337024e-09,3.8148535862050277e-16,1.8123568317300796e-16,-2.0045247772371547e-27,0.09874131944444445,42345.0,3.972805302510096e-07,0.0
orig_SFCO2_LND,17,-2.913068981010828e-09,3.7445249688266896e-16,1.909724579104474e-16,4.0688861149888517e-26,0.09101924189814815,41759.0,4.4183815361975576e-07,0.0
orig_SFCO2_LND,18,-2.2617240273528594e-09,3.070785182972669e-16,1.836078820807232e-16,3.8295398729306835e-27,0.08195891203703703,41741.0,4.031834066609008e-07,0.0
orig_SFCO2_LND,19,-1.2049381611134941e-09,2.4424478072170057e-16,1.3331019838340845e-16,5.744309809396025e-27,0.0886501736111111,41745.0,3.8815923630863836e-07,0.0
orig_SFCO2_LND,20,-4.3392842819034663e-10,2.311325461734951e-16,1.0899742034485753e-16,2.96789340152128e-26,0.1282009548611111,41746.0,3.5184004332222685e-07,0.0
orig_SFCO2_LND,21,1.1971001242878128e-09,2.830010854334934e-16,1.1199911460832828e-16,-2.106246930111876e-26,0.16261574074074073,41876.0,4.068121199907182e-07,0.0
orig_SFCO2_LND,22,2.893066359022311e-09,3.3907355644983277e-16,1.5422556730721766e-16,1.0052542166443045e-26,0.1766673900462963,42145.0,3.4046936292497776e-07,0.0
orig_SFCO2_LND,23,2.5541805236543808e-09,2.768603897213264e-16,1.5616107314707897e-16,2.943958777315463e-26,0.17692057291666666,42350.0,3.8411258174164686e-07,0.0
orig_SFCO2_LND,24,1.5885551790319912e-09,2.182743558596862e-16,1.3632798493269306e-16,-1.053123465055938e-26,0.16740813078703703,42498.0,3.085028765781317e-07,0.0
orig_SFCO2_LND,25,9.103597942182943e-10,1.9077640824474585e-16,1.1039987734658755e-16,-3.1115011467561803e-27,0.1613498263888889,42527.0,3.022680843400849e-07,0.0
orig_SFCO2_LND,26,6.824820893943223e-10,2.3734633516374674e-16,1.1900366869128663e-16,-6.941041019686865e-27,0.1506076388888889,42523.0,2.961104996757058e-07,0.0
orig_SFCO2_LND,27,2.1670089853730124e-10,3.5200560088157615e-16,1.6479742013039701e-16,-9.573849682326709e-27,0.12102141203703703,42521.0,3.601761875415832e-07,0.0
orig_SFCO2_LND,28,-1.5084317939955914e-09,4.3027188332205883e-16,2.017600886533513e-16,-2.3934624205816773e-26,0.1044017650462963,42314.0,4.078802930962411e-07,0.0
orig_SFCO2_LND,29,-2.89401478118185e-09,3.899723974398892e-16,2.1224906396407542e-16,-3.8295398729306835e-27,0.0897533275462963,41750.0,3.674487629723444e-07,0.0
orig_SFCO2_LND,30,-2.2361000075355717e-09,3.119042946072475e-16,1.7708602381301166e-16,-3.446585885637615e-26,0.08188657407407407,41731.0,4.234678527836877e-07,0.0
orig_SFCO2_LND,31,-9.769767229488678e-10,2.8688559335943686e-16,1.429462010317598e-16,1.8190314396420748e-26,0.08821614583333333,41733.0,4.14975644957849e-07,0.0
orig_SFCO2_LND,32,-2.342203682741325e-10,2.436942599622832e-16,1.1437615311843483e-16,7.659079745861367e-27,0.13089554398148148,41747.0,3.613112937728147e-07,0.0
orig_SFCO2_LND,33,1.0838993505793372e-09,2.8159505952233376e-16,1.349333549839279e-16,-1.2446004587024721e-26,0.16357421875,41817.0,4.4077030736389133e-07,0.0
