set,time,mean,variance,ns_con_var,w_e_first_differences,prob_positive,num_zero,range,quantile
orig_SRFRAD,0,498.8798502400371,25041.465581404922,195.8341025749323,0.0,1.0,0.0,610.6858596801758,470.8302307128906
orig_SRFRAD,1,502.272352229534,23556.354837651877,198.35052966226758,0.0,1.0,0.0,599.8977432250977,447.9403381347656
orig_SRFRAD,2,504.2787555589402,21193.638691366847,181.106395163818,0.0,1.0,0.0,606.9155960083008,436.96189880371094
orig_SRFRAD,3,502.5818957093427,19513.96177045425,176.71758334258203,0.0,1.0,0.0,625.6005783081055,445.22509765625
orig_SRFRAD,4,502.8203423496125,18694.48954291629,194.3378106141819,0.0,1.0,0.0,633.5180282592773,470.0685577392578
orig_SRFRAD,5,503.09783933807955,18824.431888348223,175.71166431370816,0.0,1.0,0.0,643.6712417602539,483.7594299316406
orig_SRFRAD,6,506.0442725096754,18853.052450604046,148.07453751915142,0.0,1.0,0.0,647.7697334289551,487.135986328125
orig_SRFRAD,7,506.45723891363383,17828.497240670215,142.90035473267721,0.0,1.0,0.0,636.2037658691406,470.7131042480469
orig_SRFRAD,8,507.3759750300389,17258.04999766531,138.18071235969867,0.0,1.0,0.0,624.1851348876953,451.92352294921875
orig_SRFRAD,9,505.2318368483964,18946.80024187399,149.09319121739605,0.0,1.0,0.0,597.2502593994141,450.9467315673828
orig_SRFRAD,10,501.0622920196516,21965.408532280006,171.12836771364132,0.0,1.0,0.0,601.8080596923828,462.69886779785156
orig_SRFRAD,11,499.3522907783301,23846.98841179827,194.4425267154607,0.0,1.0,0.0,620.9306488037109,454.60089111328125
orig_SRFRAD,12,500.55466115176864,24998.677370019865,207.74110588471373,0.0,1.0,0.0,607.1831283569336,474.4153594970703
orig_SRFRAD,13,502.76461109985115,23369.480734853838,201.9060555308349,0.0,1.0,0.0,584.9755096435547,450.3459777832031
orig_SRFRAD,14,503.12191854455597,21580.02327495002,186.04614240764184,0.0,1.0,0.0,612.7531356811523,436.3116760253906
orig_SRFRAD,15,502.8029638765631,19314.780310087703,185.72646680907778,0.0,1.0,0.0,622.0290374755859,445.90272521972656
orig_SRFRAD,16,502.3694315689924,18608.32433097109,201.72258317420693,0.0,1.0,0.0,632.1918182373047,468.6568145751953
orig_SRFRAD,17,503.12749868471417,19179.551225977233,178.54257489013827,0.0,1.0,0.0,653.165340423584,482.54954528808594
orig_SRFRAD,18,505.04373834041985,18866.124248289707,158.64552133547662,0.0,1.0,0.0,648.9632263183594,488.91944885253906
orig_SRFRAD,19,506.1214373393108,17979.649409469224,147.30465641316928,0.0,1.0,0.0,643.4881896972656,472.51673889160156
