set,time,mean,variance,ns_con_var,w_e_first_differences,prob_positive,num_zero,range,quantile
orig_TROP_P,0,15770.009039956713,42721427.450469084,191238.4017007332,0.0,1.0,0.0,21998.1318359375,20913.3818359375
orig_TROP_P,1,15918.731070854556,46307840.233734466,226093.8529290895,0.0,1.0,0.0,22561.23046875,21656.9560546875
orig_TROP_P,2,15923.092963371668,45004780.91265443,173981.0272485122,0.0,1.0,0.0,22816.0283203125,21323.822265625
orig_TROP_P,3,15958.114453616818,40578350.392829545,115984.95644146515,0.0,1.0,0.0,23893.859375,20876.185546875
orig_TROP_P,4,16026.801513906035,36056134.19301404,116845.58705600475,0.0,1.0,0.0,22059.875,20292.65625
orig_TROP_P,5,15651.706338823935,30030782.174354423,120564.54953403547,0.0,1.0,0.0,19397.189453125,19036.80859375
orig_TROP_P,6,15428.98600290343,27256638.77785369,127553.59677586932,0.0,1.0,0.0,18891.73046875,17628.8955078125
orig_TROP_P,7,15251.82357137293,29476723.546114475,149900.12129846474,0.0,1.0,0.0,20269.4580078125,16444.982421875
orig_TROP_P,8,15519.972211595563,28295371.53811106,137770.4771692525,0.0,1.0,0.0,19248.775390625,17175.4453125
orig_TROP_P,9,15817.343189469017,28197543.82391647,112761.51017803326,0.0,1.0,0.0,16905.5517578125,17909.2919921875
orig_TROP_P,10,15979.791914936963,31758683.122718476,116887.43160279586,0.0,1.0,0.0,18733.966796875,19355.7919921875
orig_TROP_P,11,15916.691663616666,35929975.248627484,131390.57874379563,0.0,1.0,0.0,21223.4619140625,19794.6845703125
orig_TROP_P,12,15822.376340473551,43124515.29625145,166851.49232060806,0.0,1.0,0.0,22355.373046875,20760.9462890625
orig_TROP_P,13,15814.685387590021,45028358.36494113,207677.12874663205,0.0,1.0,0.0,22434.5908203125,20266.65234375
orig_TROP_P,14,15877.982409257123,39910926.784509555,140535.87984501646,0.0,1.0,0.0,19745.796875,19901.8154296875
orig_TROP_P,15,15899.711007455622,38157427.33842236,116940.04904812436,0.0,1.0,0.0,21574.8701171875,21041.078125
orig_TROP_P,16,15839.158041697001,36257707.86312353,120769.5312812918,0.0,1.0,0.0,21990.181640625,21111.4296875
orig_TROP_P,17,15587.882161570147,32342557.3965973,131516.0423275568,0.0,1.0,0.0,19991.4677734375,19826.1005859375
orig_TROP_P,18,15419.690502496001,32077408.946220458,158231.8911767351,0.0,1.0,0.0,19271.3916015625,17649.4990234375
orig_TROP_P,19,15297.293284516169,31418612.814293507,157889.3414469137,0.0,1.0,0.0,17978.8857421875,17552.2421875
orig_TROP_P,20,15528.768086608467,28409654.154399797,131524.02973438622,0.0,1.0,0.0,17327.083984375,17035.771484375
orig_TROP_P,21,15842.38487827162,29048795.42858645,116154.37890282171,0.0,1.0,0.0,18839.0888671875,18191.390625
orig_TROP_P,22,16165.683177836998,33478183.03495673,122726.43193755618,0.0,1.0,0.0,19109.982421875,19184.4306640625
orig_TROP_P,23,15946.884342741338,38716735.20350181,137616.88171833585,0.0,1.0,0.0,20422.05078125,20424.271484375
orig_TROP_P,24,15900.719654537597,43805754.91075285,174801.25093230937,0.0,1.0,0.0,23548.8515625,21543.607421875
orig_TROP_P,25,15910.88613027659,45477064.90727235,193763.00956552837,0.0,1.0,0.0,21115.6552734375,21451.7841796875
orig_TROP_P,26,15939.705736358077,45324231.0235174,170537.41137826064,0.0,1.0,0.0,21007.017578125,21167.5341796875
orig_TROP_P,27,15994.689105216614,38208485.37090016,124942.71551860099,0.0,1.0,0.0,19874.9482421875,20977.763671875
orig_TROP_P,28,15966.2100441168,34243279.058399096,109435.64874234059,0.0,1.0,0.0,19727.1865234375,20891.1708984375
orig_TROP_P,29,15631.459671690702,30250265.9917263,142990.03474626786,0.0,1.0,0.0,18334.4111328125,18814.140625
orig_TROP_P,30,15418.508573987257,28292332.31007614,144014.81636403507,0.0,1.0,0.0,17928.705078125,17738.1357421875
orig_TROP_P,31,15362.3187087629,30789390.93243625,147795.89432398006,0.0,1.0,0.0,17656.349609375,16619.365234375
orig_TROP_P,32,15586.74455641139,31585296.513019294,144472.3694270006,0.0,1.0,0.0,18613.0869140625,17382.1416015625
orig_TROP_P,33,15927.841579710617,33124015.038697816,134191.03028852688,0.0,1.0,0.0,18104.6396484375,18899.1064453125
orig_TROP_P,34,16133.658794255482,34738306.9912171,122050.79041375878,0.0,1.0,0.0,18841.7734375,19269.2041015625
orig_TROP_P,35,16142.853999769375,38683136.1252452,145213.19890739492,0.0,1.0,0.0,21131.8017578125,20114.5654296875
orig_TROP_P,36,16073.473338989406,42325523.03355876,174771.83502011784,0.0,1.0,0.0,22090.6611328125,21016.5224609375
orig_TROP_P,37,15991.983410947669,50083579.81055803,197384.92697803743,0.0,1.0,0.0,25444.7431640625,20914.2958984375
orig_TROP_P,38,15880.417536538038,45379969.22937785,153766.06617923244,0.0,1.0,0.0,24173.7900390625,21388.0966796875
orig_TROP_P,39,16011.842193551265,38926297.60153276,123793.04602562098,0.0,1.0,0.0,21075.892578125,20695.3916015625
orig_TROP_P,40,16053.02415486193,33135381.41504747,102247.90134836557,0.0,1.0,0.0,20861.146484375,20908.51953125
orig_TROP_P,41,15696.903982221891,30856030.074862964,131653.54783578153,0.0,1.0,0.0,20559.1611328125,19312.6845703125
orig_TROP_P,42,15330.439645525337,27887760.09543168,129438.25843794744,0.0,1.0,0.0,17939.7177734375,17383.8505859375
orig_TROP_P,43,15350.38855956503,29603443.67867435,143491.17051502515,0.0,1.0,0.0,17559.4013671875,16580.0087890625
orig_TROP_P,44,15610.378131877318,31115170.01965573,138809.67505829246,0.0,1.0,0.0,20301.759765625,17507.4599609375
orig_TROP_P,45,15884.120807968606,30700930.635797117,117921.2792964334,0.0,1.0,0.0,17679.96484375,18275.3623046875
orig_TROP_P,46,16143.561323003829,34989721.85464441,124130.89468727984,0.0,1.0,0.0,19036.005859375,19177.8359375
orig_TROP_P,47,16053.279936589457,38022971.84592031,137446.169358712,0.0,1.0,0.0,20487.517578125,19978.8642578125
orig_TROP_P,48,15885.438703726795,42805015.644685276,147618.6153030194,0.0,1.0,0.0,23060.798828125,20878.38671875
orig_TROP_P,49,15800.59559123348,45103817.02330291,202727.4104388759,0.0,1.0,0.0,22272.0810546875,21370.5283203125
orig_TROP_P,50,15927.402441942018,41357701.0163827,169448.04536177026,0.0,1.0,0.0,20785.087890625,20304.140625
orig_TROP_P,51,16138.885183045137,35529096.49094802,111672.71009918948,0.0,1.0,0.0,20395.1884765625,21077.212890625
orig_TROP_P,52,15923.29506683899,32507322.783723246,110898.04080962086,0.0,1.0,0.0,19142.97265625,20694.7744140625
orig_TROP_P,53,15808.627804371963,32698546.93220198,115025.30340889451,0.0,1.0,0.0,21657.814453125,19866.4814453125
orig_TROP_P,54,15346.612767493983,32065235.68218224,159140.86835700914,0.0,1.0,0.0,18770.2392578125,17347.3798828125
orig_TROP_P,55,15358.436476602983,27779550.475818586,138420.46756109456,0.0,1.0,0.0,18079.294921875,16643.6845703125
orig_TROP_P,56,15465.078078370314,29413496.789304595,131546.62058735196,0.0,1.0,0.0,18117.505859375,16829.625
orig_TROP_P,57,15729.91965496155,32395996.501461253,132290.83891120792,0.0,1.0,0.0,18481.8564453125,18264.9443359375
orig_TROP_P,58,16074.429443021521,33437657.06673939,115040.36154199018,0.0,1.0,0.0,19281.0478515625,19683.3818359375
orig_TROP_P,59,16006.589108552496,38409245.521793716,148684.82353348267,0.0,1.0,0.0,19180.6533203125,20199.2041015625
orig_TROP_P,60,15929.106286324935,42010526.42912479,206879.4190248682,0.0,1.0,0.0,22642.7939453125,20791.4560546875
orig_TROP_P,61,15813.359712281703,45710128.24303807,207475.10671506348,0.0,1.0,0.0,22869.9140625,21161.2275390625
orig_TROP_P,62,15775.140673130241,43219078.06352686,150122.49720485293,0.0,1.0,0.0,20208.9052734375,21122.345703125
orig_TROP_P,63,15957.857058436435,37662688.62273006,111718.75324542196,0.0,1.0,0.0,22149.4658203125,20721.2958984375
orig_TROP_P,64,15786.593874735474,35916349.06641776,119360.28691489031,0.0,1.0,0.0,21486.263671875,20517.521484375
orig_TROP_P,65,15569.48660530229,31532878.341981716,141919.9730998078,0.0,1.0,0.0,20662.15625,18883.5078125
orig_TROP_P,66,15356.207866160194,30668830.169927455,162119.60951522278,0.0,1.0,0.0,18011.8486328125,17504.77734375
orig_TROP_P,67,15308.228350330724,25647791.093491886,134345.49400519056,0.0,1.0,0.0,16974.9794921875,16328.28271484375
orig_TROP_P,68,15558.006886786558,27455290.246884655,123930.06654735765,0.0,1.0,0.0,17577.2568359375,16468.8955078125
orig_TROP_P,69,15924.545397400829,29840852.672249544,110797.00412737929,0.0,1.0,0.0,17987.9296875,18382.6435546875
orig_TROP_P,70,16154.32373544939,31677182.52999065,123498.92786588584,0.0,1.0,0.0,18976.8701171875,19406.7578125
orig_TROP_P,71,15989.491674726289,38330362.860165045,136115.35028819524,0.0,1.0,0.0,20865.009765625,20441.0341796875
orig_TROP_P,72,16001.734604351872,47242651.78469574,198897.65515443147,0.0,1.0,0.0,23747.1005859375,21740.6201171875
orig_TROP_P,73,15824.450307748852,47606968.794757545,193131.29570951776,0.0,1.0,0.0,21998.603515625,21518.3056640625
orig_TROP_P,74,15901.694999513433,46728127.29252424,161996.78183852936,0.0,1.0,0.0,25967.5927734375,21351.6513671875
orig_TROP_P,75,16086.524290499556,40954176.6767297,122700.83477687842,0.0,1.0,0.0,22243.3564453125,20826.0947265625
orig_TROP_P,76,15987.901187515896,36172626.01213927,117666.42268708102,0.0,1.0,0.0,21764.5849609375,20865.60546875
orig_TROP_P,77,15730.267124852518,30509729.30728498,133559.78590771838,0.0,1.0,0.0,20843.095703125,19156.6201171875
orig_TROP_P,78,15507.439022067345,28548792.14452052,145822.94626185772,0.0,1.0,0.0,19131.470703125,18041.65625
orig_TROP_P,79,15408.74738794621,28613938.620543417,160683.03760163457,0.0,1.0,0.0,18233.2626953125,16862.958984375
orig_TROP_P,80,15595.75488126448,27001275.870849807,118941.62587673463,0.0,1.0,0.0,17472.4150390625,17112.5693359375
orig_TROP_P,81,15810.018209747861,29695295.126879435,124353.22980174737,0.0,1.0,0.0,17712.0458984375,17719.25
orig_TROP_P,82,16104.298286742625,31836246.006664287,116346.41873131154,0.0,1.0,0.0,18686.8369140625,19516.873046875
orig_TROP_P,83,16056.302299195917,39427217.651166596,166776.45496939862,0.0,1.0,0.0,20844.9619140625,20368.4833984375
orig_TROP_P,84,15879.364059778554,45953437.72802719,188534.43697891413,0.0,1.0,0.0,21632.173828125,21484.2666015625
orig_TROP_P,85,15828.313279013002,46382231.51396444,234659.36236221582,0.0,1.0,0.0,24580.576171875,21518.0234375
orig_TROP_P,86,16077.827818765245,41782823.07274759,164902.09027701398,0.0,1.0,0.0,19495.513671875,20618.8125
orig_TROP_P,87,16157.886716327024,33734217.13809203,111388.17263297687,0.0,1.0,0.0,18036.1171875,20661.357421875
orig_TROP_P,88,16019.050557579832,31014816.072803833,110082.44113164498,0.0,1.0,0.0,18451.2353515625,20469.4970703125
orig_TROP_P,89,15586.936627502864,30218433.189634804,123985.03727299502,0.0,1.0,0.0,19339.2314453125,19240.8564453125
orig_TROP_P,90,15340.408338879928,28877832.195339635,140096.43430787133,0.0,1.0,0.0,18981.201171875,17355.06640625
orig_TROP_P,91,15250.538627831294,28611030.51319463,143048.90261298887,0.0,1.0,0.0,17766.5595703125,16715.9365234375
orig_TROP_P,92,15458.34108358675,28623617.355477713,141971.28150324253,0.0,1.0,0.0,17362.6064453125,17295.13671875
orig_TROP_P,93,15773.974557195517,28995370.370094057,116853.5941249182,0.0,1.0,0.0,17728.994140625,18009.658203125
orig_TROP_P,94,15920.080502715848,33241006.82329214,128847.75460706583,0.0,1.0,0.0,19375.2314453125,18958.1162109375
