set,time,mean,variance,ns_con_var,w_e_first_differences,prob_positive,num_zero,range,quantile
orig_bc_a1_SRF,0,8.271086557469859e-11,8.596305706806395e-20,6.137926835219604e-21,0.0,1.0,0.0,4.994103016572254e-09,7.719520281248421e-13
orig_bc_a1_SRF,1,6.873995829218516e-11,5.3196024578516305e-20,4.763130425942623e-21,0.0,1.0,0.0,4.033363128156443e-09,8.384916838546225e-13
orig_bc_a1_SRF,2,7.293819477597146e-11,6.326115166156623e-20,3.8734839217243186e-21,0.0,1.0,0.0,4.8027125465232145e-09,9.911942685895958e-13
orig_bc_a1_SRF,3,5.808477907987694e-11,3.8099787279722414e-20,2.159181510755442e-21,0.0,1.0,0.0,4.231741136602745e-09,1.1375894258709718e-12
orig_bc_a1_SRF,4,6.048212453338261e-11,3.2253558212823634e-20,2.3469745066409363e-21,0.0,1.0,0.0,3.742490543865653e-09,1.227624772670577e-12
orig_bc_a1_SRF,5,6.531178346803522e-11,3.791282578200016e-20,2.5104430660923116e-21,0.0,1.0,0.0,4.1433200239007375e-09,1.95312386055968e-12
orig_bc_a1_SRF,6,7.538406112834772e-11,4.370268028977228e-20,2.2836150689227237e-21,0.0,1.0,0.0,3.5215098000079435e-09,2.2303477424309714e-12
orig_bc_a1_SRF,7,9.148739278862295e-11,6.705491242259351e-20,4.121096886343038e-21,0.0,1.0,0.0,4.205286286509803e-09,3.4596428369684795e-12
orig_bc_a1_SRF,8,8.726759413484102e-11,7.243993544170672e-20,6.161747028708623e-21,0.0,1.0,0.0,7.055795920881784e-09,2.704965591793229e-12
orig_bc_a1_SRF,9,7.921090360542113e-11,7.612184951755902e-20,8.146150405132803e-21,0.0,1.0,0.0,6.744542163535041e-09,1.9356683140028808e-12
orig_bc_a1_SRF,10,6.796629923490856e-11,5.1646795006585183e-20,3.980025999519056e-21,0.0,1.0,0.0,4.366519597434365e-09,1.0819612350151941e-12
orig_bc_a1_SRF,11,8.083782244551935e-11,8.610375781103993e-20,5.244783899154586e-21,0.0,1.0,0.0,5.664925332731255e-09,7.406008586344909e-13
orig_bc_a1_SRF,12,8.553860224529336e-11,9.990386235048551e-20,6.66069271250682e-21,0.0,1.0,0.0,5.122800088236085e-09,8.525098487387195e-13
orig_bc_a1_SRF,13,7.416101548904423e-11,6.780640653564943e-20,4.999430677673959e-21,0.0,1.0,0.0,4.176998560533017e-09,1.075120298777571e-12
orig_bc_a1_SRF,14,6.489218468522807e-11,5.345309117138865e-20,3.651231403262536e-21,0.0,1.0,0.0,4.536299749852944e-09,9.059288692478407e-13
orig_bc_a1_SRF,15,5.991458346969059e-11,3.753218331233378e-20,2.351192977247961e-21,0.0,1.0,0.0,4.046856005685911e-09,1.0339260372339842e-12
orig_bc_a1_SRF,16,5.788786243596727e-11,3.116343067920478e-20,2.2672905627742802e-21,0.0,1.0,0.0,3.6249638497553434e-09,1.281404073561615e-12
orig_bc_a1_SRF,17,6.339737962335809e-11,3.9746224885455246e-20,2.82903365315172e-21,0.0,1.0,0.0,4.811600370972143e-09,1.8306917396945788e-12
