set,time,mean,variance,ns_con_var,w_e_first_differences,prob_positive,num_zero,range,quantile
orig_dst_a3_SRF,0,1.526096312647375e-08,6.472562952663224e-15,1.7825861246313664e-15,0.0,1.0,0.0,3.410295656898494e-06,2.977450751229238e-12
orig_dst_a3_SRF,1,1.694686846876468e-08,8.212759474434961e-15,2.928593336859552e-15,0.0,1.0,0.0,4.550052832555936e-06,1.1377324429795443e-11
orig_dst_a3_SRF,2,1.9660782262283848e-08,1.4488878056561475e-14,4.510771940096667e-15,0.0,1.0,0.0,6.347726860932134e-06,1.1804628888972823e-11
orig_dst_a3_SRF,3,2.629523514482645e-08,1.9071607029174874e-14,5.7757806245029695e-15,0.0,1.0,0.0,5.588140986333603e-06,4.489313434885567e-11
orig_dst_a3_SRF,4,2.1537033254706334e-08,2.0791500261180256e-14,8.173548448106904e-15,0.0,1.0,0.0,1.0364858093752107e-05,3.243580230793963e-11
orig_dst_a3_SRF,5,2.7611095717671043e-08,4.657532447406692e-14,1.783971758793754e-14,0.0,1.0,0.0,1.725807305276915e-05,2.1629792575084128e-11
orig_dst_a3_SRF,6,2.1164379907932507e-08,2.5178073319430502e-14,8.957192055271555e-15,0.0,1.0,0.0,1.056640303080327e-05,2.2052748516188103e-11
orig_dst_a3_SRF,7,1.8789848292049068e-08,1.86750347587703e-14,5.326675446833411e-15,0.0,1.0,0.0,8.694027194902727e-06,2.498473216511199e-11
orig_dst_a3_SRF,8,1.699981080144437e-08,1.2984745027002972e-14,3.805124745166369e-15,0.0,1.0,0.0,7.5058351117858765e-06,1.687829129931595e-11
orig_dst_a3_SRF,9,1.2328008156840984e-08,6.942286558725384e-15,2.989597437893865e-15,0.0,1.0,0.0,6.139308864026567e-06,1.2772636680952187e-11
orig_dst_a3_SRF,10,8.629282789653926e-09,2.208019082320759e-15,8.385461792585671e-16,0.0,1.0,0.0,2.4097493958683296e-06,8.582453324412764e-12
orig_dst_a3_SRF,11,1.1656319350160229e-08,4.0858685792543345e-15,1.4124007992547263e-15,0.0,1.0,0.0,2.9547206725557242e-06,1.4348985541423609e-11
orig_dst_a3_SRF,12,1.4590263713117122e-08,5.946195817093313e-15,2.2213615184127464e-15,0.0,1.0,0.0,4.093996707657934e-06,9.053457636354345e-12
orig_dst_a3_SRF,13,1.785301926715271e-08,8.108098909590981e-15,2.2756678283262996e-15,0.0,1.0,0.0,3.618793685668879e-06,7.013932620467123e-12
orig_dst_a3_SRF,14,2.4287688747246426e-08,1.6717766344272857e-14,5.168925536344312e-15,0.0,1.0,0.0,7.868101409409546e-06,1.2569638906112512e-11
orig_dst_a3_SRF,15,2.7532073215694083e-08,2.7050937144599987e-14,8.538189844449734e-15,0.0,1.0,0.0,9.678127750078781e-06,3.9885733604805296e-11
orig_dst_a3_SRF,16,2.312215003198827e-08,2.1280966157206718e-14,6.774915531267707e-15,0.0,1.0,0.0,7.207436732970084e-06,2.2628956868053773e-11
orig_dst_a3_SRF,17,2.2450805424092844e-08,2.775859174873651e-14,8.964354204955e-15,0.0,1.0,0.0,1.1516341141801212e-05,1.8116124052280913e-11
orig_dst_a3_SRF,18,2.1687058734970524e-08,2.458782322815042e-14,7.672872101349726e-15,0.0,1.0,0.0,1.0707037286097976e-05,2.3483479050234735e-11
orig_dst_a3_SRF,19,1.7776902082891683e-08,1.653052287564546e-14,5.320446870741453e-15,0.0,1.0,0.0,8.543033793483461e-06,1.724884818310457e-11
orig_dst_a3_SRF,20,1.765609450248344e-08,1.350303373055236e-14,3.420484880327288e-15,0.0,1.0,0.0,6.2969456734834735e-06,2.2240633813785937e-11
orig_dst_a3_SRF,21,1.484634529650212e-08,6.0566362139298846e-15,1.9383524252120178e-15,0.0,1.0,0.0,3.827302827862818e-06,2.546585685381242e-11
orig_dst_a3_SRF,22,1.1256731827796336e-08,4.223502458762104e-15,1.870044482311785e-15,0.0,1.0,0.0,4.492083888885988e-06,2.589123273416538e-11
orig_dst_a3_SRF,23,1.1212454774831598e-08,5.220640567758154e-15,2.2730031001326536e-15,0.0,1.0,0.0,5.535670404042571e-06,7.901706199076042e-12
orig_dst_a3_SRF,24,1.2745439545522918e-08,6.157186392933629e-15,2.5996761000355977e-15,0.0,1.0,0.0,4.250490266998543e-06,6.893059040224969e-12
orig_dst_a3_SRF,25,1.4837789207900573e-08,5.879913022838773e-15,1.8901015943257087e-15,0.0,1.0,0.0,4.206560310786753e-06,9.51274909538613e-12
orig_dst_a3_SRF,26,2.6221859972192825e-08,2.0836537670706134e-14,6.463907267818526e-15,0.0,1.0,0.0,8.849126956707926e-06,2.178409449354879e-11
orig_dst_a3_SRF,27,2.6371500261477667e-08,2.1225812052077777e-14,6.927356373785425e-15,0.0,1.0,0.0,7.775636724510356e-06,5.13333646423586e-11
orig_dst_a3_SRF,28,2.2738378094542412e-08,2.1196255985556218e-14,6.084619770320915e-15,0.0,1.0,0.0,6.589807066536e-06,3.185751315526453e-11
orig_dst_a3_SRF,29,2.6966318104136997e-08,3.7713745994318496e-14,1.3548754286108589e-14,0.0,1.0,0.0,1.4463612383459955e-05,2.7561676031739868e-11
orig_dst_a3_SRF,30,1.7266053363265582e-08,1.3788454844206706e-14,4.0166980106433535e-15,0.0,1.0,0.0,6.1051855324451895e-06,2.6167354741368776e-11
orig_dst_a3_SRF,31,1.650052837379491e-08,1.2910542374930296e-14,3.492348997790441e-15,0.0,1.0,0.0,5.232106098230809e-06,2.0769472947046452e-11
orig_dst_a3_SRF,32,1.560156343022273e-08,1.0482559853809904e-14,3.075508263472271e-15,0.0,1.0,0.0,5.927614422051382e-06,1.9129255471317386e-11
orig_dst_a3_SRF,33,1.3482382198807956e-08,5.25272858864162e-15,1.7320946198953312e-15,0.0,1.0,0.0,3.922275924264003e-06,1.464277397250635e-11
orig_dst_a3_SRF,34,1.2752279216189255e-08,5.461490224890295e-15,1.9999349470123696e-15,0.0,1.0,0.0,4.112862344398037e-06,9.539193220053921e-12
orig_dst_a3_SRF,35,1.3240878601578042e-08,7.404590274394207e-15,2.986928139620439e-15,0.0,1.0,0.0,6.049780446199036e-06,1.4441312295304654e-11
