set,time,mean,variance,ns_con_var,w_e_first_differences,prob_positive,num_zero,range,quantile
orig_so4_a3_SRF,0,1.5979997685007795e-11,1.1576562500171694e-21,3.1951243299091476e-23,0.0,1.0,0.0,6.241042270711362e-10,2.860004659314963e-12
orig_so4_a3_SRF,1,1.966981978508797e-11,2.011708328484924e-21,4.309570121975222e-23,0.0,1.0,0.0,7.796172483340969e-10,3.004699896010099e-12
orig_so4_a3_SRF,2,1.959972566192123e-11,1.949139646647798e-21,5.010187323671233e-23,0.0,1.0,0.0,8.23866729699427e-10,3.25901740490242e-12
orig_so4_a3_SRF,3,2.1145384668344358e-11,2.2073124706268317e-21,5.913685923246268e-23,0.0,1.0,0.0,6.070501830395809e-10,3.2109450731968026e-12
orig_so4_a3_SRF,4,2.2206183423267253e-11,4.059065229529633e-21,1.1319570205429218e-22,0.0,1.0,0.0,9.034114612893258e-10,2.004091445746703e-12
orig_so4_a3_SRF,5,2.4207645761674584e-11,5.9039060704251466e-21,1.8031796961110505e-22,0.0,1.0,0.0,1.5873137221622882e-09,1.965236458810471e-12
orig_so4_a3_SRF,6,2.08992883992714e-11,4.391853565475548e-21,1.2538266601766927e-22,0.0,1.0,0.0,1.557586958895639e-09,1.6008178940415951e-12
orig_so4_a3_SRF,7,2.0660019676808313e-11,4.440637747839608e-21,1.0630797719366756e-22,0.0,1.0,0.0,1.7916742006857716e-09,2.2132234196378664e-12
orig_so4_a3_SRF,8,1.981697271891258e-11,4.555602285035677e-21,1.2085358414618623e-22,0.0,1.0,0.0,1.769228332927783e-09,2.10333324108386e-12
orig_so4_a3_SRF,9,1.8133443110963636e-11,2.3709736686072092e-21,6.140490091661448e-23,0.0,1.0,0.0,8.404923298543075e-10,2.4843831419180118e-12
orig_so4_a3_SRF,10,1.474913545527514e-11,1.0872537974868136e-21,3.57468388354438e-23,0.0,1.0,0.0,8.150798072543938e-10,2.6151313102865115e-12
orig_so4_a3_SRF,11,1.4620565823647685e-11,8.998015542735962e-22,3.2430927352188945e-23,0.0,1.0,0.0,8.623577775546423e-10,2.7272307676073915e-12
orig_so4_a3_SRF,12,1.5424133625075992e-11,9.321971240658035e-22,2.9801566721962e-23,0.0,1.0,0.0,7.13050891358986e-10,2.910767655552038e-12
orig_so4_a3_SRF,13,1.817820363253144e-11,1.410714885914547e-21,3.3420924518162987e-23,0.0,1.0,0.0,5.809099292020628e-10,3.4286924428111876e-12
orig_so4_a3_SRF,14,2.234711758272432e-11,2.3511462844810585e-21,5.24917217960104e-23,0.0,1.0,0.0,7.616180088306968e-10,3.5402064309589254e-12
orig_so4_a3_SRF,15,2.5406038396360777e-11,3.8552101419296735e-21,8.106881297628122e-23,0.0,1.0,0.0,8.595192104511306e-10,3.1337580100321283e-12
orig_so4_a3_SRF,16,2.2685312238790117e-11,4.5131585316537516e-21,1.3369060698134145e-22,0.0,1.0,0.0,1.3589815460830573e-09,2.07326386961193e-12
orig_so4_a3_SRF,17,2.349947598906096e-11,6.778317864114367e-21,2.853919872813583e-22,0.0,1.0,0.0,2.2474495832622497e-09,1.6847864791648404e-12
orig_so4_a3_SRF,18,2.2395343021931545e-11,4.873390417262613e-21,1.2119729049621288e-22,0.0,1.0,0.0,1.414219142138232e-09,1.7570766347972666e-12
orig_so4_a3_SRF,19,1.988050096340646e-11,3.875217304995847e-21,1.0352968218055496e-22,0.0,1.0,0.0,1.3728481809779856e-09,2.0828266411934693e-12
orig_so4_a3_SRF,20,1.7494913557340533e-11,2.986695690035485e-21,8.056449269096017e-23,0.0,1.0,0.0,1.2314682943789917e-09,2.1418055046532047e-12
orig_so4_a3_SRF,21,1.912628727683879e-11,3.3124193052561735e-21,6.844962962071386e-23,0.0,1.0,0.0,9.99192328360901e-10,2.543597494089611e-12
orig_so4_a3_SRF,22,1.4743218599970156e-11,9.073844797080457e-22,3.2586279099749137e-23,0.0,1.0,0.0,7.502108007337798e-10,2.5818110670206007e-12
orig_so4_a3_SRF,23,1.3891064299681518e-11,6.667195932651689e-22,2.5836667783716712e-23,0.0,1.0,0.0,6.679914224478193e-10,2.485666186768931e-12
orig_so4_a3_SRF,24,1.4716771544171257e-11,7.738524038794178e-22,2.6094129426736655e-23,0.0,1.0,0.0,7.108513353411125e-10,2.667882950148359e-12
orig_so4_a3_SRF,25,1.8070452873866348e-11,1.3570040673725183e-21,3.3851751278397424e-23,0.0,1.0,0.0,5.692216149117118e-10,3.31093594381493e-12
orig_so4_a3_SRF,26,2.4638605059324396e-11,3.134261039674742e-21,6.448993935790827e-23,0.0,1.0,0.0,8.625041920687441e-10,3.532936313291324e-12
orig_so4_a3_SRF,27,2.5652135654591583e-11,4.2199035664536555e-21,9.09345613642467e-23,0.0,1.0,0.0,1.0528680028833007e-09,3.387441911174849e-12
orig_so4_a3_SRF,28,2.3376364504053414e-11,4.690494040845779e-21,9.848477517972802e-23,0.0,1.0,0.0,1.0400694842772706e-09,2.195798447582331e-12
orig_so4_a3_SRF,29,2.2215644444825872e-11,4.667177243763398e-21,1.2582354456979778e-22,0.0,1.0,0.0,1.2213100654577477e-09,1.9307642507362943e-12
orig_so4_a3_SRF,30,1.9363035979218308e-11,3.362178853636046e-21,9.048476745352516e-23,0.0,1.0,0.0,1.3703445886240488e-09,1.644194112457309e-12
orig_so4_a3_SRF,31,1.8591131716506894e-11,3.0409331057862247e-21,7.77991867498656e-23,0.0,1.0,0.0,1.3241092825234894e-09,1.996708137372294e-12
orig_so4_a3_SRF,32,1.812239069300171e-11,2.7830422985197042e-21,6.01584471953715e-23,0.0,1.0,0.0,8.818970868326738e-10,2.119405345668568e-12
orig_so4_a3_SRF,33,1.8836552774074476e-11,2.436943747691523e-21,6.366101823776406e-23,0.0,1.0,0.0,7.526037591689187e-10,2.3055629671045463e-12
orig_so4_a3_SRF,34,1.6718702255033957e-11,1.8338945352033513e-21,5.41307490992166e-23,0.0,1.0,0.0,9.115810686510052e-10,2.5529536167370748e-12
orig_so4_a3_SRF,35,1.4046627746428083e-11,5.977206040369204e-22,2.3561528652407912e-23,0.0,1.0,0.0,6.661277573189215e-10,2.8879157095221264e-12
orig_so4_a3_SRF,36,1.5079144541482628e-11,1.1168516478309415e-21,2.9587594037267745e-23,0.0,1.0,0.0,5.886464121401255e-10,2.788818221494127e-12
orig_so4_a3_SRF,37,2.012004245213194e-11,2.0896313023627856e-21,4.243361314951903e-23,0.0,1.0,0.0,7.304007803206347e-10,3.4828461729224935e-12
orig_so4_a3_SRF,38,2.319832555933371e-11,2.5626236044639987e-21,5.948490538996694e-23,0.0,1.0,0.0,8.124083128107153e-10,4.279277453222985e-12
orig_so4_a3_SRF,39,2.3476875465185547e-11,3.095421872864232e-21,8.121695551537289e-23,0.0,1.0,0.0,9.928946540063415e-10,3.265359011829505e-12
orig_so4_a3_SRF,40,2.2226746470460614e-11,4.127382353936714e-21,1.0231237378857285e-22,0.0,1.0,0.0,1.074360434356625e-09,2.0718040998068954e-12
orig_so4_a3_SRF,41,2.248658381462625e-11,5.1689024722561304e-21,1.4129591379608947e-22,0.0,1.0,0.0,1.298637206538473e-09,1.8483951348680083e-12
orig_so4_a3_SRF,42,2.1246967214734657e-11,3.73041993023344e-21,1.0010041024840159e-22,0.0,1.0,0.0,1.3104876845310755e-09,1.8334754287724353e-12
