set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
sz3_ROn0.0001_FLNSC,0,0.9991401641536977,1.0,0.0,0.0005901919651414232,0.9999999070733968
sz3_ROn0.0001_FLNSC,1,0.9993394376340927,1.0,0.0,0.000422357125940391,0.9999999393641534
sz3_ROn0.0001_FLNSC,2,0.9993220511725271,1.0,0.0,0.00041583408897945376,0.9999999342922992
sz3_ROn0.0001_FLNSC,3,0.9992147996739617,1.0,0.010850694444444444,0.0018503517315648958,0.9999999141457052
sz3_ROn0.0001_FLNSC,4,0.9989716226617297,1.0,0.0018084490740740739,0.0013378989766746198,0.999999901138876
sz3_ROn0.0001_FLNSC,5,0.9986219973167244,1.0,0.005425347222222222,0.0012602216718271698,0.9999998975139309
sz3_ROn0.0001_FLNSC,6,0.9989566408726656,1.0,0.0,0.0005490679312739279,0.99999991435017
sz3_ROn0.0001_FLNSC,7,0.9987569902933304,1.0,0.021701388888888888,0.0015201008110605,0.9999999024018693
sz3_ROn0.0001_FLNSC,8,0.9994200353431202,1.0,0.0,0.000523736712693609,0.9999999183056018
sz3_ROn0.0001_FLNSC,9,0.9992728110423132,1.0,0.0,0.00040137792517665226,0.9999999037671082
sz3_ROn0.0001_FLNSC,10,0.9989815803189863,1.0,0.0,0.00037419953848400194,0.999999891896469
sz3_ROn0.0001_FLNSC,11,0.9989319821765941,1.0,0.0,0.0004354020166326427,0.9999998967379178
sz3_ROn0.0001_FLNSC,12,0.99919285484128,1.0,0.0,0.0005304596321476423,0.9999999199023915
sz3_ROn0.0001_FLNSC,13,0.9991939536077612,1.0,0.0,0.00041447217149501815,0.9999999314972016
sz3_ROn0.0001_FLNSC,14,0.9993526643238028,1.0,0.0,0.00043818708119811956,0.9999999341073826
sz3_ROn0.0001_FLNSC,15,0.9990666496816948,1.0,0.0,0.0009847514579952854,0.9999999119869561
sz3_ROn0.0001_FLNSC,16,0.9989861882706684,1.0,0.005425347222222222,0.0008779622136458802,0.9999999080907966
sz3_ROn0.0001_FLNSC,17,0.9984502626457746,1.0,0.0,0.0008394034392471124,0.9999998827163558
