set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
sz3_ROn0.0001_FLNT,0,0.999380769007426,1.0,0.0,0.00011223033208259097,0.9999999709660862
sz3_ROn0.0001_FLNT,1,0.9993216053458674,1.0,0.0,0.00012377422569933262,0.9999999680516478
sz3_ROn0.0001_FLNT,2,0.9990994022400587,1.0,0.0,0.00014637136571153694,0.9999999645698563
sz3_ROn0.0001_FLNT,3,0.9991505408585809,0.999993691100367,0.0,0.00018336458965074304,0.9999999583253281
sz3_ROn0.0001_FLNT,4,0.9989449440242171,0.9998975395809628,0.0,0.000188346258866757,0.999999955353393
sz3_ROn0.0001_FLNT,5,0.9989278752592149,0.9970967786521833,0.0,0.00022475328236062187,0.9999999504809522
sz3_ROn0.0001_FLNT,6,0.999060791086329,0.9991403978666137,0.0,0.0002277167935035652,0.999999954597617
sz3_ROn0.0001_FLNT,7,0.9989308613737664,0.9999442036811511,0.0,0.00024258313521341606,0.9999999561173741
sz3_ROn0.0001_FLNT,8,0.9992407967134652,0.9998505317804564,0.0,0.00022075419054752083,0.999999958545629
sz3_ROn0.0001_FLNT,9,0.9994348573053191,1.0,0.0,0.0001627302078647385,0.9999999661849323
sz3_ROn0.0001_FLNT,10,0.9994935883131773,1.0,0.0,0.0001276524931838864,0.9999999689097694
sz3_ROn0.0001_FLNT,11,0.9994426959924024,1.0,0.0,0.00011537171330477575,0.9999999679803927
sz3_ROn0.0001_FLNT,12,0.999325671619494,1.0,0.0,0.00012229757551655328,0.999999969646993
sz3_ROn0.0001_FLNT,13,0.9992933863272714,0.9999999999975161,0.0,0.0001260114273317602,0.9999999675037518
sz3_ROn0.0001_FLNT,14,0.9991242113261606,1.0,0.0,0.00014796938486344593,0.9999999688992913
sz3_ROn0.0001_FLNT,15,0.9990992871851748,0.9999999999735992,0.0,0.0001682570118654583,0.9999999603426376
sz3_ROn0.0001_FLNT,16,0.9992129102421051,1.0,0.0,0.0001948103506051197,0.9999999597489138
sz3_ROn0.0001_FLNT,17,0.9990740618722651,1.0,0.0,0.00022840298381640844,0.9999999572656768
sz3_ROn0.0001_FLNT,18,0.9989154127602806,0.9973963482253654,0.0,0.00024249952936203345,0.9999999540904021
sz3_ROn0.0001_FLNT,19,0.9990691119984944,1.0,0.0,0.00025165266740210244,0.9999999575499695
sz3_ROn0.0001_FLNT,20,0.9992503876206359,0.9997463525814778,0.0,0.00019982332240197652,0.9999999625464766
sz3_ROn0.0001_FLNT,21,0.9992835451614202,0.999999993183976,0.0,0.00017339311748458514,0.9999999631957357
sz3_ROn0.0001_FLNT,22,0.9994545078745295,1.0,0.0,0.00012604921713034586,0.9999999665901547
sz3_ROn0.0001_FLNT,23,0.9994193807161021,1.0,0.0,9.771415346359969e-05,0.9999999728692082
sz3_ROn0.0001_FLNT,24,0.9990460448354473,1.0,0.0,0.00012330813189377347,0.9999999660325204
sz3_ROn0.0001_FLNT,25,0.9993315364926024,0.9999999999999378,0.0,0.00011987389922644661,0.9999999713776829
sz3_ROn0.0001_FLNT,26,0.999417037750213,1.0,0.0,0.0001510550308747236,0.9999999692587591
sz3_ROn0.0001_FLNT,27,0.999444238726956,1.0,0.0,0.00017480742383687426,0.999999962056512
sz3_ROn0.0001_FLNT,28,0.9987283437170636,0.9999973599005177,0.0,0.0002019114086266958,0.9999999551656477
sz3_ROn0.0001_FLNT,29,0.9991627872095666,0.9990155265919717,0.0,0.0002032026258381138,0.999999956508937
sz3_ROn0.0001_FLNT,30,0.9988596360627214,0.9992520326665912,0.0,0.00021925376007640195,0.9999999583777719
sz3_ROn0.0001_FLNT,31,0.998829253553146,0.9992520326665912,0.0,0.0002499903849851929,0.9999999550639112
sz3_ROn0.0001_FLNT,32,0.9988026079871359,0.9983605947715416,0.0,0.00022901926522566292,0.9999999556961778
