set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
sz3_ROn0.0001_ICEFRAC,0,0.996784428592875,0.0,4.173900462962963,18250855872.72336,0.9999999829284195
sz3_ROn0.0001_ICEFRAC,1,0.9987137094582806,0.0,4.837601273148148,2955457302.9910984,0.999999992619571
sz3_ROn0.0001_ICEFRAC,2,0.9963525380655812,0.0,4.468677662037037,731175067143.9059,0.9999999934138406
sz3_ROn0.0001_ICEFRAC,3,0.999637474002006,0.0,2.9875578703703702,3990539625.4420266,0.9999999876614446
sz3_ROn0.0001_ICEFRAC,4,0.9995505560479225,0.0,2.5824652777777777,224330.0489880159,0.9999999895464791
sz3_ROn0.0001_ICEFRAC,5,0.9998955339642327,0.0,2.9351128472222223,76940693149.38074,0.9999999951013313
sz3_ROn0.0001_ICEFRAC,6,0.9999044444285409,0.0,3.0834056712962963,524459730.05377114,0.9999999954278191
sz3_ROn0.0001_ICEFRAC,7,0.9996250581831642,0.0,3.1412760416666665,543904513.7753762,0.9999999761384647
sz3_ROn0.0001_ICEFRAC,8,0.9998489020308566,0.0,2.909794560185185,612520517.3003246,0.9999999879407827
sz3_ROn0.0001_ICEFRAC,9,0.9988856234041706,0.0,2.7271412037037037,1405845930.2559497,0.9999999920951245
sz3_ROn0.0001_ICEFRAC,10,0.9986404343195053,0.0,2.6927806712962963,12898157.649592843,0.9999999931943437
sz3_ROn0.0001_ICEFRAC,11,0.9986520770260381,0.0,3.369140625,380067927.38783866,0.9999999756109181
sz3_ROn0.0001_ICEFRAC,12,0.9982999290947848,0.0,4.584418402777778,27101433373.354195,0.999999992695181
sz3_ROn0.0001_ICEFRAC,13,0.99784609094942,0.0,5.687572337962963,905424820771156.6,0.9999999958164891
sz3_ROn0.0001_ICEFRAC,14,0.996389034279929,0.0,5.074508101851852,9915445.882874412,0.9999999958731407
sz3_ROn0.0001_ICEFRAC,15,0.998221047801158,0.0,3.2407407407407405,732556498.2526947,0.9999999909520796
