set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
sz3_ROn0.0001_PS,0,0.9842619885020274,0.4222909307660495,0.0,9.399704720115541e-05,0.9999999520811287
sz3_ROn0.0001_PS,1,0.985753055567449,0.4310098311613798,0.0,9.183049086453646e-05,0.9999999527844037
sz3_ROn0.0001_PS,2,0.9855081141012221,0.4266377590792184,0.0,8.71286865219566e-05,0.9999999537546951
sz3_ROn0.0001_PS,3,0.982200454296601,0.42663775907921664,0.0,8.763684877047416e-05,0.9999999553082308
sz3_ROn0.0001_PS,4,0.9867626463987105,0.43100983116137837,0.0,9.086508681810658e-05,0.999999962875757
sz3_ROn0.0001_PS,5,0.9891213656678867,0.444275093936476,0.0,9.009136298400074e-05,0.9999999656462794
sz3_ROn0.0001_PS,6,0.9875127315170241,0.4354069107594173,0.0,8.843314638659031e-05,0.999999954657998
sz3_ROn0.0001_PS,7,0.9865618270015519,0.4398287509476889,0.0,8.529920749775284e-05,0.999999956417702
sz3_ROn0.0001_PS,8,0.9814662176302399,0.4310098311613798,0.0,8.598654194610536e-05,0.9999999586347331
sz3_ROn0.0001_PS,9,0.9843035426029358,0.4398287509476889,0.0,8.700484818220799e-05,0.9999999565182014
sz3_ROn0.0001_PS,10,0.9842896268161089,0.4310098311613798,0.0,8.951079779318052e-05,0.9999999553348656
sz3_ROn0.0001_PS,11,0.9880748959319515,0.43540691075941906,0.0,9.012946585994634e-05,0.9999999631464969
sz3_ROn0.0001_PS,12,0.9854853059692802,0.4398287509476889,0.0,9.240700381058834e-05,0.9999999518781802
sz3_ROn0.0001_PS,13,0.9880974722532189,0.43100983116137837,0.0,9.278921265467273e-05,0.9999999624654421
sz3_ROn0.0001_PS,14,0.9824413959463709,0.4310098311613798,0.0,8.935847685154728e-05,0.9999999527709437
sz3_ROn0.0001_PS,15,0.9799526717193886,0.4354069107594173,0.0,8.943495566340813e-05,0.9999999549660641
sz3_ROn0.0001_PS,16,0.9844397834429385,0.4398287509476889,0.0,8.693764371063965e-05,0.9999999560274959
sz3_ROn0.0001_PS,17,0.9818264392527755,0.43540691075941906,0.0,8.836346086469556e-05,0.9999999570531929
sz3_ROn0.0001_PS,18,0.9861253981185151,0.4398287509476889,0.0,8.643154196292883e-05,0.9999999547768131
sz3_ROn0.0001_PS,19,0.9862795700913664,0.4398287509476889,0.0,8.774902675298832e-05,0.9999999585232571
sz3_ROn0.0001_PS,20,0.9882786496013668,0.4398287509476889,0.0,8.883698512330892e-05,0.9999999664357305
sz3_ROn0.0001_PS,21,0.9797495916065267,0.43100983116137837,0.0,8.769415290182082e-05,0.9999999573306031
sz3_ROn0.0001_PS,22,0.9870075897047331,0.981212745753737,0.0,8.90604294467027e-05,0.9999999645299154
sz3_ROn0.0001_PS,23,0.9877741931081447,0.9638396229864716,0.0,8.779367267171605e-05,0.9999999632466127
sz3_ROn0.0001_PS,24,0.9887464397340217,0.955606035042692,0.0,9.962257572094056e-05,0.9999999610131449
sz3_ROn0.0001_PS,25,0.9886403499189172,0.4354069107594173,0.0,8.907521367821151e-05,0.9999999618643771
sz3_ROn0.0001_PS,26,0.9858397453174383,0.4354069107594173,0.0,8.654836310321191e-05,0.9999999541865191
sz3_ROn0.0001_PS,27,0.9882242077745877,0.4266377590792184,0.0,9.083449350195233e-05,0.9999999641175177
sz3_ROn0.0001_PS,28,0.9879930657364308,0.43540691075941906,0.0,8.854480463358812e-05,0.9999999648985305
sz3_ROn0.0001_PS,29,0.9861794585868149,0.4354069107594173,0.0,8.460784501308335e-05,0.9999999544333913
sz3_ROn0.0001_PS,30,0.9889354157971231,0.4398287509476889,0.0,8.392422366204601e-05,0.9999999650925745
sz3_ROn0.0001_PS,31,0.9880329115731761,0.9886072522526778,0.0,8.783888240833135e-05,0.9999999667534611
sz3_ROn0.0001_PS,32,0.9850526738825628,0.4398287509476889,0.0,8.755869916473993e-05,0.9999999573523058
sz3_ROn0.0001_PS,33,0.9830881805331305,0.4398287509476889,0.0,8.339771080622836e-05,0.9999999557204452
sz3_ROn0.0001_PS,34,0.9855322952421205,0.4310098311613798,0.0,8.80234634452077e-05,0.9999999542949247
sz3_ROn0.0001_PS,35,0.9870996871614355,0.9359496976270058,0.0,8.950507556739672e-05,0.999999963803992
sz3_ROn0.0001_PS,36,0.9831865526487849,0.4354069107594173,0.0,9.62886910026607e-05,0.9999999494768335
sz3_ROn0.0001_PS,37,0.9878554071865843,0.9772102884457546,0.0,9.386970192181607e-05,0.9999999615361193
sz3_ROn0.0001_PS,38,0.983419566552776,0.4354069107594173,0.0,8.34926361234369e-05,0.999999954206378
sz3_ROn0.0001_PS,39,0.9833149349631297,0.4354069107594173,0.0,9.218463025825093e-05,0.9999999545385517
sz3_ROn0.0001_PS,40,0.9883106340402856,0.4398287509476889,0.0,8.68251329723353e-05,0.9999999650266227
sz3_ROn0.0001_PS,41,0.98834866439078,0.43540691075941906,0.0,8.767961824337373e-05,0.9999999652443287
sz3_ROn0.0001_PS,42,0.9870379590822373,0.4398287509476889,0.0,8.878290503174466e-05,0.9999999552893035
sz3_ROn0.0001_PS,43,0.9845623219374551,0.4354069107594173,0.0,8.781963983692413e-05,0.9999999561221133
sz3_ROn0.0001_PS,44,0.9826298287314138,0.4354069107594173,0.0,8.591673820022924e-05,0.9999999572645488
sz3_ROn0.0001_PS,45,0.9882062640640188,0.43540691075941906,0.0,8.490873032801767e-05,0.9999999661646664
sz3_ROn0.0001_PS,46,0.9809719885307792,0.43540691075941906,0.0,8.827993813203683e-05,0.9999999544425637
sz3_ROn0.0001_PS,47,0.9882711084000256,0.9638396229864716,0.0,8.86733725723856e-05,0.9999999640165641
sz3_ROn0.0001_PS,48,0.9799188760785161,0.4222909307660495,0.0,9.525285092526982e-05,0.9999999514220456
sz3_ROn0.0001_PS,49,0.982630895605417,0.42663775907921664,0.0,8.977234154764761e-05,0.9999999498266912
sz3_ROn0.0001_PS,50,0.9855737954548663,0.42229093076605095,0.0,9.23283128857422e-05,0.9999999528440652
sz3_ROn0.0001_PS,51,0.9882225103014292,0.9184411687877893,0.0,9.247800069681774e-05,0.9999999630234031
sz3_ROn0.0001_PS,52,0.9883452684738098,0.9726677330357324,0.0,9.145553989941628e-05,0.9999999650034667
sz3_ROn0.0001_PS,53,0.9860262515863274,0.4398287509476906,0.0,8.9274270826881e-05,0.9999999566169403
sz3_ROn0.0001_PS,54,0.9872427434555431,0.9303730910904605,0.0,8.829709585200729e-05,0.9999999662170328
sz3_ROn0.0001_PS,55,0.987721786989247,0.9857553705707909,0.0,8.784256769895522e-05,0.9999999660049249
sz3_ROn0.0001_PS,56,0.9833945477752183,0.4398287509476906,0.0,8.728579553369539e-05,0.9999999572522172
sz3_ROn0.0001_PS,57,0.9860050714645306,0.4398287509476889,0.0,8.984595599921175e-05,0.9999999572076463
sz3_ROn0.0001_PS,58,0.9864721454472819,0.4354069107594173,0.0,8.855388503904626e-05,0.9999999560919062
sz3_ROn0.0001_PS,59,0.9888406832034925,0.4310098311613798,0.0,9.390819756583898e-05,0.9999999616643005
sz3_ROn0.0001_PS,60,0.9878314158814436,0.4398287509476906,0.0,9.627062412986167e-05,0.9999999491106079
sz3_ROn0.0001_PS,61,0.9853592918420879,0.42663775907921664,0.0,9.084084428909639e-05,0.999999949371492
sz3_ROn0.0001_PS,62,0.9863095464130209,0.4398287509476889,0.0,9.033553288810686e-05,0.9999999544216703
sz3_ROn0.0001_PS,63,0.9871115388420184,0.4398287509476906,0.0,9.152567635932665e-05,0.9999999545356147
