set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
sz3_ROn0.0001_PSL,0,0.9979249691532508,0.7530368186727513,0.0,7.376266733502057e-06,0.9999999639971865
sz3_ROn0.0001_PSL,1,0.9975855862395131,0.9886072522526804,0.0,6.724263721140301e-06,0.999999960188437
sz3_ROn0.0001_PSL,2,0.9981615099061903,0.9812127457537426,0.0,6.311980250373086e-06,0.999999959211939
sz3_ROn0.0001_PSL,3,0.9960707448116233,0.9867567856551539,0.0,7.369441436830524e-06,0.9999999505247905
sz3_ROn0.0001_PSL,4,0.997554763365909,0.9867567856551539,0.0,6.290399894257582e-06,0.9999999488160166
sz3_ROn0.0001_PSL,5,0.9971284880595644,0.9930382728859259,0.0,5.460588164769394e-06,0.9999999661389314
sz3_ROn0.0001_PSL,6,0.9975254188576653,0.9894589588557915,0.0,7.1791435072068115e-06,0.9999999449106218
sz3_ROn0.0001_PSL,7,0.9984389421022977,0.9877069765571566,0.0,6.016754012553195e-06,0.9999999591968929
sz3_ROn0.0001_PSL,8,0.9977578617003175,0.9902634765712457,0.0,6.72780594089582e-06,0.9999999644603283
sz3_ROn0.0001_PSL,9,0.9975879261174196,0.9867567856551569,0.0,6.789160361907508e-06,0.9999999642719335
sz3_ROn0.0001_PSL,10,0.9969582312889809,0.43540691075941906,0.0,7.839633111636053e-06,0.9999999495720758
sz3_ROn0.0001_PSL,11,0.9973031755971948,0.99102221649634,0.0,7.521982192747433e-06,0.9999999429230593
sz3_ROn0.0001_PSL,12,0.9979221763767001,0.9917366172822165,0.0,6.228115261333712e-06,0.9999999637283082
sz3_ROn0.0001_PSL,13,0.9981540451114727,0.67321096274839,0.0,6.156201377502026e-06,0.9999999631342094
sz3_ROn0.0001_PSL,14,0.9978569030217547,0.9556060350426911,0.0,6.333670086821789e-06,0.9999999541349068
sz3_ROn0.0001_PSL,15,0.997949571072514,0.9910222164963377,0.0,5.367586761832645e-06,0.9999999593130144
sz3_ROn0.0001_PSL,16,0.9980332825228921,0.7578945157120975,0.0,5.788019105929512e-06,0.9999999539162427
sz3_ROn0.0001_PSL,17,0.9982948543550326,0.9799370676349463,0.0,5.517605800491051e-06,0.9999999594831558
sz3_ROn0.0001_PSL,18,0.9977795605223804,0.9910222164963377,0.0,6.495100849671452e-06,0.9999999435974259
sz3_ROn0.0001_PSL,19,0.9967129312113325,0.9917366172822207,0.0,7.065293790751823e-06,0.9999999668140823
sz3_ROn0.0001_PSL,20,0.9977977579352976,0.9757572870242877,0.0,6.702449131439308e-06,0.9999999643355589
sz3_ROn0.0001_PSL,21,0.9966915789160343,0.9556060350426911,0.0,7.03795292968543e-06,0.9999999619798201
