set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
sz3_ROn0.0001_TREFHT,0,0.9980557569687737,1.0,0.0,3.4626481730445367e-05,0.9999999790295588
sz3_ROn0.0001_TREFHT,1,0.9980186903500733,1.0,0.0,3.4613565700371294e-05,0.9999999806415691
sz3_ROn0.0001_TREFHT,2,0.997008383512273,0.9999999999999992,0.0,4.1502204317162354e-05,0.999999975189032
sz3_ROn0.0001_TREFHT,3,0.9959741028415765,0.9999999998912957,0.0,4.9241216643040975e-05,0.9999999670366868
sz3_ROn0.0001_TREFHT,4,0.9955917891148848,1.0,0.0,5.121069313318511e-05,0.9999999607757718
sz3_ROn0.0001_TREFHT,5,0.994742245101828,0.9999860552878879,0.0,5.260255500200166e-05,0.9999999596553418
sz3_ROn0.0001_TREFHT,6,0.9949587932116863,0.9994398244777082,0.0,5.298029416490738e-05,0.9999999590797654
sz3_ROn0.0001_TREFHT,7,0.9948768468521931,0.9995868581218245,0.0,5.539019305612672e-05,0.9999999601302428
sz3_ROn0.0001_TREFHT,8,0.995517126441846,0.9987215503290459,0.0,4.957954940416448e-05,0.999999965587791
sz3_ROn0.0001_TREFHT,9,0.9973458792728299,1.0,0.0,4.155371006544569e-05,0.9999999718873199
sz3_ROn0.0001_TREFHT,10,0.9980636853065488,1.0,0.0,3.3914042172210996e-05,0.9999999789884877
sz3_ROn0.0001_TREFHT,11,0.9981394256004498,1.0,0.0,3.1568891586397735e-05,0.9999999793906724
sz3_ROn0.0001_TREFHT,12,0.9977688221935638,1.0,0.0,3.399377551128721e-05,0.9999999797484125
sz3_ROn0.0001_TREFHT,13,0.998182238655513,1.0,0.0,3.440448666886855e-05,0.9999999802620203
sz3_ROn0.0001_TREFHT,14,0.9973860448910475,1.0,0.0,4.083988910291757e-05,0.9999999775297931
sz3_ROn0.0001_TREFHT,15,0.9970397530299856,0.9999999998912957,0.0,4.4463621110189035e-05,0.999999971161729
sz3_ROn0.0001_TREFHT,16,0.9956633266192128,1.0,0.0,4.828426546948593e-05,0.9999999678117395
sz3_ROn0.0001_TREFHT,17,0.9942048262539736,1.0,0.0,5.6764025728387174e-05,0.9999999596147893
sz3_ROn0.0001_TREFHT,18,0.995577089439828,1.0,0.0,5.403378621084027e-05,0.9999999627008418
sz3_ROn0.0001_TREFHT,19,0.9959932880838626,1.0,0.0,5.651224843498251e-05,0.9999999628653854
sz3_ROn0.0001_TREFHT,20,0.9968032047687819,0.9997463525814778,0.0,4.89097494102186e-05,0.9999999658372123
sz3_ROn0.0001_TREFHT,21,0.9973088264927839,0.9999999999999378,0.0,4.1985279164731864e-05,0.999999973597031
sz3_ROn0.0001_TREFHT,22,0.9978760155422643,1.0,0.0,3.3737148067265594e-05,0.9999999792876632
sz3_ROn0.0001_TREFHT,23,0.9976490026038337,1.0,0.0,3.1573239977023e-05,0.9999999807336812
sz3_ROn0.0001_TREFHT,24,0.9985029265382803,1.0,0.0,3.2284106397457655e-05,0.9999999802039755
sz3_ROn0.0001_TREFHT,25,0.9979043288195993,1.0,0.0,3.3551771404991965e-05,0.9999999819712386
sz3_ROn0.0001_TREFHT,26,0.9977258472483729,1.0,0.0,4.179837324678556e-05,0.9999999784227397
sz3_ROn0.0001_TREFHT,27,0.9971579224159925,1.0,0.0,4.535500098600919e-05,0.9999999707584709
sz3_ROn0.0001_TREFHT,28,0.9954146546208275,1.0,0.0,5.16016763399963e-05,0.9999999642453419
sz3_ROn0.0001_TREFHT,29,0.9955918151904669,1.0,0.0,4.82432755208538e-05,0.9999999662296369
sz3_ROn0.0001_TREFHT,30,0.9938146191241879,1.0,0.0,5.02826163990342e-05,0.9999999654692455
sz3_ROn0.0001_TREFHT,31,0.9946500902041986,1.0,0.0,5.560852533498108e-05,0.9999999619435952
sz3_ROn0.0001_TREFHT,32,0.9970652341102739,1.0,0.0,5.094473614427432e-05,0.9999999663009235
sz3_ROn0.0001_TREFHT,33,0.9976013772707358,1.0,0.0,4.2105875010056854e-05,0.9999999731004648
sz3_ROn0.0001_TREFHT,34,0.9981299075046478,1.0,0.0,3.293011715855751e-05,0.9999999787337207
sz3_ROn0.0001_TREFHT,35,0.9983432572064811,1.0,0.0,3.168592077354498e-05,0.999999980649236
sz3_ROn0.0001_TREFHT,36,0.9977394536423324,1.0,0.0,3.420400421504694e-05,0.9999999783646392
sz3_ROn0.0001_TREFHT,37,0.9975391920881015,1.0,0.0,3.864757217587467e-05,0.9999999770136259
