set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
sz3_ROn0.0001_TSMN,0,0.9980708745620683,1.0,0.0,4.413868892056152e-05,0.999999978954112
sz3_ROn0.0001_TSMN,1,0.9981686618796458,1.0,0.0,4.317046474726382e-05,0.9999999819877603
sz3_ROn0.0001_TSMN,2,0.9978231857292741,1.0,0.0,5.1954091101755945e-05,0.9999999775622715
sz3_ROn0.0001_TSMN,3,0.9975376541686085,1.0,0.0,5.610305177918504e-05,0.9999999746305385
sz3_ROn0.0001_TSMN,4,0.9973958754000498,1.0,0.0,6.008263402267555e-05,0.9999999686383133
sz3_ROn0.0001_TSMN,5,0.9967599729236801,0.9999999999975161,0.0,6.142461920182614e-05,0.9999999633764387
sz3_ROn0.0001_TSMN,6,0.9957930165630987,1.0,0.0,6.772470271746196e-05,0.9999999630521041
sz3_ROn0.0001_TSMN,7,0.9966595196124707,1.0,0.0,6.883796367346841e-05,0.9999999628686217
sz3_ROn0.0001_TSMN,8,0.9963302070624094,1.0,0.0,6.493802563532186e-05,0.9999999647344234
sz3_ROn0.0001_TSMN,9,0.9978480501278633,0.9999999999999779,0.0,5.389380056049553e-05,0.9999999733244801
sz3_ROn0.0001_TSMN,10,0.9983258714721714,1.0,0.0,4.291197087944006e-05,0.9999999815585126
sz3_ROn0.0001_TSMN,11,0.9984894414685864,1.0,0.0,4.479325758104349e-05,0.9999999781536104
sz3_ROn0.0001_TSMN,12,0.9982553583866179,1.0,0.0,4.384045496775641e-05,0.9999999801981249
sz3_ROn0.0001_TSMN,13,0.9976414172959922,1.0,0.0,4.960207948184927e-05,0.9999999777822635
sz3_ROn0.0001_TSMN,14,0.9977362300379404,1.0,0.0,4.9963435849219437e-05,0.9999999800890902
sz3_ROn0.0001_TSMN,15,0.9976387006383923,1.0,0.0,5.9377715668083705e-05,0.9999999703504018
sz3_ROn0.0001_TSMN,16,0.9974238889613812,0.9999996496158239,0.0,6.449030795593471e-05,0.999999967823427
sz3_ROn0.0001_TSMN,17,0.9969322056308496,0.9999999996001006,0.0,6.786803817118156e-05,0.9999999590005333
sz3_ROn0.0001_TSMN,18,0.9972494765792966,1.0,0.0,6.533191072316251e-05,0.9999999626114655
sz3_ROn0.0001_TSMN,19,0.9972443543659386,0.999944203681151,0.0,7.690015733718602e-05,0.999999959467135
sz3_ROn0.0001_TSMN,20,0.9972629982574502,1.0,0.0,6.56050016571653e-05,0.9999999656294338
