set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
sz3_ROn0.0001_TSMX,0,0.9969966829349417,1.0,0.0,4.1858767378987636e-05,0.9999999567688171
sz3_ROn0.0001_TSMX,1,0.9974855188166549,1.0,0.0,4.210373395839701e-05,0.999999960641804
sz3_ROn0.0001_TSMX,2,0.997083985301137,1.0,0.0,5.046441239408696e-05,0.9999999562893515
sz3_ROn0.0001_TSMX,3,0.9964650536925685,1.0,0.0,5.588192001188361e-05,0.9999999555409939
sz3_ROn0.0001_TSMX,4,0.996021278410555,1.0,0.0,5.3051731602286264e-05,0.9999999490590431
sz3_ROn0.0001_TSMX,5,0.9959806194926594,0.9412627697054918,0.0,5.946175650461164e-05,0.9999999537775658
sz3_ROn0.0001_TSMX,6,0.9912579851082289,0.9556060350426945,0.0,5.9862265233944024e-05,0.9999999536199738
sz3_ROn0.0001_TSMX,7,0.9937785822470827,1.0,0.0,6.100617564157148e-05,0.9999999541672174
sz3_ROn0.0001_TSMX,8,0.9963714366243076,1.0,0.0,5.872337109962234e-05,0.9999999524919695
sz3_ROn0.0001_TSMX,9,0.9969550196988791,0.999999999987578,0.0,5.142309658809805e-05,0.999999953446521
sz3_ROn0.0001_TSMX,10,0.9963930543839805,1.0,0.0,4.353788603538455e-05,0.9999999524295023
sz3_ROn0.0001_TSMX,11,0.9965963306196693,1.0,0.0,4.083787618391711e-05,0.9999999520788523
sz3_ROn0.0001_TSMX,12,0.9972070362642721,1.0,0.0,4.239280698921653e-05,0.9999999567765627
sz3_ROn0.0001_TSMX,13,0.9972772664408133,1.0,0.0,4.2481121486159554e-05,0.9999999579239307
sz3_ROn0.0001_TSMX,14,0.9970903840586768,1.0,0.0,4.900664874893461e-05,0.9999999556242785
sz3_ROn0.0001_TSMX,15,0.996262313545919,0.9999999999999378,0.0,5.370712000869916e-05,0.9999999547696418
sz3_ROn0.0001_TSMX,16,0.9956576469496603,0.9999999887127299,0.0,5.7994356559089777e-05,0.9999999508797383
sz3_ROn0.0001_TSMX,17,0.9954842948140263,0.9999312768298323,0.0,6.146000619637768e-05,0.9999999514833816
sz3_ROn0.0001_TSMX,18,0.9962828529978492,0.9924081416659397,0.0,6.158250222312833e-05,0.999999953508773
sz3_ROn0.0001_TSMX,19,0.9938790124885266,0.9999999976581658,0.0,6.201373784986083e-05,0.9999999532926521
sz3_ROn0.0001_TSMX,20,0.9968382806191324,1.0,0.0,5.61217475296913e-05,0.9999999551695213
sz3_ROn0.0001_TSMX,21,0.9956166869360592,1.0,0.0,5.09851070649507e-05,0.9999999565470399
sz3_ROn0.0001_TSMX,22,0.9973446860971915,1.0,0.0,4.383082431277214e-05,0.999999954833656
sz3_ROn0.0001_TSMX,23,0.9970845172547533,1.0,0.0,4.0440241959958795e-05,0.9999999548715159
sz3_ROn0.0001_TSMX,24,0.997423687698513,1.0,0.0,4.122736600137302e-05,0.9999999524941586
sz3_ROn0.0001_TSMX,25,0.9975791092909979,1.0,0.0,4.440655547386541e-05,0.9999999568826684
sz3_ROn0.0001_TSMX,26,0.997258250676216,1.0,0.0,4.8843951256027256e-05,0.9999999577670535
sz3_ROn0.0001_TSMX,27,0.9960310756698084,1.0,0.0,5.532941813840341e-05,0.9999999525489754
sz3_ROn0.0001_TSMX,28,0.9938811442924133,1.0,0.0,5.8030859771448336e-05,0.9999999505156455
sz3_ROn0.0001_TSMX,29,0.996592319435561,0.9877069765571566,0.0,5.455718147202069e-05,0.9999999544942485
sz3_ROn0.0001_TSMX,30,0.9960232745514299,0.6782729592319363,0.0,5.737440183687646e-05,0.999999952260743
sz3_ROn0.0001_TSMX,31,0.9948010956109637,0.42229093076604785,0.0,6.0526639476570813e-05,0.9999999514849112
sz3_ROn0.0001_TSMX,32,0.99684390209621,0.9999158496601825,0.0,5.9925506295438164e-05,0.999999949869252
sz3_ROn0.0001_TSMX,33,0.9966370769028033,1.0,0.0,4.9788718503861285e-05,0.9999999527529226
sz3_ROn0.0001_TSMX,34,0.9965583748189802,1.0,0.0,4.0068611642229455e-05,0.9999999545267247
sz3_ROn0.0001_TSMX,35,0.9970882782833245,1.0,0.0,4.277745457034325e-05,0.9999999537597464
sz3_ROn0.0001_TSMX,36,0.9977074502615232,1.0,0.0,3.92789856674928e-05,0.9999999559780932
sz3_ROn0.0001_TSMX,37,0.9974936586874563,1.0,0.0,4.4704696616418884e-05,0.9999999547895836
sz3_ROn0.0001_TSMX,38,0.997191950650694,1.0,0.0,4.84961799983947e-05,0.9999999608510153
sz3_ROn0.0001_TSMX,39,0.9966288095555119,1.0,0.0,5.5678260461916986e-05,0.9999999538559995
sz3_ROn0.0001_TSMX,40,0.9945982748645749,0.9999999999456265,0.0,5.657049027430293e-05,0.9999999489277218
sz3_ROn0.0001_TSMX,41,0.9963233409404333,0.9936285109948717,0.0,5.7441280296640954e-05,0.999999954804773
sz3_ROn0.0001_TSMX,42,0.9963130912742606,0.9999999959635527,0.0,5.8608998834237066e-05,0.9999999521733781
sz3_ROn0.0001_TSMX,43,0.9955957833097666,0.9988762995742178,0.0,6.020342154916535e-05,0.9999999511310991
sz3_ROn0.0001_TSMX,44,0.9956250048472858,1.0,0.0,5.612072121236102e-05,0.9999999527652681
sz3_ROn0.0001_TSMX,45,0.9969254088181189,1.0,0.0,5.1183932622640235e-05,0.9999999537183197
sz3_ROn0.0001_TSMX,46,0.9963564870976618,1.0,0.0,4.4082501178882774e-05,0.9999999512197616
sz3_ROn0.0001_TSMX,47,0.9976091286895274,1.0,0.0,3.803256124319637e-05,0.99999995937454
sz3_ROn0.0001_TSMX,48,0.9973260362477498,1.0,0.0,4.3195525252123346e-05,0.9999999575123655
sz3_ROn0.0001_TSMX,49,0.9970647926973183,1.0,0.0,4.266902138343954e-05,0.9999999559502262
sz3_ROn0.0001_TSMX,50,0.9971742790403646,1.0,0.0,4.7884604721367996e-05,0.9999999589894524
sz3_ROn0.0001_TSMX,51,0.9972902496742119,1.0,0.0,5.416670389464185e-05,0.999999954763654
sz3_ROn0.0001_TSMX,52,0.9934282196138757,1.0,0.0,5.362552664677622e-05,0.9999999533609633
sz3_ROn0.0001_TSMX,53,0.9932704305253989,0.9999985927076651,0.0,5.824578315284635e-05,0.9999999541572806
sz3_ROn0.0001_TSMX,54,0.9954443841695161,0.9152987749598599,0.0,6.115880262184248e-05,0.9999999518987769
sz3_ROn0.0001_TSMX,55,0.9954280912431426,0.9245357221319918,0.0,6.054941619791806e-05,0.9999999549462033
sz3_ROn0.0001_TSMX,56,0.9960886508566001,1.0,0.0,5.866537278517649e-05,0.9999999525280742
sz3_ROn0.0001_TSMX,57,0.996519650552411,1.0,0.0,5.309658816989993e-05,0.9999999523858338
sz3_ROn0.0001_TSMX,58,0.9963616053501324,1.0,0.0,4.345349897087201e-05,0.9999999535279385
sz3_ROn0.0001_TSMX,59,0.9971724799401037,0.999999993183976,0.0,4.41916377992412e-05,0.999999945103547
sz3_ROn0.0001_TSMX,60,0.9975065555542519,1.0,0.0,4.09773665838974e-05,0.9999999562262201
sz3_ROn0.0001_TSMX,61,0.9970719782136412,1.0,0.0,4.449095336480448e-05,0.9999999524516772
sz3_ROn0.0001_TSMX,62,0.9969350025097259,1.0,0.0,4.87033099351975e-05,0.9999999591036333
sz3_ROn0.0001_TSMX,63,0.9970533874983869,0.9999999999998332,0.0,5.4121683769763045e-05,0.9999999542213411
sz3_ROn0.0001_TSMX,64,0.9952779975234661,0.8879653312826414,0.0,5.801649235251583e-05,0.9999999506399486
