set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
zfp_p_6_AODABS,0,0.9625401745309238,3.8838872818677938e-236,0.0,0.0,0.0002373289778224764
zfp_p_6_AODABS,1,0.9535357018487255,3.1282293122999055e-53,0.0,0.0,0.0003381662048627207
zfp_p_6_AODABS,2,0.8888251836882967,1.4316603419464751e-44,98.6183449074074,2.421888340360616,0.9881024524114425
zfp_p_6_AODABS,3,0.9545568952132585,1.2971509664528005e-27,0.0,0.0,0.0004691471599364036
zfp_p_6_AODABS,4,0.9545009366281088,4.46170449174478e-169,0.0,0.0,-6.991538533560005e-05
zfp_p_6_AODABS,5,0.969325153934584,0.0,0.0,0.0,0.0
zfp_p_6_AODABS,6,0.9700598807864502,1.1593146256450708e-261,0.0,0.0,1.5751826058838968e-17
zfp_p_6_AODABS,7,0.9578414997039381,1.2675423242910498e-65,0.0,0.0,0.0007219975934538669
zfp_p_6_AODABS,8,0.9042169883056081,2.683039737214539e-69,98.69791666666666,3.045129885033692,0.9861156799447374
zfp_p_6_AODABS,9,0.9766142320576016,1.973544719362259e-30,0.0,0.0,6.9404668638676815e-06
zfp_p_6_AODABS,10,0.961085364049546,2.9414410174940804e-167,0.0,0.0,-2.011844844068515e-06
zfp_p_6_AODABS,11,0.959056756358109,0.0,0.0,0.0,-3.829064245329724e-06
zfp_p_6_AODABS,12,0.9625401745309238,3.8838872818677938e-236,0.0,0.0,0.00024311160631783907
zfp_p_6_AODABS,13,0.9535357018487255,3.1282293122999055e-53,0.0,0.0,0.0003283817284022356
zfp_p_6_AODABS,14,0.8834509345162286,1.2963716341625328e-33,98.681640625,6.433268733824771,0.982522679339394
zfp_p_6_AODABS,15,0.9545568952132585,1.4355984560416581e-37,0.0,0.0,0.00042822565472248647
zfp_p_6_AODABS,16,0.9545009366281088,4.46170449174478e-169,0.0,0.0,-6.966332980438904e-05
zfp_p_6_AODABS,17,0.969325153934584,0.0,0.0,0.0,1.4284122681790547e-17
zfp_p_6_AODABS,18,0.9700598807864502,1.1593146256450708e-261,0.0,0.0,-2.082294987174588e-17
zfp_p_6_AODABS,19,0.9578414997039381,1.2675423242910498e-65,0.0,0.0,0.0007346271973163929
zfp_p_6_AODABS,20,0.8716765281964408,5.1430597124244496e-14,98.51345486111111,2.024764269993158,0.986809995975996
zfp_p_6_AODABS,21,0.9766142320576016,3.885926581864203e-23,0.0,0.0,6.9388140994447515e-06
zfp_p_6_AODABS,22,0.961085364049546,2.9414410174940804e-167,0.0,0.0,-2.079228517598749e-06
zfp_p_6_AODABS,23,0.959056756358109,0.0,0.0,0.0,-3.668853959068153e-06
zfp_p_6_AODABS,24,0.9625401745309238,3.8838872818677938e-236,0.0,0.0,0.00024120053943469977
zfp_p_6_AODABS,25,0.9535357018487255,3.1282293122999055e-53,0.0,0.0,0.000349500445841
zfp_p_6_AODABS,26,0.9082019968786014,1.705099058955777e-82,98.54058159722221,5.566136134442194,0.9827145711875873
