set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
zfp_p_6_BURDENDUST,0,0.9647206333783971,3.8386956987583563e-28,98.70334201388889,34.503994528237286,0.9866293918378233
zfp_p_6_BURDENDUST,1,0.9621418154803707,5.4002338394101194e-17,98.65813078703704,20.81472402709564,0.9801017585428925
zfp_p_6_BURDENDUST,2,0.9682943247143261,1.592189920032473e-32,98.69068287037037,6.97439486453892,0.9862519022042922
zfp_p_6_BURDENDUST,3,0.9559961925301553,5.76791668794203e-28,98.67440682870371,22.467870585352465,0.9857798867183072
zfp_p_6_BURDENDUST,4,0.9692229398637422,6.66142259550576e-17,98.01974826388889,4.586276714581951,0.9828098360724173
zfp_p_6_BURDENDUST,5,0.9692607113572104,1.7771526035993247e-17,98.26388888888889,5.299402077650272,0.9813336233500637
zfp_p_6_BURDENDUST,6,0.970921178820312,5.7557662499288166e-18,98.26388888888889,4.590141192447481,0.9889573300081002
zfp_p_6_BURDENDUST,7,0.9603210857391713,3.346481760141068e-14,98.7937644675926,4.24030304912512,0.9879105485562497
zfp_p_6_BURDENDUST,8,0.9730447783345973,7.614253819769815e-09,98.67983217592592,5.111662328309204,0.9818033390226816
zfp_p_6_BURDENDUST,9,0.9630937211052634,1.670959855040362e-13,98.7160011574074,11.141188558049238,0.9827960933581058
zfp_p_6_BURDENDUST,10,0.9496661639511045,2.638345739222505e-15,98.60568576388889,10.179837720264777,0.9872441336181268
zfp_p_6_BURDENDUST,11,0.9673227755648384,5.2904151508514726e-27,98.72685185185185,27.044144880753816,0.9819399662003014
zfp_p_6_BURDENDUST,12,0.8733288252816956,9.594043843501197e-13,98.61291956018519,23.750763795835258,0.9811026714442262
zfp_p_6_BURDENDUST,13,0.9693616477596833,2.1711110977792223e-14,98.6671730324074,10.204032342345876,0.9834961725921392
zfp_p_6_BURDENDUST,14,0.9254834897932772,9.162857976022155e-23,98.78110532407408,11.920589601401147,0.9816074726563732
zfp_p_6_BURDENDUST,15,0.9546205343328696,2.1234966598820445e-26,98.68706597222221,12.952565376349572,0.9824178067111715
zfp_p_6_BURDENDUST,16,0.9454805803251259,1.1065707322765102e-44,98.64908854166666,8.503108067828082,0.9884538959842052
zfp_p_6_BURDENDUST,17,0.9482318595197153,4.3301078824378655e-57,98.63100405092592,8.580142586352737,0.9886586065610692
zfp_p_6_BURDENDUST,18,0.9245609857942262,8.028229867151614e-19,98.58036747685185,4.510933929465876,0.9898008416364952
zfp_p_6_BURDENDUST,19,0.9448332283110504,2.5195094889695755e-38,98.70695891203704,5.207943628477347,0.9853081356964684
zfp_p_6_BURDENDUST,20,0.9574080976408824,2.0656903288097508e-08,98.68706597222221,7.910144823346071,0.9872284255394097
zfp_p_6_BURDENDUST,21,0.9403295662668673,3.5155646630741274e-12,98.72323495370371,6.663800455794003,0.9877692569390487
zfp_p_6_BURDENDUST,22,0.9458115086090364,2.8636097485460918e-05,98.779296875,5.7168754258508825,0.9847455520796141
zfp_p_6_BURDENDUST,23,0.9506546669788223,6.0908842343455736e-30,98.70334201388889,20.995321997371786,0.9772397892907247
