set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
zfp_p_6_BURDENPOM,0,0.9297097365621395,9.831730836126216e-52,98.22952835648148,3.7639009561916548,0.9960421993490324
zfp_p_6_BURDENPOM,1,0.862484994616029,4.599383399637727e-30,98.43207465277779,2.048328128638029,0.9934746438457274
zfp_p_6_BURDENPOM,2,0.8977663078395404,1.0031108187327433e-57,98.63462094907408,2.3923707068029874,0.9960151657241102
zfp_p_6_BURDENPOM,3,0.8544337523546719,2.4211180421494766e-77,98.50983796296296,2.1504928396337726,0.9945581873315175
zfp_p_6_BURDENPOM,4,0.8090920680133017,3.9838115111386434e-21,98.32899305555556,2.231807776261184,0.9936343921177223
zfp_p_6_BURDENPOM,5,0.8390600213284197,4.706218929829594e-28,98.54419849537037,4.37274635242978,0.9955857080172386
zfp_p_6_BURDENPOM,6,0.834968047099342,1.4097338657349092e-25,98.60206886574075,5.21344956369664,0.9960880999529175
zfp_p_6_BURDENPOM,7,0.8069829818285706,1.879561305611388e-33,98.67259837962963,3.8135252288870096,0.9956477952988442
zfp_p_6_BURDENPOM,8,0.8112065293112092,7.10519719794607e-33,98.62196180555556,5.076637464950712,0.9946375047512899
zfp_p_6_BURDENPOM,9,0.8566385700307718,5.266179377781915e-29,98.62015335648148,5.38086213797316,0.9919875762612149
zfp_p_6_BURDENPOM,10,0.8292974792420267,6.788847084116436e-52,98.52249710648148,4.620116316690735,0.9933706724590678
zfp_p_6_BURDENPOM,11,0.8919947389411915,3.5928844258036675e-60,98.49898726851852,7.719856063874059,0.9959963131639263
zfp_p_6_BURDENPOM,12,0.8782819043799408,2.0508052707308838e-48,98.42664930555556,5.81500814439661,0.995933844517872
zfp_p_6_BURDENPOM,13,0.8430448885223306,2.0260438074079075e-70,98.60206886574075,4.318181875717542,0.995190153522289
zfp_p_6_BURDENPOM,14,0.8602594147449343,1.7329546151445288e-65,98.32356770833334,2.215181218437981,0.994861046211887
zfp_p_6_BURDENPOM,15,0.848845722714329,7.978676333796957e-76,98.48994502314815,2.1898124487685853,0.9937512251195036
zfp_p_6_BURDENPOM,16,0.8229888929902749,2.9323373921512747e-48,98.4230324074074,5.3193463275063735,0.9933364536168686
zfp_p_6_BURDENPOM,17,0.8505186576759612,5.354960112167859e-60,98.49898726851852,3.1543356071894326,0.9951337982118172
zfp_p_6_BURDENPOM,18,0.8500802274025504,1.3082759421087491e-31,98.63823784722221,3.8434834780545404,0.9957305658730692
zfp_p_6_BURDENPOM,19,0.8621043558267721,1.9787916361376606e-49,98.6961082175926,2.551030683923153,0.995135859175768
zfp_p_6_BURDENPOM,20,0.8110155395846405,1.7410360323067742e-23,98.681640625,3.1201700808044133,0.9949953743941939
zfp_p_6_BURDENPOM,21,0.8790297725498015,1.2081720855606906e-20,98.50441261574075,15.8142478731427,0.9904390138941447
zfp_p_6_BURDENPOM,22,0.7875728417412574,2.9423354904617105e-60,98.69972511574075,5.031956272691027,0.9935343373329554
