set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
zfp_p_6_ICEFRAC,0,0.9352239650186042,4.4719153009463575e-127,21.397569444444446,345659399.9592652,0.9979274452088707
zfp_p_6_ICEFRAC,1,0.9367381631220933,1.641409632313562e-130,20.603660300925927,126755480384715.44,0.9979787426331476
zfp_p_6_ICEFRAC,2,0.9345255196204567,2.089461762509675e-128,20.22388599537037,480195775.7300414,0.997986145601148
zfp_p_6_ICEFRAC,3,0.9382724531705467,1.6215569432360784e-148,19.795283564814813,2166262417640.262,0.9979851407614241
zfp_p_6_ICEFRAC,4,0.9268338420311493,3.9523807688119894e-100,20.31611689814815,922896388.3448869,0.9978814230271763
zfp_p_6_ICEFRAC,5,0.9238561666506073,1.0066858866913933e-90,20.442708333333336,289906416.59104526,0.9979609299970219
zfp_p_6_ICEFRAC,6,0.9310844951388592,4.776277477712852e-36,19.85496238425926,4672569980.06014,0.9980947091338986
zfp_p_6_ICEFRAC,7,0.9418458406964576,5.307450091140669e-13,19.33232060185185,133731006.74144855,0.9980041857003371
zfp_p_6_ICEFRAC,8,0.9397551343280163,2.0341484493908844e-20,18.992332175925927,1454254257162.1252,0.9982462546059443
zfp_p_6_ICEFRAC,9,0.9399872099838383,1.0239024068360673e-86,19.287109375,2236036456.4358177,0.9983922080115248
zfp_p_6_ICEFRAC,10,0.9373051365167571,1.5632901179332683e-110,20.07378472222222,218323870.56308734,0.9981839573834624
zfp_p_6_ICEFRAC,11,0.9329095803920857,3.866309048262505e-127,21.29448784722222,8884753.299513793,0.9979734329315665
zfp_p_6_ICEFRAC,12,0.9332279741178438,7.848780855021458e-131,21.46629050925926,70122903.04844491,0.9979670918653724
zfp_p_6_ICEFRAC,13,0.9343696279143177,1.3470984097126316e-128,20.88396990740741,3191495468502240.0,0.9980883895975691
zfp_p_6_ICEFRAC,14,0.9371687708498321,1.2579365290525865e-125,20.109953703703702,2925071585.157677,0.9980422920549326
zfp_p_6_ICEFRAC,15,0.9306336143827919,3.9736771742172584e-130,19.48603877314815,12473039554996.338,0.9978644279584841
zfp_p_6_ICEFRAC,16,0.9218308602460763,6.24238537167495e-102,19.97612847222222,1072158134.5632155,0.997874138778002
zfp_p_6_ICEFRAC,17,0.9240737292007563,1.4091823725306184e-58,20.09006076388889,1634199091.9915047,0.9979354351877765
zfp_p_6_ICEFRAC,18,0.9284636100331507,7.882135166581947e-27,19.977936921296298,147016019.77253613,0.9979849885318084
zfp_p_6_ICEFRAC,19,0.935350219747068,3.3458998538669417e-18,19.24732349537037,148230055.38560012,0.9981878374859134
zfp_p_6_ICEFRAC,20,0.936608455945998,5.036592438438409e-28,18.840422453703702,9679541.843145559,0.9983006405682556
zfp_p_6_ICEFRAC,21,0.9345485490683261,5.698599584626988e-96,18.94169560185185,27064954.654781643,0.998416357283883
zfp_p_6_ICEFRAC,22,0.9357299440949755,1.9097797535903793e-118,20.166015625,350710998.4314077,0.9982647684249715
zfp_p_6_ICEFRAC,23,0.9267047321474159,7.05068149281156e-126,21.140769675925927,9992965311.789093,0.9980394199195086
zfp_p_6_ICEFRAC,24,0.9369963431964957,4.830925793160723e-129,21.003327546296298,37815565691.94294,0.9979565862379225
zfp_p_6_ICEFRAC,25,0.9414475874362239,2.159485842224154e-127,20.33420138888889,45515401464.17885,0.9980586371356599
zfp_p_6_ICEFRAC,26,0.930737536456396,2.3197173088559062e-129,19.807942708333336,105800826.7560732,0.9980240227626127
zfp_p_6_ICEFRAC,27,0.9312422598367844,5.841515563193152e-131,19.20392071759259,5800970170.753781,0.9980358085863522
zfp_p_6_ICEFRAC,28,0.9219145382800386,4.8045286077050885e-70,20.13527199074074,83427264.30890027,0.9978586206953094
zfp_p_6_ICEFRAC,29,0.9284932636237001,4.280605379059524e-95,20.17867476851852,20271104.605902202,0.9979525553510901
zfp_p_6_ICEFRAC,30,0.9273000682919372,2.916395545624932e-65,19.959852430555554,14468359.709829984,0.9981078007486394
zfp_p_6_ICEFRAC,31,0.9329179112963627,8.550207314042167e-45,19.35040509259259,15101243.402335152,0.9981710134405753
zfp_p_6_ICEFRAC,32,0.9377539190634974,5.493128985749941e-31,18.721064814814813,668997179.4601215,0.998230993880689
zfp_p_6_ICEFRAC,33,0.9387629972797192,1.3032087917175462e-74,19.026692708333336,1807952216.3580658,0.9983694268650227
zfp_p_6_ICEFRAC,34,0.9431471761941527,4.8108214565113014e-102,19.773582175925927,7660739128.380992,0.9982201552201923
zfp_p_6_ICEFRAC,35,0.9299100957179497,1.4597561935420612e-123,21.03949652777778,9611908.692577012,0.9980044937328848
zfp_p_6_ICEFRAC,36,0.9391627908948401,3.3425948777256175e-127,20.95269097222222,65125057697.19143,0.9979510662614787
zfp_p_6_ICEFRAC,37,0.9424408367258851,7.3589651821337e-132,20.399305555555554,912509635315218.0,0.9980529344002216
zfp_p_6_ICEFRAC,38,0.9336907975058154,4.248668821046828e-135,19.986979166666664,249675460355.35907,0.9980311343418778
zfp_p_6_ICEFRAC,39,0.937631837590763,1.0474532201141302e-138,19.56741898148148,1030138726.9478728,0.9979938404026689
zfp_p_6_ICEFRAC,40,0.9229428699066775,6.69653238790647e-92,20.19675925925926,44463370588.157265,0.9978930787352012
zfp_p_6_ICEFRAC,41,0.9259542507712546,2.7910623406994055e-41,20.093677662037038,14505920.375079008,0.9979880449729182
zfp_p_6_ICEFRAC,42,0.928527162815481,2.439621995041345e-30,20.213035300925927,294166208.7991215,0.997923895839419
zfp_p_6_ICEFRAC,43,0.9361785627599982,4.7062189298286135e-28,19.50050636574074,47163437893.527084,0.9979248016528238
zfp_p_6_ICEFRAC,44,0.9406236509291663,1.1773904472475594e-34,18.956163194444446,65080954739.53033,0.9981576911600577
zfp_p_6_ICEFRAC,45,0.9348491375044069,7.136152273980924e-84,19.129774305555554,256612790.9441291,0.9983385756641995
zfp_p_6_ICEFRAC,46,0.9374328595232327,1.9278374493180002e-116,20.11176215277778,90438324285.7157,0.9981721344564932
zfp_p_6_ICEFRAC,47,0.9264153939300014,1.6849062364568265e-123,21.22214988425926,102541716889.1709,0.9979168297881792
zfp_p_6_ICEFRAC,48,0.9277966774541083,2.9791019056444004e-134,21.47894965277778,985224525.5782642,0.9979249973164005
zfp_p_6_ICEFRAC,49,0.9335705968073165,1.1478167711137662e-131,20.817057291666664,3282114695.2861757,0.9979529060685989
zfp_p_6_ICEFRAC,50,0.9338290955618749,5.039221774160185e-131,19.81155960648148,57358968.47912987,0.9979645274819211
zfp_p_6_ICEFRAC,51,0.9336042944274213,3.111641288525138e-143,19.142433449074073,2124592494.856224,0.9979440354424804
zfp_p_6_ICEFRAC,52,0.9225007232121616,2.7140869782654455e-51,20.079210069444446,103354881.68817924,0.9977430358906106
zfp_p_6_ICEFRAC,53,0.9246742706625724,1.8770806011891687e-51,20.408347800925927,274962441606.4003,0.9977874630698913
zfp_p_6_ICEFRAC,54,0.9264803137817864,1.4766401772153982e-34,20.26728877314815,32870852.695913736,0.997887003934295
zfp_p_6_ICEFRAC,55,0.9388390583519587,2.344671765980142e-21,19.55295138888889,1315283809.0391357,0.9980016657072608
zfp_p_6_ICEFRAC,56,0.9391533238546347,1.2264398392715192e-37,18.587239583333336,5507850902.635177,0.9982821454696538
zfp_p_6_ICEFRAC,57,0.937252903076303,8.719498806440912e-78,19.03392650462963,1014019921.2312584,0.9983846120247901
zfp_p_6_ICEFRAC,58,0.9362115184984009,1.9999285838220362e-112,20.09910300925926,34849592.664605446,0.998164895753774
zfp_p_6_ICEFRAC,59,0.9276785656739279,5.210999007734429e-122,21.251085069444446,12453646.756623186,0.9978787247775119
zfp_p_6_ICEFRAC,60,0.9386809467916241,7.498902373231593e-129,21.29448784722222,127782039827.91469,0.9978817526326877
zfp_p_6_ICEFRAC,61,0.9404464145712632,1.9411690895624367e-125,20.630787037037038,50792023501.209305,0.9979838346695724
zfp_p_6_ICEFRAC,62,0.9313895266233803,7.498902373231593e-129,19.60720486111111,404749860.2998403,0.9979638516262249
