set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
zfp_p_6_OCNFRAC,0,0.8254650670598188,4.4180291105407875e-32,29.996744791666668,8006242.43653244,0.9956466891509537
zfp_p_6_OCNFRAC,1,0.8175459142386091,1.5111049475559074e-31,29.52654803240741,2926230.5946629364,0.9957154605495148
zfp_p_6_OCNFRAC,2,0.8265455259687361,6.533354053917048e-30,28.777850115740737,3682398.8555144398,0.9958591145942995
zfp_p_6_OCNFRAC,3,0.8383006202611272,3.7275120782533977e-29,28.43967013888889,3821328.8853231454,0.9959283664765244
zfp_p_6_OCNFRAC,4,0.8373310783796394,4.934218723120891e-30,29.45782696759259,19704027.862711247,0.9957421282177877
zfp_p_6_OCNFRAC,5,0.8395642916759674,1.6204307629532563e-29,30.094401041666668,14347771.593070798,0.9955768957731864
zfp_p_6_OCNFRAC,6,0.8429747226917631,3.2454751893619866e-29,30.439814814814813,2375611.531293434,0.9954011287591858
zfp_p_6_OCNFRAC,7,0.8421855881842776,6.045276279063441e-29,30.74001736111111,9940297.721056707,0.9949998628142891
zfp_p_6_OCNFRAC,8,0.8411587773218405,5.266179377781218e-29,30.817780671296298,2375611.531293434,0.9949472904318215
zfp_p_6_OCNFRAC,9,0.8364966437909598,3.9959021525675484e-30,30.622468171296298,4847464.8321462795,0.9951092863505682
zfp_p_6_OCNFRAC,10,0.8304135750470989,7.007713034549396e-30,30.64959490740741,7342107.807474118,0.9953510912020199
zfp_p_6_OCNFRAC,11,0.829212261851766,5.642398654010168e-29,30.548321759259263,4818141.150857243,0.9955426227054547
zfp_p_6_OCNFRAC,12,0.8281419971933097,1.996595195496802e-29,30.11248553240741,2865602.2754357974,0.9956671047486719
zfp_p_6_OCNFRAC,13,0.8197009221511595,3.7275120782533977e-29,29.28240740740741,2375611.531293434,0.9957694730230886
zfp_p_6_OCNFRAC,14,0.8230158131019711,3.9959021525675484e-30,28.21723090277778,4247274.528264195,0.995852918557111
zfp_p_6_OCNFRAC,15,0.834077505161108,7.33987831571344e-32,28.034577546296298,4977331.000205624,0.9958546755522117
