set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
zfp_p_6_SNOWHLND,0,0.9222383149506785,2.7265422769953173e-163,20.13527199074074,2.9670659270585385e+18,0.9979501496181378
zfp_p_6_SNOWHLND,1,0.9214819310247508,4.013718907948092e-80,19.391999421296298,5.066315473948862e+16,0.9973095537849352
zfp_p_6_SNOWHLND,2,0.9231735650094443,1.6498993934365177e-189,18.42086226851852,9.997719915524295e+18,0.9968228135095302
zfp_p_6_SNOWHLND,3,0.9297509982654034,4.881116978698402e-224,16.634114583333336,1.7795897586585545e+25,0.9967651951375792
zfp_p_6_SNOWHLND,4,0.9370134102810614,3.258538417890923e-196,13.718894675925927,8.171812565953484e+25,0.997098029468324
zfp_p_6_SNOWHLND,5,0.9437824367684149,1.1564394807256008e-195,10.90675636574074,4.007262045251416e+32,0.9972843705496006
zfp_p_6_SNOWHLND,6,0.9505685155980598,2.7842458514560805e-205,7.416449652777778,8.03289960165656e+29,0.9975241002136788
zfp_p_6_SNOWHLND,7,0.9521718772933059,2.0740589923770268e-206,8.275462962962964,5.941360896034703e+28,0.9973070564871793
zfp_p_6_SNOWHLND,8,0.9514857619262379,6.61796716150429e-227,11.579499421296296,9.177964552741685e+20,0.9971769685901685
zfp_p_6_SNOWHLND,9,0.9393414674609504,2.4879451547961964e-194,15.322989004629632,5.435690033415564e+18,0.9972198792112661
zfp_p_6_SNOWHLND,10,0.9354349224752102,2.8004967905348097e-81,17.673972800925927,1.2166369620108106e+16,0.9978899050549326
zfp_p_6_SNOWHLND,11,0.9273906823115584,6.690187606915607e-185,19.590928819444446,4.296592181652341e+32,0.9980673885414292
zfp_p_6_SNOWHLND,12,0.9221282756959626,1.0867318268918449e-239,20.39749710648148,1.3286673116022052e+21,0.9981334743286424
zfp_p_6_SNOWHLND,13,0.9190051177113729,1.3194223910321764e-76,19.73560474537037,5.976648009020384e+31,0.9973716561140732
zfp_p_6_SNOWHLND,14,0.9206435638516425,4.980822112093442e-181,18.339482060185187,4.803832621512466e+16,0.996804209943651
zfp_p_6_SNOWHLND,15,0.9285222099786641,6.131935798320525e-219,16.59613715277778,1.2877715653612178e+18,0.9966542769474757
zfp_p_6_SNOWHLND,16,0.9291698082676869,1.8777424035898624e-216,14.122178819444445,1.2373965747097677e+20,0.9970781505531902
zfp_p_6_SNOWHLND,17,0.936537577830994,1.440222201120421e-209,10.838035300925926,1.8347660159006917e+32,0.9973689623689963
zfp_p_6_SNOWHLND,18,0.9407528510486443,1.0949810270601615e-211,7.573784722222222,2.0606801878828185e+24,0.9975322805907215
zfp_p_6_SNOWHLND,19,0.9483986907328034,1.8838509209364252e-229,8.492476851851851,3.9416720984551134e+26,0.9973194571385385
zfp_p_6_SNOWHLND,20,0.947294781584632,1.0360917932143824e-224,11.733217592592593,1.2524184261288591e+30,0.9971529992997668
zfp_p_6_SNOWHLND,21,0.9281498251284405,3.969561680967701e-190,15.440538194444445,6.723469028469797e+19,0.997165894915727
zfp_p_6_SNOWHLND,22,0.9311124293981885,7.785128481524689e-82,17.40089699074074,3.642388508341357e+18,0.997737853875892
zfp_p_6_SNOWHLND,23,0.930051159938354,1.4319317749567214e-155,19.164134837962962,1.2100492747381437e+18,0.9981343334960989
