set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
zfp_p_6_TROP_P,0,0.32708795842135935,0.0,97.68337673611111,0.1833874669698915,0.9963498727843797
zfp_p_6_TROP_P,1,0.3375382748596997,0.0,97.6707175925926,0.18720325661692336,0.9964957454227377
zfp_p_6_TROP_P,2,0.3438405604987799,0.0,97.87145543981481,0.20553259415256236,0.9962591186014061
zfp_p_6_TROP_P,3,0.35463700883102045,9.502812002372587e-307,98.00528067129629,0.18807857571140307,0.9964162435511165
zfp_p_6_TROP_P,4,0.3443340599662352,0.0,97.99442997685185,0.18281215096152803,0.995635012739933
zfp_p_6_TROP_P,5,0.30568921498510965,2.1036435806518265e-265,97.96549479166666,0.17486218131244455,0.9949586439476874
zfp_p_6_TROP_P,6,0.3586196251135185,0.0,98.01432291666666,0.18059200538545792,0.9943809309436603
zfp_p_6_TROP_P,7,0.40541913272758556,0.0,97.57125289351852,0.17595958190204478,0.9954659844482314
zfp_p_6_TROP_P,8,0.3616532573604767,0.0,97.77741608796296,0.18645058603616332,0.9950170694704635
zfp_p_6_TROP_P,9,0.3501217904347801,1.6762282907513197e-272,97.92570891203704,0.15365436541739055,0.9938252741052762
zfp_p_6_TROP_P,10,0.30838559734582816,0.0,98.14814814814815,0.1914918881324855,0.9941360888062669
zfp_p_6_TROP_P,11,0.350094586801449,0.0,98.0613425925926,0.19803317351014005,0.9945332851820722
zfp_p_6_TROP_P,12,0.34599745904372486,0.0,97.67975983796296,0.17193077876083704,0.9961973683965959
zfp_p_6_TROP_P,13,0.3469287349516475,1.76300715e-316,97.89315682870371,0.1751047027636059,0.9961620388746274
zfp_p_6_TROP_P,14,0.36970811897407174,0.0,98.12282986111111,0.17820551075027494,0.9956250495257362
zfp_p_6_TROP_P,15,0.33583799556174604,0.0,98.02879050925925,0.19070682900331298,0.995697899350039
zfp_p_6_TROP_P,16,0.32174535374957064,0.0,97.40306712962963,0.21086587322757677,0.9960013390366188
zfp_p_6_TROP_P,17,0.32280316085416205,0.0,97.54955150462963,0.17842378920225024,0.9956140480876832
zfp_p_6_TROP_P,18,0.3751288152855928,3.592460280019601e-246,97.86964699074075,0.1967254317718778,0.9949610126355991
zfp_p_6_TROP_P,19,0.35023299650154494,1.3251856258088448e-303,98.02517361111111,0.1676356373773969,0.994769024349735
zfp_p_6_TROP_P,20,0.34552283550085244,3.9593988187939185e-265,97.73582175925925,0.16330025384896646,0.9946190061646876
zfp_p_6_TROP_P,21,0.3499784322940704,7.279705494367011e-240,97.705078125,0.1833192397344187,0.9946096114225721
zfp_p_6_TROP_P,22,0.3241613658242608,0.0,98.095703125,0.19768619829525455,0.9950515584736543
zfp_p_6_TROP_P,23,0.33250296205777413,2.3933498566517292e-237,97.89677372685185,0.1727453718589141,0.9957593973294405
zfp_p_6_TROP_P,24,0.34323854242598234,1.091320132225e-312,97.75209780092592,0.21146709745077624,0.996034310812655
zfp_p_6_TROP_P,25,0.33417621187864,6.111559960381472e-264,97.85517939814815,0.17326437524074192,0.9963700027024233
zfp_p_6_TROP_P,26,0.33914839195841223,0.0,98.10293692129629,0.17230921817701392,0.9961242452251495
zfp_p_6_TROP_P,27,0.33494589921372164,0.0,97.80454282407408,0.18374397114045068,0.9957029551211212
zfp_p_6_TROP_P,28,0.3225588907119466,0.0,97.59476273148148,0.17972916205452588,0.9955560127049314
zfp_p_6_TROP_P,29,0.32406663472162445,0.0,97.67433449074075,0.18474069020638734,0.9949840254831648
zfp_p_6_TROP_P,30,0.35151702656777095,0.0,97.9636863425926,0.1622813842246842,0.9941616874885113
zfp_p_6_TROP_P,31,0.3703952376843137,4.87926082447607e-302,97.82624421296296,0.17356387081833996,0.9950027717032753
zfp_p_6_TROP_P,32,0.35599042490703486,0.0,97.84794560185185,0.2010334864860559,0.9952234435643256
zfp_p_6_TROP_P,33,0.34479394812175446,0.0,97.88411458333334,0.19030794519975114,0.9946983686549092
zfp_p_6_TROP_P,34,0.34064170597506754,3.558580366016576e-274,98.28197337962963,0.16571176694771297,0.9945821257744264
zfp_p_6_TROP_P,35,0.3649158474808075,1.8764499131058188e-306,97.73582175925925,0.1713542029990874,0.9951882818685359
zfp_p_6_TROP_P,36,0.3681671417470461,4.1588446337246e-310,97.80635127314815,0.1817066576581295,0.9955822213592085
zfp_p_6_TROP_P,37,0.3489469154461372,3.471626507765331e-253,98.05410879629629,0.19648229163764036,0.9963644750830319
zfp_p_6_TROP_P,38,0.3446300604975207,0.0,97.80815972222221,0.18132568426765172,0.9964948957232789
zfp_p_6_TROP_P,39,0.3418828680798409,0.0,97.4609375,0.1806861223537959,0.9963270391350707
zfp_p_6_TROP_P,40,0.31804132049622075,0.0,97.76475694444444,0.17065374458935845,0.9954350044914507
zfp_p_6_TROP_P,41,0.30725076098138093,0.0,97.48987268518519,0.20463337555995206,0.9953079443686194
