set,time,ssim_fp,ks_p_value,spatial_rel_error,max_spatial_rel_error,pearson_correlation_coefficient
zfp_p_6_U10,0,0.7914032421329412,1.2081720855609059e-20,98.67983217592592,1.9937214576036393,0.9916223400218975
zfp_p_6_U10,1,0.7889390752195174,3.168600151854414e-18,98.64908854166666,2.206434830706517,0.9910121922832928
zfp_p_6_U10,2,0.7780242070786267,1.3582657636204143e-23,98.56589988425925,1.6101261083190643,0.990678892596949
zfp_p_6_U10,3,0.7560298758620317,3.5056148260839373e-48,98.5496238425926,1.5014429287564288,0.9916423182812828
zfp_p_6_U10,4,0.7628159770966103,1.97069159095994e-45,98.67621527777779,1.6385751713538097,0.9910740915363567
zfp_p_6_U10,5,0.7538484191998814,2.439621995041345e-30,98.6671730324074,2.2959089753266806,0.9921287877621913
zfp_p_6_U10,6,0.7634405711311881,1.3874560327602096e-27,98.64185474537037,3.4518807606563624,0.992035661264612
zfp_p_6_U10,7,0.7616600543259897,7.58203002907233e-46,98.64185474537037,3.3236475076130088,0.9916419194728647
zfp_p_6_U10,8,0.7632771435121933,2.0259932749589397e-54,98.60568576388889,1.6260450492888918,0.9915596815567721
zfp_p_6_U10,9,0.7650452635874634,1.6923868191709112e-38,98.57132523148148,1.9316836190881694,0.9908868332381606
zfp_p_6_U10,10,0.7618587225234772,1.0427270111094713e-30,98.54058159722221,1.543630838250657,0.9910373650853732
zfp_p_6_U10,11,0.7663375326214992,2.855281480361309e-32,98.64185474537037,1.7722602710720634,0.9910687038585811
zfp_p_6_U10,12,0.770187195135101,1.4600764137734912e-21,98.64004629629629,2.2792005972219966,0.9903855840277694
zfp_p_6_U10,13,0.7661249550866108,3.1300671683203474e-28,98.58940972222221,1.8306833317665352,0.9904151936199771
zfp_p_6_U10,14,0.7526656025864062,1.3693223418826962e-34,98.69972511574075,1.7967961465977371,0.9909467944703262
zfp_p_6_U10,15,0.7516268725083666,2.9534685929872624e-38,98.486328125,1.8989587066220635,0.9905489846111769
zfp_p_6_U10,16,0.7554144776824369,2.579920357073504e-35,98.5007957175926,1.5969253456924262,0.9911298486940693
zfp_p_6_U10,17,0.7595894778805375,4.052649543237315e-27,98.61111111111111,2.311756205417517,0.9914624413986252
zfp_p_6_U10,18,0.7550807181926674,3.2454751893631945e-29,98.58760127314815,3.139958799595126,0.9915324225981558
zfp_p_6_U10,19,0.773404223804281,8.757474405192258e-42,98.70153356481481,3.291581833564214,0.9923349459992131
zfp_p_6_U10,20,0.7651225137861655,5.8815131399180544e-55,98.68344907407408,1.9394504671333086,0.9918854241312008
zfp_p_6_U10,21,0.7704878721579947,6.1502858413332075e-34,98.6328125,1.6708618350308129,0.9910695782580116
