set,time,mean,variance,ns_con_var,levels,algs,ratios,variable
orig_bc_a1_SRF,0,9.549638676772392e-11,1.5763230177772561e-19,2.2523874248347414e-20,14.0,zfp,2.6,FLNS
orig_bc_a1_SRF,1,1.3332704345730908e-10,2.895909110085382e-19,3.01425644430442e-20,14.0,zfp,2.6,FLNS
orig_bc_a1_SRF,2,1.3987013222920826e-10,3.438418079488346e-19,3.9564462316074805e-20,14.0,zfp,2.6,FLNS
orig_bc_a1_SRF,3,1.3535809231317758e-10,3.2058624960825538e-19,4.328181758141212e-20,14.0,zfp,2.6,FLNS
orig_bc_a1_SRF,4,1.2207889719486936e-10,2.4932519985795928e-19,4.3191894627284437e-20,14.0,zfp,2.6,FLNS
orig_bc_a1_SRF,5,1.1063750974292925e-10,1.8085985401828505e-19,3.284320164583157e-20,14.0,zfp,2.6,FLNS
orig_bc_a1_SRF,6,1.1918195997825178e-10,2.139455075828881e-19,2.895118510563119e-20,14.0,zfp,2.6,FLNS
orig_bc_a1_SRF,7,1.2746383703642289e-10,2.6546820299547794e-19,2.954207915937248e-20,14.0,zfp,2.6,FLNS
orig_bc_a1_SRF,8,1.3020657187534152e-10,2.7339599954764697e-19,3.421437605453708e-20,14.0,zfp,2.6,FLNS
orig_bc_a1_SRF,9,1.2856894395429846e-10,2.7529697311131514e-19,3.4499319547290444e-20,14.0,zfp,2.6,FLNS
orig_bc_a1_SRF,10,1.2885189564088852e-10,2.834350217543336e-19,3.4959060515253604e-20,14.0,zfp,2.6,FLNS
orig_bc_a1_SRF,11,1.358268396811325e-10,3.1543738133871657e-19,2.9884997665159864e-20,14.0,zfp,2.6,FLNS
orig_dst_a1_SRF,0,1.1292447069597374e-09,3.0088776725970164e-17,4.505553132732624e-18,16.0,zfp,2.34,FLNSC
orig_dst_a1_SRF,1,1.7293826596005102e-09,1.435319382818789e-16,1.379547661583168e-16,16.0,zfp,2.34,FLNSC
orig_dst_a1_SRF,2,1.572207749189997e-09,9.562663477873396e-17,5.3744488932319867e-17,16.0,zfp,2.34,FLNSC
orig_dst_a1_SRF,3,1.4559859897308724e-09,5.679237735480491e-17,1.8853203503928362e-17,16.0,zfp,2.34,FLNSC
orig_dst_a1_SRF,4,1.4567619053947541e-09,8.619714820249512e-17,7.320816444868843e-17,16.0,zfp,2.34,FLNSC
orig_dst_a1_SRF,5,1.305994467543126e-09,6.04452766806855e-17,3.73701772568444e-17,16.0,zfp,2.34,FLNSC
orig_dst_a1_SRF,6,1.18951610178257e-09,4.5046164865867903e-17,2.450072408693029e-17,16.0,zfp,2.34,FLNSC
orig_dst_a1_SRF,7,1.2351431679830491e-09,1.1140903122670723e-16,1.0754718758435379e-16,16.0,zfp,2.34,FLNSC
orig_dst_a1_SRF,8,1.527139721676048e-09,4.496841521019493e-16,6.449553374142114e-16,16.0,zfp,2.34,FLNSC
orig_dst_a1_SRF,9,1.2675864457716414e-09,4.7986468956013496e-17,2.2793220648425825e-17,16.0,zfp,2.34,FLNSC
orig_dst_a1_SRF,10,1.2005446615316748e-09,3.9793210572076564e-17,1.3854094160091357e-17,16.0,zfp,2.34,FLNSC
orig_dst_a1_SRF,11,1.2366811547830415e-09,4.339794149097277e-17,1.558877426708639e-17,16.0,zfp,2.34,FLNSC
orig_dst_a3_SRF,0,1.4834929366701404e-08,1.007051145743176e-14,2.0575852305665635e-15,16.0,zfp,2.35,FLUT
orig_dst_a3_SRF,1,2.5860103585032125e-08,6.837771073634987e-14,7.974493117918233e-14,18.0,zfp,1.94,FLUT
orig_dst_a3_SRF,2,2.2326965776713947e-08,3.5898486819854485e-14,2.7190280553969807e-14,16.0,zfp,2.35,FLUT
orig_dst_a3_SRF,3,2.0530854661116865e-08,2.3409977859258703e-14,1.1685801526817978e-14,4.0,bg,2.01,FLUT
orig_dst_a3_SRF,4,2.1277562680637153e-08,3.9553852688070514e-14,4.05074082434429e-14,18.0,zfp,1.94,FLUT
orig_dst_a3_SRF,5,1.902848603243699e-08,2.845454691097592e-14,2.3788236830085897e-14,18.0,zfp,1.94,FLUT
orig_dst_a3_SRF,6,1.7357315316148667e-08,2.3204379734121688e-14,1.8900774933888268e-14,18.0,zfp,1.94,FLUT
orig_dst_a3_SRF,7,1.87516534347785e-08,4.735507624926791e-14,5.767644642809104e-14,4.0,bg,2.01,FLUT
orig_dst_a3_SRF,8,2.4437797009913662e-08,1.7033175085127189e-13,2.581335935041692e-13,18.0,zfp,1.94,FLUT
orig_dst_a3_SRF,9,1.9741298017279188e-08,2.0675760247302652e-14,1.3933385352317583e-14,18.0,zfp,1.94,FLUT
orig_dst_a3_SRF,10,1.788258821768787e-08,1.7028846994572928e-14,8.580991227624282e-15,18.0,zfp,1.94,FLUT
orig_dst_a3_SRF,11,1.8714854435572795e-08,2.0027731758049143e-14,1.0584338603758472e-14,4.0,bg,2.01,FLUT
orig_FLNS,0,50.15532754021907,873.4002191646891,301.5839946841772,14.0,zfp,2.57,FSNS
orig_FLNS,1,53.20067850336712,715.9210368353174,97.22686769595714,14.0,zfp,2.57,FSNS
orig_FLNS,2,53.24542237787911,709.2200850417137,92.8106219259004,14.0,zfp,2.57,FSNS
orig_FLNS,3,52.93684107926317,700.6453984482038,97.14339923337624,14.0,zfp,2.57,FSNS
orig_FLNS,4,53.23457267219495,705.5945468216847,103.85622228093077,14.0,zfp,2.57,FSNS
orig_FLNS,5,53.010717731124565,705.3923768522275,100.46283079383474,14.0,zfp,2.57,FSNS
orig_FLNS,6,53.45018266208269,710.054589680031,99.37816525438596,14.0,zfp,2.57,FSNS
orig_FLNS,7,53.59050472940916,701.5861628041882,98.72695461753888,14.0,zfp,2.57,FSNS
orig_FLNS,8,53.373715907823424,711.5097537220504,96.74877167582362,14.0,zfp,2.57,FSNS
orig_FLNS,9,52.87795275785224,700.3156901567792,98.5110806479546,14.0,zfp,2.57,FSNS
orig_FLNS,10,52.213908676120845,705.8213066022549,101.10853442410888,14.0,zfp,2.57,FSNS
orig_FLNS,11,52.508806540803214,735.4318176157234,100.09230414345022,14.0,zfp,2.57,FSNS
orig_FLNSC,0,76.27704095546432,436.2990819620187,39.01024450064295,16.0,zfp,2.42,FSNSC
orig_FLNSC,1,78.9131398579278,444.1241541785479,32.00938894299004,18.0,zfp,1.98,FSNSC
orig_FLNSC,2,78.85174418090469,437.73285576475456,31.952835059834097,18.0,zfp,1.98,FSNSC
orig_FLNSC,3,78.91363593018518,417.8034047892473,30.86583822344657,18.0,zfp,1.98,FSNSC
orig_FLNSC,4,79.0928927603523,423.1889837014565,32.559822634364274,18.0,zfp,1.98,FSNSC
orig_FLNSC,5,79.14873582366278,436.1745203574921,32.29783386864079,18.0,zfp,1.98,FSNSC
orig_FLNSC,6,78.97805458226989,437.1482064813357,31.892279123314765,18.0,zfp,1.98,FSNSC
orig_FLNSC,7,79.09933688378193,447.3499411132863,32.94244284986828,18.0,zfp,1.98,FSNSC
orig_FLNSC,8,79.16777217474028,452.2892657353595,33.78374795614446,18.0,zfp,1.98,FSNSC
orig_FLNSC,9,79.07384628821148,457.9822656897599,32.74877863822137,18.0,zfp,1.98,FSNSC
orig_FLNSC,10,78.81281955726152,465.6531185205742,31.93806906906008,18.0,zfp,1.98,FSNSC
