levels,algs,ratios,variable,times
14,zfp,2.60,FLNS,0
14,zfp,2.60,FLNS,1
14,zfp,2.60,FLNS,2
14,zfp,2.60,FLNS,3
14,zfp,2.60,FLNS,4
14,zfp,2.60,FLNS,5
14,zfp,2.60,FLNS,6
14,zfp,2.60,FLNS,7
14,zfp,2.60,FLNS,8
14,zfp,2.60,FLNS,9
14,zfp,2.60,FLNS,10
14,zfp,2.60,FLNS,11
16,zfp,2.34,FLNSC,0
16,zfp,2.34,FLNSC,1
16,zfp,2.34,FLNSC,2
16,zfp,2.34,FLNSC,3
16,zfp,2.34,FLNSC,4
16,zfp,2.34,FLNSC,5
16,zfp,2.34,FLNSC,6
16,zfp,2.34,FLNSC,7
16,zfp,2.34,FLNSC,8
16,zfp,2.34,FLNSC,9
16,zfp,2.34,FLNSC,10
16,zfp,2.34,FLNSC,11
16,zfp,2.35,FLUT,0
18,zfp,1.94,FLUT,1
16,zfp,2.35,FLUT,2
4,bg,2.01,FLUT,3
18,zfp,1.94,FLUT,4
18,zfp,1.94,FLUT,5
18,zfp,1.94,FLUT,6
4,bg,2.01,FLUT,7
18,zfp,1.94,FLUT,8
18,zfp,1.94,FLUT,9
18,zfp,1.94,FLUT,10
4,bg,2.01,FLUT,11
14,zfp,2.57,FSNS,0
14,zfp,2.57,FSNS,1
14,zfp,2.57,FSNS,2
14,zfp,2.57,FSNS,3
14,zfp,2.57,FSNS,4
14,zfp,2.57,FSNS,5
14,zfp,2.57,FSNS,6
14,zfp,2.57,FSNS,7
14,zfp,2.57,FSNS,8
14,zfp,2.57,FSNS,9
14,zfp,2.57,FSNS,10
14,zfp,2.57,FSNS,11
16,zfp,2.42,FSNSC,0
18,zfp,1.98,FSNSC,1
18,zfp,1.98,FSNSC,2
18,zfp,1.98,FSNSC,3
18,zfp,1.98,FSNSC,4
18,zfp,1.98,FSNSC,5
18,zfp,1.98,FSNSC,6
18,zfp,1.98,FSNSC,7
18,zfp,1.98,FSNSC,8
18,zfp,1.98,FSNSC,9
18,zfp,1.98,FSNSC,10
18,zfp,1.98,FSNSC,11
14,zfp,2.63,FSNTOA,0
14,zfp,2.63,FSNTOA,1
14,zfp,2.63,FSNTOA,2
14,zfp,2.63,FSNTOA,3
14,zfp,2.63,FSNTOA,4
14,zfp,2.63,FSNTOA,5
14,zfp,2.63,FSNTOA,6
16,zfp,2.15,FSNTOA,7
14,zfp,2.63,FSNTOA,8
16,zfp,2.15,FSNTOA,9
16,zfp,2.15,FSNTOA,10
14,zfp,2.63,FSNTOA,11
16,zfp,1.94,ICEFRAC,0
16,zfp,1.94,ICEFRAC,1
18,zfp,1.66,ICEFRAC,2
16,zfp,1.94,ICEFRAC,3
16,zfp,1.94,ICEFRAC,4
16,zfp,1.94,ICEFRAC,5
18,zfp,1.66,ICEFRAC,6
16,zfp,1.94,ICEFRAC,7
18,zfp,1.66,ICEFRAC,8
16,zfp,1.94,ICEFRAC,9
16,zfp,1.94,ICEFRAC,10
16,zfp,1.94,ICEFRAC,11
14,zfp,2.70,LHFLX,0
16,zfp,2.24,LHFLX,1
14,zfp,2.70,LHFLX,2
14,zfp,2.70,LHFLX,3
14,zfp,2.70,LHFLX,4
14,zfp,2.70,LHFLX,5
14,zfp,2.70,LHFLX,6
14,zfp,2.70,LHFLX,7
14,zfp,2.70,LHFLX,8
14,zfp,2.70,LHFLX,9
14,zfp,2.70,LHFLX,10
14,zfp,2.70,LHFLX,11
14,zfp,2.51,PRECL,0
14,zfp,2.51,PRECL,1
16,zfp,2.11,PRECL,2
16,zfp,2.11,PRECL,3
14,zfp,2.51,PRECL,4
14,zfp,2.51,PRECL,5
14,zfp,2.51,PRECL,6
14,zfp,2.51,PRECL,7
14,zfp,2.51,PRECL,8
14,zfp,2.51,PRECL,9
16,zfp,2.11,PRECL,10
16,zfp,2.11,PRECL,11
2,bg,1.83,PRECSC,0
2,bg,1.83,PRECSC,1
12,zfp,2.00,PRECSC,2
12,zfp,2.00,PRECSC,3
12,zfp,2.00,PRECSC,4
12,zfp,2.00,PRECSC,5
2,bg,1.83,PRECSC,6
12,zfp,2.00,PRECSC,7
12,zfp,2.00,PRECSC,8
2,bg,1.83,PRECSC,9
2,bg,1.83,PRECSC,10
2,bg,1.83,PRECSC,11
12,zfp,2.67,PRECSL,0
14,zfp,2.18,PRECSL,1
14,zfp,2.18,PRECSL,2
14,zfp,2.18,PRECSL,3
14,zfp,2.18,PRECSL,4
14,zfp,2.18,PRECSL,5
14,zfp,2.18,PRECSL,6
14,zfp,2.18,PRECSL,7
14,zfp,2.18,PRECSL,8
14,zfp,2.18,PRECSL,9
14,zfp,2.18,PRECSL,10
14,zfp,2.18,PRECSL,11
14,zfp,2.55,PRECT,0
14,zfp,2.55,PRECT,1
14,zfp,2.55,PRECT,2
14,zfp,2.55,PRECT,3
16,zfp,2.14,PRECT,4
16,zfp,2.14,PRECT,5
14,zfp,2.55,PRECT,6
16,zfp,2.14,PRECT,7
14,zfp,2.55,PRECT,8
18,zfp,1.84,PRECT,9
16,zfp,2.14,PRECT,10
