,count,set,optimal zfp level,size,accuracy,variable
0,1,orig_U850,zfp_p_20,2854,0.000350385423966363,orig
1,3,orig_UBOT,zfp_p_20,2854,0.000700770847932726,orig
2,14,orig_U200,zfp_p_20,2854,0.004204625087596356,orig
3,3,orig_U500,zfp_p_20,2854,0.001051156271899089,orig
4,29,orig_ICEFRAC,zfp_p_20,247,0.04048582995951417,orig
5,10,orig_Q200,zfp_p_14,10,1.0,orig
6,34,orig_U010,zfp_p_14,36,0.9444444444444444,orig
7,6,orig_so4_a1_SRF,zfp_p_20,57,0.08771929824561403,orig
8,8,orig_so4_a2_SRF,zfp_p_14,15,0.13333333333333333,orig
9,2,orig_SFCO2_OCN,zfp_p_20,82,0.024390243902439025,orig
10,1,orig_BURDENDUST,zfp_p_20,74,0.013513513513513514,orig
11,20,orig_SWCF,zfp_p_20,81,0.24691358024691357,orig
12,3,orig_BURDENBC,zfp_p_20,4,0.75,orig
13,11,orig_CCN3,zfp_p_14,70,0.15714285714285714,orig
14,8,orig_FLDS,zfp_p_14,32,0.25,orig
15,1,orig_FSNSC,zfp_p_14,246,0.0040650406504065045,orig
16,34,orig_RELHUM,zfp_p_20,57,0.5964912280701754,orig
17,23,orig_SNOWHLND,zfp_p_14,23,1.0,orig
18,157,orig_SOLIN,zfp_p_14,189,0.8306878306878307,orig
19,6,orig_UU,zfp_p_14,6,1.0,orig
20,1,orig_V,zfp_p_14,1,1.0,orig
21,31,orig_BURDENSO4,zfp_p_14,59,0.5254237288135594,orig
22,4,orig_BURDENSOA,zfp_p_14,59,0.06779661016949153,orig
23,5,orig_UQ,zfp_p_14,24,0.20833333333333334,orig
24,6,orig_U,zfp_p_14,24,0.25,orig
25,6,orig_VV,zfp_p_20,19,0.3157894736842105,orig
26,4,orig_VT,zfp_p_20,19,0.21052631578947367,orig
27,1,orig_VU,zfp_p_20,19,0.05263157894736842,orig
