variable,level,size
ABSORB,orig,48945191
ABSORB,zfp_p_6,3894431
ABSORB,zfp_p_8,5070378
ABSORB,zfp_p_10,6984389
ABSORB,zfp_p_12,10115385
ABSORB,zfp_p_14,14297289
ABSORB,zfp_p_16,18896205
ABSORB,zfp_p_18,23586519
ABSORB,zfp_p_20,28287308
ABSORB,zfp_p_22,32989138
ABSORB,zfp_p_24,37691113
ABSORB,zfp_p_26,42393057
ANRAIN,orig,874005
ANRAIN,zfp_p_6,588782
ANRAIN,zfp_p_8,588782
ANRAIN,zfp_p_10,588782
ANRAIN,zfp_p_12,588782
ANRAIN,zfp_p_14,588782
ANRAIN,zfp_p_16,588782
ANRAIN,zfp_p_18,588782
ANRAIN,zfp_p_20,588782
ANRAIN,zfp_p_22,588782
ANRAIN,zfp_p_24,588782
ANRAIN,zfp_p_26,588782
ANSNOW,orig,874005
ANSNOW,zfp_p_6,588782
ANSNOW,zfp_p_8,588782
ANSNOW,zfp_p_10,588782
ANSNOW,zfp_p_12,588782
ANSNOW,zfp_p_14,588782
ANSNOW,zfp_p_16,588782
ANSNOW,zfp_p_18,588782
ANSNOW,zfp_p_20,588782
ANSNOW,zfp_p_22,588782
ANSNOW,zfp_p_24,588782
ANSNOW,zfp_p_26,588782
AODABS,orig,55325381
AODABS,zfp_p_6,4206515
AODABS,zfp_p_8,6102447
AODABS,zfp_p_10,9305388
AODABS,zfp_p_12,13594017
AODABS,zfp_p_14,18210725
AODABS,zfp_p_16,22890863
AODABS,zfp_p_18,27587237
AODABS,zfp_p_20,32288681
AODABS,zfp_p_22,36990689
AODABS,zfp_p_24,41692661
AODABS,zfp_p_26,46394611
AODDUST1,orig,55002584
AODDUST1,zfp_p_6,4196815
AODDUST1,zfp_p_8,6082443
AODDUST1,zfp_p_10,9278050
AODDUST1,zfp_p_12,13550827
AODDUST1,zfp_p_14,18163421
AODDUST1,zfp_p_16,22841832
AODDUST1,zfp_p_18,27537839
AODDUST1,zfp_p_20,32239444
AODDUST1,zfp_p_22,36941409
AODDUST1,zfp_p_24,41643301
AODDUST1,zfp_p_26,46345242
AODDUST2,orig,808881
AODDUST2,zfp_p_6,843764
AODDUST2,zfp_p_8,907782
AODDUST2,zfp_p_10,971497
AODDUST2,zfp_p_12,1035160
AODDUST2,zfp_p_14,1098883
AODDUST2,zfp_p_16,1162575
AODDUST2,zfp_p_18,1226282
AODDUST2,zfp_p_20,1289945
AODDUST2,zfp_p_22,1353668
AODDUST2,zfp_p_24,1417360
AODDUST2,zfp_p_26,1481083
AODDUST3,orig,57273925
AODDUST3,zfp_p_6,4432132
AODDUST3,zfp_p_8,6769985
AODDUST3,zfp_p_10,10610785
AODDUST3,zfp_p_12,15191802
AODDUST3,zfp_p_14,19864346
AODDUST3,zfp_p_16,24558828
AODDUST3,zfp_p_18,29260538
AODDUST3,zfp_p_20,33962511
AODDUST3,zfp_p_22,38664434
AODDUST3,zfp_p_24,43366376
AODDUST3,zfp_p_26,48068300
AODVIS,orig,56616390
AODVIS,zfp_p_6,4250273
AODVIS,zfp_p_8,6510681
AODVIS,zfp_p_10,10534765
AODVIS,zfp_p_12,15155208
AODVIS,zfp_p_14,19837525
AODVIS,zfp_p_16,24537670
AODVIS,zfp_p_18,29239659
AODVIS,zfp_p_20,33941598
AODVIS,zfp_p_22,38643512
AODVIS,zfp_p_24,43345439
AODVIS,zfp_p_26,48047382
AQRAIN,orig,874008
AQRAIN,zfp_p_6,588785
